feature,Lasso,Lasso,Lasso,Ridge,Ridge,Ridge,ElasticNet,ElasticNet,ElasticNet
,Loss,Expected,Gain,Loss,Expected,Gain,Loss,Expected,Gain
# of Families 10,0.0,0.0,0.0,-0.04838714002225333,0.06721362481671038,-0.040485127421762,0.0,0.0,0.0
# of Households 10,0.0,0.0,0.0,-0.011629738578655492,0.025757229626234886,-0.03909753135256721,0.0,0.0,0.0
# of Housing Units 10,0.0,0.0,0.0,-0.016754286273680596,0.026709390082580886,-0.03796770851031642,0.0,0.0,0.0
% ADA 2018-2019,-0.0008934266136794387,0.0,0.0,-0.1311807993461359,0.09986627360104579,-0.005763966338858284,-0.06755649779124569,0.023522892256767673,0.0
% ADA 2020-2021,0.0,0.0,0.0,0.05945621155814998,-0.058065426683255913,0.025181705543841974,0.0,-0.007026545726405484,0.0
% Age 0-4 Pop 10,0.0,0.0,0.0,-0.1071264486138835,-0.0371993854114667,0.08513762015421725,0.0,-0.0009323350938278943,4.7100480294210226e-05
% Age 10-14 Pop 10,0.0,0.0,0.0,0.03730059994639585,-0.10098470124804465,0.0461410031956551,0.0,-0.043114759209034785,0.0
% Age 15-19 Pop 10,0.0,0.012428526910318186,-0.024942117707666075,-0.05377653843134433,0.08892503516161088,-0.08081320689586366,0.0,0.058706061665693525,-0.057615577498385126
% Age 20-24 Pop 10,0.0,0.06619636194433118,-0.015611352167983083,-0.05017160899245109,0.13312965572728577,-0.07029736653409346,0.0,0.09834429855121789,-0.043169623905015456
% Age 25-34 Pop 10,0.0,0.0,0.0,0.2817244529753443,-0.20688708933893846,-0.0238743112950577,0.08071470502965486,-0.030924306530721944,0.0
% Age 35-44 Pop 10,0.0,0.0,0.0,0.05361049504276008,-0.010472455414710972,0.07203244419670701,0.044817513330964266,0.0,0.0
% Age 45-54 Pop 10,0.0,0.027383666542687046,0.0,-0.10548211035919525,0.12358486406005877,-0.0653765741040329,0.0,0.08513227832174548,0.0
% Age 5-9 Pop 10,0.0,0.0,0.0,-0.20100880229262091,2.3557623276724298e-05,0.1743856790515496,0.0,0.0,0.05912846855364641
% Age 55-64 Pop 10,0.0,0.0,0.0,0.0033910963629181132,0.04407254720428062,-0.03842631372386465,0.0,0.0,0.0
% Age 65-74 Pop 10,0.0,0.0,0.0,0.027317485151750486,-0.050269363568091065,0.02571817934020671,0.0,0.0,0.0
% Age 75-84 Pop 10,0.0,0.0,0.0,-0.12579101766572165,0.13872096980551224,-0.07673019876074835,0.0,0.0,0.0
% Age 85-Up Pop 10,0.0,0.0,0.039341022711374816,-0.04588870975817873,-0.11128034645051514,0.0893282122895274,0.0,-0.006297963028134292,0.08366080133793667
% Asian Pop 10,0.0,0.0,0.0,-0.013411263065756934,0.07459474040178495,-0.07887215947358957,0.0,0.0,0.0
% Asian or Asian/Pacific Islander Students 2018-2019,0.0,0.05883946642257018,0.0,-0.019226037531729374,0.09354634127115095,-0.057612517895771445,0.0,0.0727953598515493,0.0
% Asian or Asian/Pacific Islander Students 2020-2021,0.0,0.0,0.0,-0.0618685462624132,-0.03018636925191724,0.0691316549948728,-0.023007721682911545,0.0,0.0
% Black Pop 10,0.0,0.05946580746828688,0.0,-0.07615805142730127,0.026291027213521084,0.07287748551650072,0.0,0.021353198181827997,0.0
% Black or African American Students 2018-2019,0.0,0.0,0.0,0.015824853384832353,0.04766116203253146,-0.132827613128526,0.0,0.0,-0.10282912856035144
% Black or African American Students 2020-2021,0.0,0.0,-0.21966239961071207,0.15669923178489256,-0.09796377695751042,-0.1361684386886693,0.04135208398635552,0.0,-0.12796009939738373
% County Deaths 01/29/21,-0.02778863334716757,0.0,0.0,-0.1920580650876626,0.08976911973544426,0.023533583969281624,-0.12169078531303282,0.0,0.0
% County Deaths 09/28/20,0.0,0.0,0.0,-0.09395713995038922,0.0441282745987772,-0.010062249855879403,0.0,0.0,0.0
% County Deaths 10/30/20,0.0,0.0,0.0,0.0891950562623347,-0.02491938017970292,-0.0058230788379533775,0.0,0.0,0.0
% County Infected 01/29/21,0.0,0.0,0.0,0.04260240423658789,-0.01475547778934532,-0.028551896145072145,0.0,0.0,0.0
% County Infected 09/28/20,0.0,0.0,0.0,-0.2165516984581665,0.0977228199625479,0.06671643276020743,-0.09047067598270873,0.0,0.0
% County Infected 10/30/20,0.0,-0.09491539349741583,0.076500296215559,0.10996197304569974,-0.34911744911546033,0.24238787336577736,0.0,-0.15639172307274957,0.16348004892182377
