feature,Feature Importance - Random Forest,Permutation Importance - Random Forest,Permutation Importance - Ridge,RFE - Random Forest,RFE - Ridge,Regularization - Lasso,SFS - KNN,SFS - Ridge,Variance Threshold
# of Families 10,0.005182626228078925,-0.0030612244897958883,0.004081632653061251,12.0,97.0,0.0,1.0,0.0,1.0
# of Households 10,0.0065357898993917965,-0.008163265306122436,0.003061224489795933,7.0,111.0,0.0,1.0,0.0,1.0
# of Housing Units 10,0.0058423303940896565,0.008163265306122458,0.006122448979591888,1.0,105.0,0.0,1.0,0.0,1.0
% ADA 2018-2019,0.01375127990078136,0.00714285714285714,-0.00204081632653057,1.0,54.0,0.0,0.0,1.0,0.0
% ADA 2020-2021,0.012248701450091217,0.008163265306122458,-0.0071428571428571175,1.0,36.0,-0.06964227068996987,1.0,0.0,0.0
% Age 0-4 Pop 10,0.006508033365639942,-0.008163265306122436,-0.006122448979591799,4.0,93.0,0.0,0.0,1.0,0.0
% Age 10-14 Pop 10,0.008020576592562343,0.0,-0.005102040816326525,1.0,9.0,0.0,0.0,1.0,0.0
% Age 15-19 Pop 10,0.00572841334188248,0.0071428571428571175,0.0010204081632653405,3.0,44.0,0.0,0.0,0.0,0.0
% Age 20-24 Pop 10,0.007185749059562858,-0.0071428571428571175,-0.00204081632653057,1.0,33.0,0.0833431005443549,1.0,1.0,0.0
% Age 25-34 Pop 10,0.00643397150931852,0.0,0.0020408163265306367,1.0,7.0,-0.011870619119274985,0.0,0.0,0.0
% Age 35-44 Pop 10,0.00842540101213466,-0.004081632653061207,0.007142857142857184,1.0,94.0,0.0,1.0,0.0,0.0
% Age 45-54 Pop 10,0.007955588326459819,-0.015306122448979576,-0.021428571428571373,1.0,66.0,0.0,0.0,1.0,0.0
% Age 5-9 Pop 10,0.008280033885477654,-0.003061224489795911,0.0010204081632653405,1.0,47.0,0.0,0.0,1.0,0.0
% Age 55-64 Pop 10,0.0058581869345528835,-0.0010204081632652962,-0.004081632653061185,1.0,8.0,0.0,0.0,0.0,0.0
% Age 65-74 Pop 10,0.005513034246523749,-0.005102040816326481,0.014285714285714323,15.0,79.0,0.0,0.0,0.0,0.0
% Age 75-84 Pop 10,0.007349619089235387,-0.011224489795918368,0.004081632653061251,1.0,37.0,0.0,0.0,0.0,0.0
% Age 85-Up Pop 10,0.007343005299956412,0.003061224489795911,-0.008163265306122436,1.0,86.0,0.0,0.0,0.0,0.0
% Asian Pop 10,0.0070332050391505785,0.005102040816326525,0.004081632653061251,1.0,63.0,0.0,1.0,0.0,0.0
% Asian or Asian/Pacific Islander Students 2018-2019,0.010767377122389479,-0.010204081632653073,0.011224489795918413,1.0,3.0,0.0,1.0,0.0,0.0
% Asian or Asian/Pacific Islander Students 2020-2021,0.008837855478202475,-0.004081632653061207,0.0,1.0,40.0,0.0,1.0,0.0,0.0
% Black Pop 10,0.005249072318109751,0.0010204081632652962,0.0010204081632653184,11.0,14.0,0.0,0.0,0.0,0.0
% Black or African American Students 2018-2019,0.008805212493867384,-0.004081632653061207,0.006122448979591888,1.0,39.0,0.0,0.0,1.0,0.0
% Black or African American Students 2020-2021,0.01033933959433634,-0.006122448979591822,-0.001020408163265274,1.0,13.0,-0.07037520374504072,0.0,1.0,0.0
% County Deaths 01/29/21,0.008325131510521966,-0.013265306122448983,0.008163265306122481,1.0,65.0,0.0,0.0,1.0,0.0
% County Deaths 09/28/20,0.00717854508895573,-0.006122448979591822,4.4408920985006264e-17,1.0,102.0,-0.026794344921593573,1.0,0.0,0.0
% County Deaths 10/30/20,0.00946067385287188,-0.005102040816326525,0.003061224489795955,1.0,80.0,0.0,0.0,0.0,0.0
% County Infected 01/29/21,0.0066870500761509865,-0.006122448979591843,-0.010204081632653027,1.0,81.0,-0.0030277372198391083,0.0,0.0,0.0
