District Number,% Loss Math,% Loss Reading,,Range
57816,-0.03,0,,-0.05
57829,-0.05,-0.01,,-0.04
101871,-0.04,0.01,,-0.03
109901,-0.02,0,,-0.02
95901,-0.01,0.01,,-0.01
221901,-0.03,-0.01,,0.00
57814,0.01,0.05,,0.01
14901,-0.03,-0.01,,0.02
57810,-0.09,-0.05,,0.03
101849,0.15,0.22,,0.04
180903,-0.18,-0.14,,0.05
57806,-0.04,-0.02,,
178901,-0.07,-0.01,,
15901,-0.03,0,,
250906,-0.01,0,,
209901,-0.04,0.01,,
101902,-0.06,-0.02,,
184907,-0.02,0.01,,
125901,-0.05,-0.01,,
101903,-0.05,-0.01,,
101815,0.12,0.19,,
43901,-0.04,-0.02,,
22901,-0.03,0,,
37901,-0.02,0,,
126901,0,0.01,,
20901,-0.03,0,,
249901,-0.02,0,,
188901,-0.03,0,,
84804,-0.21,-0.01,,
140901,-0.05,-0.01,,
101819,-0.01,0.02,,
36901,-0.06,-0.02,,
93901,-0.03,0.01,,
2901,-0.02,0.01,,
20902,-0.02,0.01,,
43902,-0.03,-0.01,,
127901,-0.03,0,,
71906,-0.08,-0.03,,
110901,-0.01,0.02,,
228905,-0.04,0,,
109912,-0.03,0.01,,
4901,-0.04,0,,
205901,-0.04,0,,
5901,-0.02,0,,
61910,0,0.01,,
101803,0,0.02,,
220802,-0.21,-0.02,,
220901,-0.06,-0.02,,
212901,-0.03,0,,
21805,-0.06,-0.01,,
217901,-0.02,0.02,,
107901,-0.03,0,,
34901,-0.02,0,,
61907,-0.02,0.01,,
227825,-0.19,-0.01,,
227821,-0.06,-0.03,,
227901,-0.06,-0.02,,
196901,-0.03,-0.03,,
70901,-0.04,-0.01,,
194902,-0.18,0,,
34902,-0.01,0.02,,
161918,-0.03,0.01,,
220915,-0.03,0,,
30903,0,0.01,,
200901,-0.02,0.01,,
195902,-0.19,-0.18,,
10902,-0.02,0.01,,
25901,0.01,0.02,,
178913,-0.05,0.01,,
36902,-0.01,0.01,,
14902,-0.06,-0.01,,
