feature,model,coef,class
Labor Force Diff,Logistic Regression - L1,0.0,Loss
Employed Diff,Logistic Regression - L1,0.0,Loss
Unemployed Level Diff,Logistic Regression - L1,0.0,Loss
Unemployed Rate Diff,Logistic Regression - L1,0.0,Loss
Median Age 10,Logistic Regression - L1,0.0,Loss
Median Age Male 10,Logistic Regression - L1,0.0,Loss
Median Age Female 10,Logistic Regression - L1,0.0,Loss
# of Households 10,Logistic Regression - L1,0.0,Loss
Avg Household Size 10,Logistic Regression - L1,0.0,Loss
# of Families 10,Logistic Regression - L1,0.0,Loss
Avg Family Size 10,Logistic Regression - L1,0.0,Loss
# of Housing Units 10,Logistic Regression - L1,0.0,Loss
County Population,Logistic Regression - L1,0.0,Loss
CARES ESSER I 20,Logistic Regression - L1,0.1198741969662297,Loss
CRRSA ESSER II 21,Logistic Regression - L1,0.0,Loss
ARP ESSER III 21,Logistic Regression - L1,0.0,Loss
ESSER-SUPP 22,Logistic Regression - L1,0.0,Loss
ESSER-SUPP 23,Logistic Regression - L1,0.0,Loss
% County Infected 09/28/20,Logistic Regression - L1,0.0,Loss
% County Deaths 09/28/20,Logistic Regression - L1,0.0,Loss
% County Infected 10/30/20,Logistic Regression - L1,0.0,Loss
% County Deaths 10/30/20,Logistic Regression - L1,0.0,Loss
% County Infected 01/29/21,Logistic Regression - L1,0.0,Loss
% County Deaths 01/29/21,Logistic Regression - L1,0.0,Loss
% On Campus 09/28/20,Logistic Regression - L1,0.0,Loss
% On Campus 10/30/20,Logistic Regression - L1,-0.3732305914486008,Loss
% On Campus 01/29/21,Logistic Regression - L1,-0.2731523456031275,Loss
% White Pop 10,Logistic Regression - L1,0.020872752270787664,Loss
% Black Pop 10,Logistic Regression - L1,0.0,Loss
% Asian Pop 10,Logistic Regression - L1,0.0,Loss
% Hispanic Pop 10,Logistic Regression - L1,0.0,Loss
% Male Pop 10,Logistic Regression - L1,0.0,Loss
% Female Pop 10,Logistic Regression - L1,0.0,Loss
% Age 0-4 Pop 10,Logistic Regression - L1,0.0,Loss
% Age 5-9 Pop 10,Logistic Regression - L1,0.0,Loss
% Age 10-14 Pop 10,Logistic Regression - L1,0.03749367402709682,Loss
% Age 15-19 Pop 10,Logistic Regression - L1,0.0,Loss
% Age 20-24 Pop 10,Logistic Regression - L1,0.0,Loss
% Age 25-34 Pop 10,Logistic Regression - L1,0.0,Loss
% Age 35-44 Pop 10,Logistic Regression - L1,0.14090790779357956,Loss
% Age 45-54 Pop 10,Logistic Regression - L1,0.0,Loss
% Age 55-64 Pop 10,Logistic Regression - L1,0.0,Loss
% Age 65-74 Pop 10,Logistic Regression - L1,0.0,Loss
% Age 75-84 Pop 10,Logistic Regression - L1,0.0,Loss
% Age 85-Up Pop 10,Logistic Regression - L1,-0.02524753348566997,Loss
% HH 1 Male 10,Logistic Regression - L1,0.0,Loss
% HH 1 Female 10,Logistic Regression - L1,0.0,Loss
% HH Married-Child 10,Logistic Regression - L1,0.0,Loss
% HH Married-noChild 10,Logistic Regression - L1,0.0,Loss
% HH Male-Child 10,Logistic Regression - L1,0.0,Loss
% HH Female-Child 10,Logistic Regression - L1,0.0,Loss
% Housing Vacant 10,Logistic Regression - L1,0.0,Loss
% Housing Owner Occup 10,Logistic Regression - L1,-0.04712148703642877,Loss
% Housing Renter Occup 10,Logistic Regression - L1,0.0,Loss
Total Schools Diff,Logistic Regression - L1,0.0,Loss
Total Students Diff,Logistic Regression - L1,0.03732033777516332,Loss
% Operational Schools Diff,Logistic Regression - L1,0.056471585512625065,Loss
% Title 1 School-wide Diff,Logistic Regression - L1,-0.019614877200436896,Loss
% Title 1 Eligible Diff,Logistic Regression - L1,0.0,Loss
Teachers:Students Diff,Logistic Regression - L1,0.07436791399332174,Loss
Staff:Students Diff,Logistic Regression - L1,0.0,Loss
% Free Lunch Diff,Logistic Regression - L1,0.0,Loss
% Reduced-price Lunch Diff,Logistic Regression - L1,-0.0244250343220929,Loss
% Asian Diff,Logistic Regression - L1,-0.16154661684896007,Loss
% Hispanic Diff,Logistic Regression - L1,0.05929660164468256,Loss
% Black Diff,Logistic Regression - L1,0.0,Loss
% White Diff,Logistic Regression - L1,0.007276550542618526,Loss
% Grades 1-8 Diff,Logistic Regression - L1,0.0,Loss
% Grades 9-12 Diff,Logistic Regression - L1,0.0,Loss
% Prek Diff,Logistic Regression - L1,-0.00022131114173012164,Loss
% Kinder Diff,Logistic Regression - L1,0.010812883229387235,Loss
% ADA Diff,Logistic Regression - L1,0.0,Loss
% Tested Reading G3 Diff,Logistic Regression - L1,0.0,Loss
% Tested Reading G4 Diff,Logistic Regression - L1,0.0,Loss
% Tested Reading G5 Diff,Logistic Regression - L1,0.0,Loss
% Tested Reading G6 Diff,Logistic Regression - L1,-0.16215395691119117,Loss
% Tested Reading G7 Diff,Logistic Regression - L1,0.08558482043704062,Loss
% Tested Reading G8 Diff,Logistic Regression - L1,0.0,Loss
Locale_11-City: Large,Logistic Regression - L1,0.14388318842952597,Loss
Locale_12-City: Mid-size,Logistic Regression - L1,0.050394937830256885,Loss
Locale_13-City: Small,Logistic Regression - L1,-0.08410740597901513,Loss
Locale_21-Suburb: Large,Logistic Regression - L1,0.0,Loss
Locale_22-Suburb: Mid-size,Logistic Regression - L1,-0.0716342724014984,Loss
Locale_23-Suburb: Small,Logistic Regression - L1,-0.022254399015072562,Loss
Locale_31-Town: Fringe,Logistic Regression - L1,0.0,Loss
Locale_32-Town: Distant,Logistic Regression - L1,-0.02222044878280586,Loss
Locale_33-Town: Remote,Logistic Regression - L1,-0.08212543435916243,Loss
Locale_41-Rural: Fringe,Logistic Regression - L1,-0.0538780314157803,Loss
Locale_42-Rural: Distant,Logistic Regression - L1,0.0,Loss
Locale_43-Rural: Remote,Logistic Regression - L1,0.0,Loss
Labor Force Diff,Logistic Regression - L1,0.0,Expected
Employed Diff,Logistic Regression - L1,0.08414637693295719,Expected
Unemployed Level Diff,Logistic Regression - L1,-0.005435089198571531,Expected
Unemployed Rate Diff,Logistic Regression - L1,-0.03465089933463039,Expected
Median Age 10,Logistic Regression - L1,0.0,Expected
Median Age Male 10,Logistic Regression - L1,0.0,Expected
Median Age Female 10,Logistic Regression - L1,0.0,Expected
# of Households 10,Logistic Regression - L1,0.0,Expected
Avg Household Size 10,Logistic Regression - L1,0.0,Expected
# of Families 10,Logistic Regression - L1,0.0,Expected
Avg Family Size 10,Logistic Regression - L1,0.0,Expected
# of Housing Units 10,Logistic Regression - L1,0.0,Expected
County Population,Logistic Regression - L1,0.0,Expected
CARES ESSER I 20,Logistic Regression - L1,-0.034763484107648915,Expected
CRRSA ESSER II 21,Logistic Regression - L1,0.0,Expected
ARP ESSER III 21,Logistic Regression - L1,0.0,Expected
ESSER-SUPP 22,Logistic Regression - L1,0.0,Expected
ESSER-SUPP 23,Logistic Regression - L1,0.0,Expected
% County Infected 09/28/20,Logistic Regression - L1,-0.06503759013460957,Expected
% County Deaths 09/28/20,Logistic Regression - L1,-0.0039002886949372336,Expected
% County Infected 10/30/20,Logistic Regression - L1,-0.016243494178435722,Expected
% County Deaths 10/30/20,Logistic Regression - L1,0.0,Expected
% County Infected 01/29/21,Logistic Regression - L1,0.0,Expected
% County Deaths 01/29/21,Logistic Regression - L1,0.0,Expected
% On Campus 09/28/20,Logistic Regression - L1,0.0,Expected
% On Campus 10/30/20,Logistic Regression - L1,0.09837701907075304,Expected
% On Campus 01/29/21,Logistic Regression - L1,0.20436232097817947,Expected
% White Pop 10,Logistic Regression - L1,0.0,Expected
% Black Pop 10,Logistic Regression - L1,0.0,Expected
% Asian Pop 10,Logistic Regression - L1,0.0,Expected
% Hispanic Pop 10,Logistic Regression - L1,0.0,Expected
% Male Pop 10,Logistic Regression - L1,0.0,Expected
% Female Pop 10,Logistic Regression - L1,0.0,Expected
% Age 0-4 Pop 10,Logistic Regression - L1,0.0,Expected
% Age 5-9 Pop 10,Logistic Regression - L1,0.0,Expected
% Age 10-14 Pop 10,Logistic Regression - L1,0.0,Expected
% Age 15-19 Pop 10,Logistic Regression - L1,0.0,Expected
% Age 20-24 Pop 10,Logistic Regression - L1,0.0,Expected
% Age 25-34 Pop 10,Logistic Regression - L1,-0.017192326728645287,Expected
% Age 35-44 Pop 10,Logistic Regression - L1,0.0,Expected
% Age 45-54 Pop 10,Logistic Regression - L1,0.0,Expected
% Age 55-64 Pop 10,Logistic Regression - L1,0.0,Expected
% Age 65-74 Pop 10,Logistic Regression - L1,0.0,Expected
% Age 75-84 Pop 10,Logistic Regression - L1,0.0,Expected
% Age 85-Up Pop 10,Logistic Regression - L1,0.009878412212580824,Expected
% HH 1 Male 10,Logistic Regression - L1,0.0,Expected
% HH 1 Female 10,Logistic Regression - L1,0.0,Expected
% HH Married-Child 10,Logistic Regression - L1,-0.09598027975981303,Expected
% HH Married-noChild 10,Logistic Regression - L1,0.0,Expected
% HH Male-Child 10,Logistic Regression - L1,0.0,Expected
% HH Female-Child 10,Logistic Regression - L1,0.0,Expected
% Housing Vacant 10,Logistic Regression - L1,0.0,Expected
% Housing Owner Occup 10,Logistic Regression - L1,0.0,Expected
% Housing Renter Occup 10,Logistic Regression - L1,0.0,Expected
Total Schools Diff,Logistic Regression - L1,0.021756573402376703,Expected
Total Students Diff,Logistic Regression - L1,-0.033373548157798534,Expected
% Operational Schools Diff,Logistic Regression - L1,0.0,Expected
% Title 1 School-wide Diff,Logistic Regression - L1,0.0,Expected
% Title 1 Eligible Diff,Logistic Regression - L1,0.032053690469455096,Expected
Teachers:Students Diff,Logistic Regression - L1,-0.1259934056661209,Expected
Staff:Students Diff,Logistic Regression - L1,0.0,Expected
% Free Lunch Diff,Logistic Regression - L1,-0.021375052207148682,Expected
% Reduced-price Lunch Diff,Logistic Regression - L1,0.04321622582668116,Expected
% Asian Diff,Logistic Regression - L1,0.0,Expected
% Hispanic Diff,Logistic Regression - L1,-0.010496327636407805,Expected
% Black Diff,Logistic Regression - L1,0.0022429560569861107,Expected
% White Diff,Logistic Regression - L1,-0.007792412178184622,Expected
