County,County Name,2017-2018 ADA,2018-2019 ADA,2019-2020 ADA,2020-2021 ADA,2021-2022 ADA,County #
1,ANDERSON COUNTY,7786.972,7690.767,7340.511,7213.337,7330.377,48001
2,ANDREWS COUNTY,3840.233,4085.355,4064.983,4068.126,3893.362,48003
3,ANGELINA COUNTY,15973.608,15763.882000000001,15282.635,14801.498000000001,14898.572,48005
4,ARANSAS COUNTY,3192.177,2641.349,2680.589,2681.159,2754.2490000000003,48007
5,ARCHER COUNTY,1806.4830000000002,1839.817,1826.4299999999998,1884.2520000000002,2011.353,48009
6,ARMSTRONG COUNTY,337.651,328.836,301.856,277.976,294.332,48011
7,ATASCOSA COUNTY,8343.211,8297.69,8055.529,7785.728,7964.465000000001,48013
8,AUSTIN COUNTY,5531.384,5471.459000000001,5374.991,5406.785,5448.405000000001,48015
9,BAILEY COUNTY,1341.46,1306.425,1216.653,1204.2910000000002,1222.65,48017
10,BANDERA COUNTY,2351.15,2301.351,2272.414,2291.4429999999998,2359.772,48019
11,BASTROP COUNTY,15982.233,16262.288,16202.709,16441.785,17315.571,48021
12,BAYLOR COUNTY,544.196,547.721,536.4250000000001,574.817,575.85,48023
13,BEE COUNTY,4770.163,4788.781,4554.759,4448.232,4448.46,48025
14,BELL COUNTY,68967.727,69996.885,68526.333,69078.083,70094.378,48027
15,BEXAR COUNTY,324288.238,319248.163,309616.60599999997,314800.159,310138.873,48029
16,BLANCO COUNTY,1602.393,1585.7820000000002,1563.962,1536.781,1645.077,48031
17,BORDEN COUNTY,221.089,202.727,195.843,213.923,225.39200000000002,48033
18,BOSQUE COUNTY,2724.853,2718.101,2602.919,2573.053,2620.645,48035
19,BOWIE COUNTY,16239.429,16144.635,17074.289,16159.782000000001,15691.38,48037
20,BRAZORIA COUNTY,67442.99,68160.471,68022.363,68680.539,68121.551,48039
21,BRAZOS COUNTY,28745.496,28449.188000000002,27938.962,28682.943,28668.809,48041
22,BREWSTER COUNTY,1165.744,1095.127,1090.3210000000001,1055.969,1019.628,48043
23,BRISCOE COUNTY,192.657,181.511,170.74,170.056,176.00300000000001,48045
24,BROOKS COUNTY,1440.826,1383.155,1179.992,1286.739,1201.2540000000001,48047
25,BROWN COUNTY,6142.182,6046.777,5698.535,5703.508,5730.246000000001,48049
26,BURLESON COUNTY,2588.177,2573.15,2485.602,2516.761,2657.685,48051
27,BURNET COUNTY,6847.287,6901.561,6816.626,6667.2570000000005,6699.369000000001,48053
28,CALDWELL COUNTY,6858.972,7059.45,6901.616000000001,6807.915,7058.8150000000005,48055
29,CALHOUN COUNTY,3593.334,3511.584,3406.929,3250.606,3262.272,48057
30,CALLAHAN COUNTY,2326.504,2328.341,2238.781,2265.307,2373.2450000000003,48059
31,CAMERON COUNTY,91008.35,89563.728,81621.91500000001,84651.31700000001,79201.026,48061
32,CAMP COUNTY,2186.129,2199.512,2163.6910000000003,2178.13,2196.077,48063
33,CARSON COUNTY,1136.2669999999998,1101.1490000000001,1078.131,1069.241,1051.294,48065
34,CASS COUNTY,5049.32,5065.282,4921.39,4959.433,4912.33,48067
35,CASTRO COUNTY,1553.7459999999999,1527.277,1458.78,1481.334,1438.3310000000001,48069
36,CHAMBERS COUNTY,7779.444,8061.771000000001,8629.891,8975.196,9148.42,48071
37,CHEROKEE COUNTY,7890.504,7767.764,7502.193,7522.564,7504.484,48073
38,CHILDRESS COUNTY,1042.769,1023.414,975.706,925.784,935.186,48075
39,CLAY COUNTY,1591.471,1526.545,1515.151,1496.418,1574.6970000000001,48077
40,COCHRAN COUNTY,649.625,647.596,631.089,645.972,607.0260000000001,48079
41,COKE COUNTY,468.253,473.33500000000004,459.78,448.73199999999997,463.88700000000006,48081
42,COLEMAN COUNTY,1205.027,1157.6960000000001,1084.983,1136.253,1107.094,48083
43,COLLIN COUNTY,199477.301,204535.835,210559.793,216045.193,218104.25699999998,48085
44,COLLINGSWORTH COUNTY,548.603,539.252,521.96,476.619,494.44100000000003,48087
45,COLORADO COUNTY,3278.542,3269.273,3154.461,3164.888,3206.14,48089
46,COMAL COUNTY,30616.362999999998,31563.549,32561.567000000003,33881.228,34976.213,48091
47,COMANCHE COUNTY,2123.0969999999998,2139.185,2133.381,1881.9029999999998,2115.571,48093
48,CONCHO COUNTY,437.12699999999995,421.02599999999995,410.313,437.804,414.725,48095
49,COOKE COUNTY,6195.399,6351.566,6136.9890000000005,6237.499,6298.773,48097
50,CORYELL COUNTY,10677.366,10757.551,10723.847,10903.304,10525.551,48099
51,COTTLE COUNTY,194.544,185.175,175.85,173.731,148.21,48101
