County #,County Name,District #,District Name,2004-2005 ADA,2005-2006 ADA,2006-2007 ADA,2007-2008 ADA,2008-2009 ADA,2009-2010 ADA,2010-2011 ADA,2011-2012 ADA,2012-2013 ADA,2013-2014 ADA,2014-2015 ADA,2015-2016 ADA,2016-2017 ADA,2017-2018 ADA,2018-2019 ADA,2019-2020 ADA,2020-2021 ADA,2021-2022 ADA
1,ANDERSON COUNTY,1902,CAYUGA ISD,552.283,545.145,544.206,552.317,568.046,591.523,576.617,568.308,560.125,536.913,558.005,550.326,554.814,548.228,538.511,523.142,515.33,543.274
1,ANDERSON COUNTY,1903,ELKHART ISD,1162.821,1177.646,1188.112,1237.254,1246.393,1240.699,1226.52,1179.622,1134.768,1123.365,1137.801,1158.018,1166.669,1132.978,1140.619,1132.691,1068.994,1076.294
1,ANDERSON COUNTY,1904,FRANKSTON ISD,749.499,756.271,744.326,741.357,720.495,707.63,731.415,697.35,713.236,725.837,748.137,780.154,797.272,797.575,747.921,727.934,688.153,793.2610000000001
1,ANDERSON COUNTY,1906,NECHES ISD,299.036,315.902,335.738,346.374,372.665,360.553,357.141,391.025,396.754,376.778,358.111,358.753,350.906,327.036,333.217,308.659,311.103,304.921
1,ANDERSON COUNTY,1907,PALESTINE ISD,3112.474,3175.535,3143.594,3039.308,3022.888,2999.546,3000.819,2979.492,3052.135,3018.452,3110.645,3134.608,3185.31,3138.39,3147.606,3008.592,3076.1290000000004,3053.2830000000004
1,ANDERSON COUNTY,1908,WESTWOOD ISD,1642.234,1694.943,1638.207,1612.925,1613.025,1583.488,1616.274,1614.834,1507.839,1503.275,1510.399,1499.753,1489.363,1451.229,1409.649,1306.538,1216.925,1232.179
1,ANDERSON COUNTY,1909,SLOCUM ISD,351.161,365.23,373.394,356.965,360.607,386.353,376.932,396.126,400.78,371.52,373.992,378.513,379.871,391.536,373.244,332.95500000000004,336.70300000000003,327.165
2,ANDREWS COUNTY,2901,ANDREWS ISD,2662.367,2698.61,2764.905,2799.608,2851.753,2881.894,2976.633,3157.862,3366.741,3553.745,3753.993,3749.55,3757.695,3840.233,4085.355,4064.983,4068.126,3893.362
3,ANGELINA COUNTY,3801,PINEYWOODS COMMUNITY ACADEMY,179.468,204.446,246.233,291.182,276.202,314.855,427.403,503.797,577.291,654.037,762.172,899.924,964.194,958.81,973.413,965.571,925.483,906.4970000000001
3,ANGELINA COUNTY,3902,HUDSON ISD,2218.305,2284.543,2292.77,2354.864,2365.341,2469.576,2487.889,2554.932,2581.783,2609.918,2649.564,2619.908,2678.311,2731.192,2776.51,2711.964,2635.139,2625.188
