,County #,Confirmed Deaths 09/28/20,Confirmed Deaths 10/30/20,Confirmed Deaths 01/29/21,Confirmed Deaths 07/28/2021,Confirmed Deaths 01/29/2022,Confirmed Deaths 07/29/2022,Confirmed Deaths 10/30/2022,Confirmed Cases 09/28/20,Confirmed Cases 10/30/20,Confirmed Cases 01/29/21,Confirmed Cases 07/28/2021,Confirmed Cases 01/29/2022,Confirmed Cases 07/29/2022,Confirmed Cases 10/30/2022,County Population
0,48001,37.0,44.0,99.0,134,220,240,251,2840.0,2970.0,5804.0,6222,9208,10086,10613,57735.0
1,48003,10.0,11.0,45.0,47,69,72,73,425.0,667.0,1649.0,1887,3686,4183,4721,18705.0
2,48005,86.0,94.0,236.0,289,444,487,496,2144.0,2317.0,7121.0,8990,14702,16066,16628,86715.0
3,48007,18.0,18.0,33.0,43,71,89,94,323.0,351.0,979.0,1427,3565,4805,5252,23510.0
4,48009,1.0,1.0,11.0,12,24,28,29,87.0,161.0,745.0,821,1976,2382,2523,8553.0
5,48011,1.0,1.0,6.0,7,8,10,10,13.0,27.0,139.0,219,472,609,638,1887.0
6,48013,34.0,38.0,125.0,155,217,233,238,1144.0,1292.0,4395.0,6132,12357,14523,15259,51153.0
7,48015,10.0,10.0,27.0,39,61,75,82,499.0,516.0,1551.0,2320,5086,6334,6686,30032.0
8,48017,5.0,5.0,16.0,19,31,39,39,219.0,311.0,762.0,874,1330,1660,1688,7000.0
9,48019,8.0,9.0,23.0,33,70,78,80,157.0,188.0,966.0,1520,3268,3924,4120,23112.0
10,48021,31.0,35.0,70.0,109,199,240,246,1818.0,2014.0,4937.0,10279,20425,24229,25916,88723.0
11,48023,1.0,3.0,12.0,13,28,32,33,19.0,44.0,284.0,305,777,856,905,3509.0
12,48025,37.0,40.0,59.0,75,142,154,155,1820.0,1870.0,3221.0,3632,7646,9075,9561,32565.0
13,48027,92.0,104.0,318.0,474,783,916,931,5473.0,6534.0,18154.0,26533,59878,74426,80493,362924.0
14,48029,1376.0,1467.0,2774.0,3718,5546,6224,6357,46829.0,53208.0,166022.0,236682,502209,621521,664508,2003554.0
15,48031,5.0,6.0,16.0,22,30,34,35,144.0,162.0,362.0,808,2286,2840,3014,11931.0
16,48033,0.0,0.0,1.0,2,2,2,2,1.0,2.0,17.0,31,93,108,115,654.0
17,48035,8.0,14.0,28.0,38,62,70,74,324.0,414.0,1037.0,1764,3704,4354,4698,18685.0
18,48037,61.0,95.0,168.0,232,374,439,448,1377.0,1997.0,5754.0,8112,17719,21670,23405,93245.0
19,48039,178.0,191.0,341.0,554,914,993,1020,11395.0,12436.0,28149.0,40547,88081,105748,112365,374264.0
20,48041,67.0,86.0,199.0,265,375,422,428,6332.0,7626.0,18374.0,28591,56463,66725,71414,229211.0
21,48043,5.0,5.0,12.0,18,25,31,32,218.0,250.0,827.0,949,998,1167,1274,9203.0
22,48045,1.0,1.0,4.0,7,8,8,8,12.0,24.0,120.0,181,418,485,523,1546.0
23,48047,26.0,26.0,31.0,37,49,52,52,317.0,361.0,714.0,889,1475,1798,1946,7093.0
24,48049,26.0,29.0,99.0,124,195,229,233,570.0,698.0,3764.0,4530,9690,12785,13941,37864.0
25,48051,6.0,6.0,30.0,48,62,67,68,339.0,475.0,1176.0,2535,4734,5400,5754,18443.0
26,48053,12.0,15.0,50.0,73,142,173,177,729.0,1085.0,2345.0,5167,9971,12087,12912,48155.0
27,48055,36.0,39.0,70.0,102,167,180,184,1523.0,1721.0,2891.0,5987,12956,15915,16979,43664.0
28,48057,8.0,9.0,14.0,26,41,51,53,821.0,938.0,1550.0,2568,5322,6256,6696,21290.0
29,48059,4.0,6.0,35.0,42,64,72,76,88.0,137.0,1061.0,1231,2625,3147,3330,13943.0
30,48061,957.0,1008.0,1256.0,1551,1882,2055,2092,22698.0,24221.0,34691.0,44091,90652,118373,127000,423163.0
31,48063,12.0,14.0,36.0,46,70,76,77,355.0,405.0,1052.0,1369,2606,3070,3412,13094.0
32,48065,0.0,1.0,12.0,14,31,37,37,23.0,54.0,346.0,619,1385,1597,1665,5926.0
33,48067,18.0,30.0,74.0,88,172,197,199,372.0,547.0,1609.0,2376,6097,7715,8530,30026.0
34,48069,5.0,7.0,28.0,32,45,47,48,257.0,318.0,847.0,1083,2165,2450,2604,7530.0
35,48071,8.0,10.0,21.0,31,64,70,71,1309.0,1571.0,3721.0,5573,9729,11369,11960,43837.0
36,48073,33.0,46.0,123.0,149,233,254,257,1547.0,1647.0,3769.0,4458,7576,8501,9223,52646.0
37,48075,0.0,0.0,16.0,17,27,34,34,69.0,124.0,1310.0,1382,2266,2765,2835,7306.0
38,48077,2.0,4.0,15.0,17,27,38,41,90.0,129.0,939.0,1068,1969,2281,2383,10471.0
39,48079,1.0,3.0,13.0,15,21,23,23,52.0,116.0,222.0,340,800,921,962,2853.0
40,48081,3.0,8.0,11.0,13,18,20,20,53.0,129.0,436.0,474,802,944,1015,3387.0
41,48083,4.0,5.0,26.0,35,64,72,74,72.0,96.0,634.0,797,1534,1752,1945,8175.0
42,48085,159.0,205.0,651.0,866,1318,1525,1565,13770.0,18362.0,71865.0,95861,190231,239563,260071,1034730.0
43,48087,0.0,0.0,9.0,9,13,16,16,18.0,21.0,249.0,334,620,753,829,2920.0
44,48089,4.0,4.0,22.0,33,57,66,67,486.0,504.0,1347.0,1835,3369,4057,4274,21493.0
45,48091,103.0,107.0,242.0,322,498,562,571,2714.0,2878.0,8073.0,12340,29584,38363,40957,156209.0
46,48093,5.0,5.0,45.0,52,72,78,78,300.0,373.0,1143.0,1593,3031,3803,3900,13635.0
47,48095,2.0,2.0,6.0,9,10,11,12,130.0,144.0,264.0,515,995,1176,1281,2726.0
48,48097,6.0,9.0,57.0,72,118,134,137,440.0,570.0,3126.0,3851,6841,7815,8188,41257.0
49,48099,13.0,15.0,66.0,95,179,215,223,1816.0,1986.0,4505.0,7724,16093,18983,20207,75951.0
50,48101,3.0,4.0,7.0,7,9,9,9,27.0,40.0,179.0,193,271,345,355,1398.0
51,48103,2.0,4.0,11.0,13,21,24,24,72.0,77.0,500.0,576,1165,1367,1452,4797.0
52,48105,7.0,7.0,15.0,15,17,20,20,164.0,166.0,510.0,618,952,1188,1263,3464.0
53,48107,3.0,11.0,25.0,29,44,45,46,87.0,116.0,428.0,774,1768,1984,2159,5737.0
54,48109,2.0,4.0,7.0,11,13,14,14,54.0,125.0,323.0,367,495,523,530,2171.0
55,48111,10.0,11.0,24.0,26,35,41,43,249.0,385.0,555.0,994,1942,2225,2330,7287.0
56,48113,1188.0,1362.0,3277.0,4222,6052,6817,6951,81175.0,95402.0,253684.0,314372,540704,621430,663187,2635516.0
57,48115,11.0,22.0,67.0,70,90,96,100,433.0,882.0,1674.0,1757,2404,3105,3335,12728.0
58,48117,25.0,36.0,61.0,68,105,115,115,886.0,1040.0,2476.0,2992,4040,5057,5304,18546.0
59,48119,0.0,0.0,9.0,14,22,27,27,26.0,35.0,247.0,367,1678,1902,1985,5331.0
60,48121,158.0,189.0,586.0,794,1186,1372,1399,11985.0,14769.0,52594.0,79128,159646,187687,201775,887207.0
61,48123,0.0,0.0,0.0,0,86,100,106,996.0,1086.0,1694.0,2050,6198,6833,7080,20160.0
62,48125,2.0,2.0,8.0,10,15,16,16,49.0,55.0,137.0,198,403,476,495,2211.0
63,48127,7.0,8.0,19.0,38,48,51,51,256.0,294.0,1161.0,2943,5203,5991,6097,10124.0
64,48129,1.0,1.0,12.0,15,20,26,26,64.0,86.0,326.0,431,924,1198,1249,3278.0
65,48131,17.0,23.0,37.0,43,64,70,73,439.0,493.0,1112.0,1367,2889,3801,4120,11157.0
66,48133,4.0,8.0,33.0,50,97,114,117,171.0,260.0,1069.0,1386,2660,2961,3201,18360.0
67,48135,91.0,109.0,313.0,386,610,710,723,3114.0,3950.0,13467.0,18230,35715,39497,41700,166223.0
68,48137,2.0,2.0,4.0,6,10,11,11,67.0,72.0,227.0,250,428,508,559,1932.0
69,48139,71.0,95.0,261.0,330,518,3767,603,4398.0,5029.0,18450.0,23511,45907,228127,55364,184826.0
70,48141,569.0,864.0,2345.0,2770,3392,589,592,23905.0,47052.0,112652.0,137844,190466,52421,53792,839238.0
71,48143,13.0,19.0,62.0,71,113,124,126,847.0,1054.0,3658.0,4360,8034,9124,9471,42698.0
72,48145,6.0,7.0,27.0,33,56,67,68,279.0,684.0,1380.0,2115,3567,4002,4257,17297.0
73,48147,15.0,24.0,91.0,112,165,184,190,679.0,797.0,2801.0,3531,6307,7279,7732,35514.0
74,48149,21.0,23.0,51.0,71,98,111,114,478.0,526.0,1577.0,2875,4469,5096,5350,25346.0
75,48151,3.0,4.0,13.0,14,20,24,26,66.0,112.0,282.0,311,565,640,688,3830.0
76,48153,9.0,13.0,29.0,30,44,48,49,111.0,128.0,685.0,916,1838,2072,2219,5712.0
77,48155,0.0,1.0,8.0,10,11,11,11,9.0,22.0,96.0,124,193,226,237,1155.0
78,48157,300.0,326.0,530.0,725,1051,1173,1187,16207.0,17634.0,49529.0,72136,163827,219193,226700,811688.0
79,48159,6.0,9.0,22.0,26,37,45,45,134.0,222.0,603.0,827,1949,2341,2545,10725.0
80,48161,3.0,5.0,39.0,51,80,82,85,410.0,462.0,1021.0,2040,3685,4018,4171,19717.0
81,48163,9.0,9.0,40.0,55,82,94,95,975.0,1020.0,2341.0,3047,5064,6284,6523,20306.0
82,48165,9.0,13.0,40.0,46,75,83,83,343.0,566.0,1379.0,1477,1719,2252,2356,21492.0
83,48167,164.0,171.0,303.0,464,787,866,881,11604.0,12606.0,30058.0,43528,89770,108978,115090,342139.0
84,48169,4.0,9.0,18.0,22,26,29,30,105.0,123.0,300.0,562,1183,1332,1415,6229.0
85,48171,10.0,10.0,44.0,54,96,109,114,312.0,368.0,2115.0,2707,4890,5763,5983,26988.0
86,48173,0.0,0.0,2.0,2,3,3,3,9.0,13.0,105.0,105,188,217,222,1409.0
87,48175,6.0,6.0,12.0,16,29,32,33,154.0,166.0,362.0,503,1058,1344,1472,7658.0
88,48177,18.0,20.0,42.0,59,92,103,106,1058.0,1132.0,2244.0,2808,4274,4993,5207,20837.0
89,48179,7.0,12.0,50.0,58,110,127,131,310.0,502.0,1849.0,2587,5792,6466,6720,21886.0
90,48181,51.0,85.0,286.0,353,561,647,664,1866.0,2681.0,9644.0,11774,24826,28700,30342,136212.0
91,48183,79.0,95.0,300.0,368,605,696,714,2225.0,2587.0,9627.0,11887,22015,24586,25878,123945.0
92,48185,33.0,36.0,60.0,74,113,125,125,1087.0,1191.0,1953.0,4067,7955,9237,9699,28880.0
93,48187,79.0,83.0,171.0,229,359,404,415,3560.0,3908.0,10691.0,16563,33886,41490,43842,166847.0
94,48189,56.0,72.0,149.0,157,220,246,248,1865.0,2678.0,5825.0,6278,6272,7130,7756,33406.0
95,48191,1.0,1.0,14.0,14,20,24,24,28.0,44.0,379.0,501,901,1159,1234,2964.0
96,48193,4.0,7.0,23.0,28,29,34,35,137.0,204.0,592.0,841,1883,2004,2041,8461.0
97,48195,5.0,8.0,21.0,25,27,29,30,114.0,191.0,719.0,954,1559,2090,2196,5399.0
98,48197,0.0,3.0,12.0,12,14,19,20,25.0,63.0,336.0,388,542,572,604,3933.0
99,48199,31.0,35.0,85.0,121,223,252,254,1342.0,1457.0,4380.0,6478,11500,13414,14133,57602.0
100,48201,2752.0,2927.0,4772.0,6779,10200,11111,11354,141353.0,160984.0,308902.0,414098,947954,1152498,1220616,4713325.0
101,48203,38.0,42.0,90.0,112,203,227,232,896.0,1108.0,3996.0,5687,11969,14192,15296,66553.0
102,48205,0.0,0.0,2.0,2,3,3,3,130.0,173.0,379.0,674,1228,1394,1463,5576.0
103,48207,3.0,3.0,23.0,28,37,39,39,65.0,86.0,395.0,465,863,954,1031,5658.0
104,48209,67.0,76.0,165.0,232,391,442,456,5871.0,6119.0,16602.0,22420,53233,65245,70758,230191.0
105,48211,0.0,1.0,2.0,3,4,7,8,73.0,147.0,515.0,593,1017,1286,1342,3819.0
