District #,CARES ESSER I 20,CRRSA ESSER II 21,ARP ESSER III 21,ESSER-SUPP 22,ESSER-SUPP 23
57816,504727,1716028,3855200,0,0
57829,486940,2191417,4923202,0,0
101871,43143,200027,449378,0,0
109901,24677,89211,200420,0,0
95901,148782,547022,1228930,0,0
221901,3970117,18732848,42084907,0,0
57814,319147,1353483,3040713,0,0
14901,87745,365709,821596,270526,270527
101810,308141,1420655,3191620,0,0
57810,180574,650831,1462146,0,0
101849,187211,711387,1598189,0,0
180903,11258,61882,139023,0,0
57806,396824,1437759,3230046,0,0
178901,87504,381293,856607,0,0
15901,307326,1344228,3019920,42434,42434
250906,226171,935803,2102359,0,0
209901,76315,336870,756806,0,0
101902,24380064,105000820,235893107,0,0
184907,235781,977867,2196860,899930,899929
125901,1685876,7662735,17214975,0,0
101903,17137807,75025108,168550167,0,0
101815,54498,257977,579566,0,0
43901,404265,3837264,8620733,1150976,1150975
22901,162989,741509,1665862,0,0
37901,191131,848282,1905737,0,0
126901,476009,2159203,4850831,0,0
20901,2234679,9468386,21271519,83101,83101
249901,57455,232937,523311,0,0
188901,7337273,32375036,72733222,0,0
84804,79315,285526,641459,0,0
140901,63914,230083,516901,0,0
101819,234332,1035522,2326388,0,0
36901,198612,827108,1858167,0,0
93901,63846,275950,619945,0,0
2901,457016,1926397,4327812,0,0
20902,887219,4138615,9297743,0,0
43902,191585,751242,1687729,1071606,1071605
127901,141993,645351,1449835,0,0
71906,194653,823119,1849204,0,0
110901,71831,460283,1034064,0,0
228905,77228,360132,809067,0,0
109912,30846,134015,301077,0,0
4901,816698,3733925,8388575,0,0
205901,535522,2156494,4844743,0,0
5901,74077,349851,785969,0,0
61910,38769,168896,379439,1131300,1131300
101803,51545,245971,552595,154106,154107
220802,91309,382586,859512,0,0
220901,15005203,59962913,134711689,0,0
212901,163129,649698,1459602,0,0
21805,227989,1038212,2332430,0,0
217901,36053,142756,320714,0,0
107901,784112,3724462,8367316,0,0
34901,504622,2684800,6031628,0,0
61907,101963,464607,1043778,533390,533390
227825,554221,2457240,5520394,0,0
227821,34710,118010,265120,77373,77373
227901,17285229,69277786,155638330,0,0
196901,77996,296493,666096,0,0
70901,21861,105290,236542,54462,54463
194902,69908,304014,682993,0,0
34902,49039,229572,515752,0,0
161918,289528,1218689,2737887,0,0
220915,919783,3685435,8279638,0,0
30903,78227,314199,705873,0,0
200901,206441,790233,1775324,0,0
195902,54028,194494,436947,0,0
10902,399794,1869781,4200619,0,0
25901,156536,652739,1466433,0,0
178913,177926,701603,1576210,0,0
36902,233779,890905,2001492,879200,879200
14902,71616,322796,725188,0,0
11901,1519423,6810574,15300523,0,0
158901,1037681,4695707,10549298,0,0
101847,161573,721003,1619794,0,0
123910,6071436,25428686,57127666,0,0
183901,75747,369274,829606,0,0
13901,1038062,4536678,10192026,0,0
39904,19064,80607,181091,0,0
91901,67352,270791,608354,0,0
8901,424372,1708587,3838483,0,0
14903,1171977,4950005,11120599,0,0
125902,107298,489142,1098899,0,0
66901,150936,573542,1288510,0,0
101870,141940,847674,1904371,0,0
152806,51473,190013,426881,0,0
15809,132159,548124,1231407,0,0
230901,184167,697286,1566511,0,0
187901,102194,431581,969582,0,0
114901,907457,4283433,9623089,0,0
193801,108254,439002,986254,0,0
220902,3966673,17368305,39019347,0,0
178902,220386,1155691,2596357,0,0
16902,142783,653153,1467363,0,0
116915,123958,604617,1358322,0,0
25904,42250,152099,341703,0,0
101875,17112,323307,726336,0,0
34909,49027,335303,753285,0,0
175902,144860,594509,1335614,0,0
235901,265776,1030607,2315345,0,0
43917,60047,294745,662170,0,0
72904,17699,82355,185017,12632,12633
109913,40097,165625,372090,0,0
123807,379310,2150386,4831021,0,0
130901,437941,1846973,4149379,813729,813729
116916,108480,482042,1082948,0,0
241901,145606,549728,1235010,0,0
74903,341178,1428858,3210048,0,0
148901,33881,140003,314529,0,0
17901,14027,55834,125436,0,0
117901,395252,1709001,3839414,0,0
161923,52283,238249,535247,0,0
185901,93836,338433,760319,0,0
169901,276381,1151762,2587529,0,0
249902,121772,457105,1026925,22114,22114
180901,367483,1640754,3686091,0,0
136901,121792,536236,1204698,0,0
160901,295801,1179846,2650623,0,0
8903,106697,400800,900431,0,0
213801,46444,191988,431317,0,0
21803,134384,552752,1241803,0,0
20905,2040576,9415415,21152516,0,0
215901,362928,1674321,3761502,0,0
198901,112002,474290,1065532,0,0
239901,809086,3414277,7670458,0,0
181901,216244,898283,2018067,4558,4559
249903,421663,1598933,3592137,0,0
203902,141984,629550,1414336,0,0
184909,47231,176919,397462,417674,417673
41901,47022,195994,440318,0,0
121902,80452,418823,940922,0,0
25908,26251,123978,278527,0,0
15830,693425,3795877,8527756,0,0
24901,807899,3656282,8214143,0,0
223901,493085,2317333,5206083,0,0
107902,580437,2534759,5694549,0,0
31901,19998459,82530144,185410858,0,0
25902,831822,3066992,6890254,0,0
161919,111510,519268,1166579,0,0
21902,4240566,18737098,42094455,0,0
119901,74018,301495,677333,0,0
166907,66035,254241,571174,0,0
186901,53244,242817,545509,0,0
145901,216798,953321,2141716,0,0
212902,260570,1139773,2560595,0,0
121903,220460,1131363,2541701,0,0
243901,456447,1835004,4122490,0,0
176901,67809,327163,734999,0,0
126902,876346,3799610,8536141,499668,499668
27903,494914,2202534,4948177,0,0
71801,215592,1037567,2330982,0,0
239903,54272,242326,544405,0,0
188904,82338,362942,815380,27677,27677
109902,39549,134460,302075,0,0
116901,182994,710932,1597169,0,0
178903,514323,1777472,3993240,0,0
26901,359419,1543828,3468337,0,0
29901,804256,3343928,7512413,0,0
49905,122356,711126,1597604,0,0
198902,135376,554135,1244911,0,0
166901,447441,2346196,5270926,0,0
116910,69718,337094,757309,0,0
106901,97611,415355,933130,0,0
234902,163424,689902,1549922,0,0
71907,1392279,5606373,12595184,0,0
191901,636421,2853592,6410834,388832,388832
201913,127586,473465,1063678,0,0
64903,940485,3974714,8929527,0,0
220919,125737,480431,1079329,1387478,1387478
57903,4103489,17001794,38195949,0,0
183902,435356,2030855,4562485,0,0
220917,956267,3566105,8011553,0,0
1902,91765,423034,950380,0,0
57904,1264255,5418575,12173280,0,0
227817,138785,596838,1340846,0,0
116902,121046,411546,924572,0,0
43903,139166,485898,1091610,481454,481454
210901,644749,2795229,6279715,0,0
133901,228401,823316,1849647,0,0
228904,28762,151828,341095,0,0
145902,116454,738295,1658641,0,0
174908,177129,754908,1695964,0,0
3907,267206,1161308,2608976,0,0
101905,1781921,7940724,17839499,0,0
103901,39562,168732,379071,0,0
220815,116912,532998,1197424,0,0
212909,683676,3031791,6811171,0,0
225906,150073,704323,1582320,0,0
7901,155848,656027,1473819,0,0
206903,68218,259220,582359,0,0
229906,46815,170035,381999,0,0
249904,101606,429105,964020,0,0
38901,239069,994186,2233523,0,0
99902,62226,270146,606906,0,0
73901,151935,630572,1416633,0,0
161920,151191,668026,1500776,163108,163109
174901,113403,489139,1098892,0,0
139905,290001,1224269,2750423,0,0
226901,48261,191724,430724,0,0
67902,181977,815550,1832202,0,0
243906,182862,781108,1754823,0,0
57841,228700,1193452,2681190,0,0
65901,128495,484702,1088923,0,0
194904,278913,1069116,2401859,0,0
6902,37063,160315,360162,0,0
84910,3530336,16259299,36527873,0,0
126903,1202720,5188966,11657445,0,0
146901,1124679,5199247,11680543,0,0
18901,191210,908691,2041450,0,0
71901,3750580,15637100,35130051,0,0
30902,251126,1075235,2415604,0,0
114902,96740,476856,1071297,0,0
204901,316012,1742241,3914090,0,0
42901,251162,1130314,2539344,0,0
21901,1417900,5738206,12891359,0,0
91902,47905,199570,448350,0,0
229901,69544,325499,731261,0,0
168901,197780,882655,1982958,0,0
20907,389120,1654804,3717656,0,0
45902,264491,1157780,2601049,0,0
46902,1659894,6873101,15440995,199462,199462
47901,271714,1144939,2572200,0,0
130902,285201,1157078,2599472,0,0
116903,443268,1763135,3961029,0,0
43918,168933,624939,1403977,643944,643944
112908,201500,759151,1705497,0,0
68802,21728,88737,199354,484882,484881
15838,478702,3202598,7194904,0,0
101842,13979,50324,113058,0,0
