feature,method,model,score,score_type,selected,Method
CARES ESSER I 20 NORM,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
CRRSA ESSER II 21 NORM,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
ARP ESSER III 21 NORM,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Average Score Math White Grade 3 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math White Grade 4 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math White Grade 5 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math White Grade 6 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math White Grade 7 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math White Grade 8 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math White Grade 3 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math White Grade 4 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math White Grade 5 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math White Grade 6 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math White Grade 7 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math White Grade 8 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math All Grade 3 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math All Grade 4 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math All Grade 5 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math All Grade 6 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math All Grade 7 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math All Grade 8 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math All Grade 3 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math All Grade 4 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math All Grade 5 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math All Grade 6 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math All Grade 7 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math All Grade 8 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Free Lunch Grade 3 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Free Lunch Grade 4 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Free Lunch Grade 5 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
