feature,Feature Importance - Random Forest,Permutation Importance - Random Forest,Permutation Importance - Ridge,RFE - Random Forest,RFE - Ridge,Regularization - Lasso,SFS - KNN,SFS - Ridge,Variance Threshold
# of Families 10,0.003451049501324467,0.0,0.0009852216748768461,1.0,241.0,0.0,1.0,1.0,1.0
# of Households 10,0.0038130272716721757,0.0019704433497536923,0.0,20.0,240.0,0.0,1.0,1.0,1.0
# of Housing Units 10,0.004230472183782985,-0.002955665024630538,0.0,22.0,254.0,0.0,1.0,1.0,1.0
% ADA 2018-2019,0.0038853697038868716,-0.0019704433497536923,0.007881773399014769,9.0,239.0,0.0,0.0,0.0,0.0
% ADA 2020-2021,0.002361995130849978,0.0,0.0009852216748768461,74.0,156.0,0.0,1.0,0.0,0.0
% ADA 2021-2022,0.0023543723505024465,0.0019704433497536923,0.014778325123152691,45.0,66.0,0.0,0.0,1.0,0.0
% Age 0-4 Pop 10,0.0020724825625821107,0.002955665024630538,-0.002955665024630538,153.0,144.0,0.0,0.0,0.0,0.0
% Age 10-14 Pop 10,0.0025696408605410627,-0.0019704433497536923,0.0049261083743842304,132.0,90.0,0.0,0.0,0.0,0.0
% Age 15-19 Pop 10,0.004193407238546874,0.0009852216748768461,0.0009852216748768461,85.0,145.0,0.0,0.0,0.0,0.0
% Age 20-24 Pop 10,0.002764252417690332,0.0019704433497536923,0.013793103448275845,109.0,54.0,0.03870397047066673,0.0,0.0,0.0
% Age 25-34 Pop 10,0.0025063394690871027,0.0,-0.0049261083743842304,27.0,132.0,0.0,0.0,0.0,0.0
% Age 35-44 Pop 10,0.0022133888059648853,-0.0019704433497536923,0.013793103448275845,65.0,55.0,0.0,0.0,0.0,0.0
% Age 45-54 Pop 10,0.003322726248891023,-0.0039408866995073845,0.0019704433497536923,94.0,100.0,0.0,0.0,0.0,0.0
% Age 5-9 Pop 10,0.002736853887644975,0.0,0.006896551724137922,79.0,162.0,0.0,0.0,0.0,0.0
% Age 55-64 Pop 10,0.0031417750573584802,-0.0019704433497536923,0.0019704433497536923,118.0,81.0,0.0,0.0,0.0,0.0
% Age 65-74 Pop 10,0.0040065403630633245,-0.0009852216748768461,0.0049261083743842304,105.0,189.0,0.0,0.0,0.0,0.0
% Age 75-84 Pop 10,0.0025390384993520657,-0.0009852216748768461,0.0,57.0,163.0,0.0,0.0,0.0,0.0
% Age 85-Up Pop 10,0.002812038091727621,-0.0049261083743842304,0.016748768472906385,1.0,26.0,0.0,0.0,0.0,0.0
% Asian Pop 10,0.0046515197190011345,0.0009852216748768461,0.007881773399014769,1.0,228.0,0.0,0.0,1.0,0.0
% Asian or Asian/Pacific Islander Students 2018-2019,0.002758409709175587,0.0039408866995073845,0.006896551724137922,1.0,2.0,0.109284550544068,0.0,0.0,0.0
