District #,r_all_d_g3_2022,r_ethh_d_g3_2022,r_etha_d_g3_2022,r_ethb_d_g3_2022,r_ethw_d_g3_2022,r_ecoy_d_g3_2022,r_eco1_d_g3_2022,r_ti1y_d_g3_2022,r_spey_d_g3_2022,m_all_d_g3_2022,m_ethh_d_g3_2022,m_etha_d_g3_2022,m_ethb_d_g3_2022,m_ethw_d_g3_2022,m_ecoy_d_g3_2022,m_eco1_d_g3_2022,m_ti1y_d_g3_2022,m_spey_d_g3_2022,r_all_rs_g3_2022,r_ethh_rs_g3_2022,r_etha_rs_g3_2022,r_ethb_rs_g3_2022,r_ethw_rs_g3_2022,r_ecoy_rs_g3_2022,r_eco1_rs_g3_2022,r_ti1y_rs_g3_2022,r_spey_rs_g3_2022,m_all_rs_g3_2022,m_ethh_rs_g3_2022,m_etha_rs_g3_2022,m_ethb_rs_g3_2022,m_ethw_rs_g3_2022,m_ecoy_rs_g3_2022,m_eco1_rs_g3_2022,m_ti1y_rs_g3_2022,m_spey_rs_g3_2022,r_all_d_g4_2022,r_ethh_d_g4_2022,r_etha_d_g4_2022,r_ethb_d_g4_2022,r_ethw_d_g4_2022,r_ecoy_d_g4_2022,r_eco1_d_g4_2022,r_ti1y_d_g4_2022,r_spey_d_g4_2022,m_all_d_g4_2022,m_ethh_d_g4_2022,m_etha_d_g4_2022,m_ethb_d_g4_2022,m_ethw_d_g4_2022,m_ecoy_d_g4_2022,m_eco1_d_g4_2022,m_ti1y_d_g4_2022,m_spey_d_g4_2022,r_all_rs_g4_2022,r_ethh_rs_g4_2022,r_etha_rs_g4_2022,r_ethb_rs_g4_2022,r_ethw_rs_g4_2022,r_ecoy_rs_g4_2022,r_eco1_rs_g4_2022,r_ti1y_rs_g4_2022,r_spey_rs_g4_2022,m_all_rs_g4_2022,m_ethh_rs_g4_2022,m_etha_rs_g4_2022,m_ethb_rs_g4_2022,m_ethw_rs_g4_2022,m_ecoy_rs_g4_2022,m_eco1_rs_g4_2022,m_ti1y_rs_g4_2022,m_spey_rs_g4_2022,r_all_d_g5_2022,r_ethh_d_g5_2022,r_etha_d_g5_2022,r_ethb_d_g5_2022,r_ethw_d_g5_2022,r_ecoy_d_g5_2022,r_eco1_d_g5_2022,r_ti1y_d_g5_2022,r_spey_d_g5_2022,m_all_d_g5_2022,m_ethh_d_g5_2022,m_etha_d_g5_2022,m_ethb_d_g5_2022,m_ethw_d_g5_2022,m_ecoy_d_g5_2022,m_eco1_d_g5_2022,m_ti1y_d_g5_2022,m_spey_d_g5_2022,r_all_rs_g5_2022,r_ethh_rs_g5_2022,r_etha_rs_g5_2022,r_ethb_rs_g5_2022,r_ethw_rs_g5_2022,r_ecoy_rs_g5_2022,r_eco1_rs_g5_2022,r_ti1y_rs_g5_2022,r_spey_rs_g5_2022,m_all_rs_g5_2022,m_ethh_rs_g5_2022,m_etha_rs_g5_2022,m_ethb_rs_g5_2022,m_ethw_rs_g5_2022,m_ecoy_rs_g5_2022,m_eco1_rs_g5_2022,m_ti1y_rs_g5_2022,m_spey_rs_g5_2022,r_all_d_g6_2022,r_ethh_d_g6_2022,r_etha_d_g6_2022,r_ethb_d_g6_2022,r_ethw_d_g6_2022,r_ecoy_d_g6_2022,r_eco1_d_g6_2022,r_ti1y_d_g6_2022,r_spey_d_g6_2022,m_all_d_g6_2022,m_ethh_d_g6_2022,m_etha_d_g6_2022,m_ethb_d_g6_2022,m_ethw_d_g6_2022,m_ecoy_d_g6_2022,m_eco1_d_g6_2022,m_ti1y_d_g6_2022,m_spey_d_g6_2022,r_all_rs_g6_2022,r_ethh_rs_g6_2022,r_etha_rs_g6_2022,r_ethb_rs_g6_2022,r_ethw_rs_g6_2022,r_ecoy_rs_g6_2022,r_eco1_rs_g6_2022,r_ti1y_rs_g6_2022,r_spey_rs_g6_2022,m_all_rs_g6_2022,m_ethh_rs_g6_2022,m_etha_rs_g6_2022,m_ethb_rs_g6_2022,m_ethw_rs_g6_2022,m_ecoy_rs_g6_2022,m_eco1_rs_g6_2022,m_ti1y_rs_g6_2022,m_spey_rs_g6_2022,r_all_d_g7_2022,r_ethh_d_g7_2022,r_etha_d_g7_2022,r_ethb_d_g7_2022,r_ethw_d_g7_2022,r_ecoy_d_g7_2022,r_eco1_d_g7_2022,r_ti1y_d_g7_2022,r_spey_d_g7_2022,m_all_d_g7_2022,m_ethh_d_g7_2022,m_etha_d_g7_2022,m_ethb_d_g7_2022,m_ethw_d_g7_2022,m_ecoy_d_g7_2022,m_eco1_d_g7_2022,m_ti1y_d_g7_2022,m_spey_d_g7_2022,r_all_rs_g7_2022,r_ethh_rs_g7_2022,r_etha_rs_g7_2022,r_ethb_rs_g7_2022,r_ethw_rs_g7_2022,r_ecoy_rs_g7_2022,r_eco1_rs_g7_2022,r_ti1y_rs_g7_2022,r_spey_rs_g7_2022,m_all_rs_g7_2022,m_ethh_rs_g7_2022,m_etha_rs_g7_2022,m_ethb_rs_g7_2022,m_ethw_rs_g7_2022,m_ecoy_rs_g7_2022,m_eco1_rs_g7_2022,m_ti1y_rs_g7_2022,m_spey_rs_g7_2022,r_all_d_g8_2022,r_ethh_d_g8_2022,r_etha_d_g8_2022,r_ethb_d_g8_2022,r_ethw_d_g8_2022,r_ecoy_d_g8_2022,r_eco1_d_g8_2022,r_ti1y_d_g8_2022,r_spey_d_g8_2022,m_all_d_g8_2022,m_ethh_d_g8_2022,m_etha_d_g8_2022,m_ethb_d_g8_2022,m_ethw_d_g8_2022,m_ecoy_d_g8_2022,m_eco1_d_g8_2022,m_ti1y_d_g8_2022,m_spey_d_g8_2022,r_all_rs_g8_2022,r_ethh_rs_g8_2022,r_etha_rs_g8_2022,r_ethb_rs_g8_2022,r_ethw_rs_g8_2022,r_ecoy_rs_g8_2022,r_eco1_rs_g8_2022,r_ti1y_rs_g8_2022,r_spey_rs_g8_2022,m_all_rs_g8_2022,m_ethh_rs_g8_2022,m_etha_rs_g8_2022,m_ethb_rs_g8_2022,m_ethw_rs_g8_2022,m_ecoy_rs_g8_2022,m_eco1_rs_g8_2022,m_ti1y_rs_g8_2022,m_spey_rs_g8_2022
1902,40.0,6.0,0.0,0.0,32.0,22.0,20.0,40.0,8.0,40.0,6.0,0.0,0.0,32.0,22.0,20.0,40.0,8.0,1530.0,1505.0,,,1532.0,1464.0,1443.0,1530.0,1274.0,1524.0,1521.0,,,1522.0,1446.0,1435.0,1524.0,1206.0,31.0,2.0,0.0,1.0,28.0,11.0,10.0,31.0,6.0,31.0,2.0,0.0,1.0,28.0,11.0,10.0,31.0,6.0,1568.0,,,,1587.0,1528.0,1505.0,1568.0,1385.0,1600.0,,,,1618.0,1563.0,1554.0,1600.0,1394.0,49.0,5.0,0.0,3.0,40.0,19.0,15.0,49.0,7.0,49.0,5.0,0.0,3.0,40.0,19.0,15.0,49.0,7.0,1631.0,1643.0,,,1635.0,1603.0,1612.0,1631.0,1432.0,1677.0,1684.0,,,1684.0,1639.0,1647.0,1677.0,1493.0,51.0,8.0,0.0,2.0,38.0,24.0,22.0,51.0,9.0,51.0,8.0,0.0,2.0,38.0,24.0,22.0,51.0,9.0,1637.0,1628.0,,,1646.0,1590.0,1598.0,1637.0,1430.0,1650.0,1609.0,,,1664.0,1583.0,1581.0,1650.0,1499.0,59.0,3.0,1.0,2.0,50.0,21.0,17.0,59.0,12.0,59.0,3.0,1.0,2.0,50.0,21.0,17.0,59.0,12.0,1703.0,,,,1712.0,1664.0,1700.0,1703.0,1510.0,1727.0,,,,1733.0,1650.0,1669.0,1727.0,1606.0,51.0,5.0,0.0,1.0,44.0,26.0,22.0,51.0,8.0,51.0,5.0,0.0,1.0,44.0,26.0,22.0,51.0,8.0,1759.0,1661.0,,,1770.0,1721.0,1726.0,1759.0,1583.0,1751.0,1721.0,,,1761.0,1741.0,1745.0,1751.0,1589.0
1903,85.0,10.0,0.0,5.0,64.0,41.0,39.0,85.0,13.0,85.0,10.0,0.0,5.0,64.0,41.0,39.0,85.0,13.0,1488.0,1476.0,,1315.0,1498.0,1462.0,1462.0,1488.0,1413.0,1474.0,1444.0,,1283.0,1486.0,1432.0,1432.0,1474.0,1410.0,108.0,9.0,1.0,3.0,91.0,48.0,47.0,107.0,12.0,108.0,9.0,1.0,3.0,91.0,48.0,47.0,107.0,12.0,1546.0,1483.0,,,1557.0,1515.0,1512.0,1545.0,1435.0,1601.0,1506.0,,,1620.0,1576.0,1573.0,1602.0,1500.0,86.0,12.0,0.0,4.0,67.0,27.0,26.0,85.0,9.0,86.0,12.0,0.0,4.0,67.0,27.0,26.0,85.0,9.0,1638.0,1645.0,,,1643.0,1615.0,1608.0,1637.0,1406.0,1682.0,1689.0,,,1685.0,1641.0,1641.0,1683.0,1496.0,89.0,8.0,0.0,5.0,74.0,39.0,36.0,86.0,12.0,89.0,8.0,0.0,5.0,74.0,39.0,36.0,86.0,12.0,1585.0,1551.0,,1522.0,1594.0,1545.0,1557.0,1587.0,1430.0,1575.0,1538.0,,1517.0,1587.0,1547.0,1548.0,1580.0,1502.0,100.0,15.0,0.0,3.0,77.0,47.0,45.0,97.0,14.0,101.0,16.0,0.0,3.0,77.0,48.0,46.0,98.0,14.0,1734.0,1695.0,,,1751.0,1662.0,1669.0,1737.0,1552.0,1690.0,1678.0,,,1691.0,1623.0,1628.0,1690.0,1554.0,84.0,8.0,0.0,1.0,70.0,24.0,21.0,82.0,8.0,71.0,6.0,0.0,1.0,59.0,21.0,18.0,69.0,8.0,1766.0,1824.0,,,1773.0,1708.0,1722.0,1770.0,1562.0,1702.0,1686.0,,,1710.0,1656.0,1657.0,1703.0,1573.0
1904,61.0,7.0,1.0,4.0,48.0,32.0,32.0,61.0,8.0,61.0,7.0,1.0,4.0,48.0,32.0,32.0,61.0,8.0,1462.0,1383.0,,,1480.0,1416.0,1416.0,1462.0,1347.0,1452.0,1345.0,,,1468.0,1401.0,1401.0,1452.0,1298.0,45.0,4.0,0.0,3.0,35.0,22.0,20.0,45.0,7.0,45.0,4.0,0.0,3.0,35.0,22.0,20.0,45.0,7.0,1579.0,,,,1584.0,1517.0,1519.0,1579.0,1406.0,1590.0,,,,1599.0,1534.0,1523.0,1590.0,1395.0,48.0,4.0,2.0,1.0,39.0,31.0,29.0,48.0,7.0,48.0,4.0,2.0,1.0,39.0,31.0,29.0,48.0,7.0,1645.0,,,,1646.0,1620.0,1613.0,1645.0,1557.0,1717.0,,,,1735.0,1695.0,1694.0,1717.0,1639.0,60.0,8.0,0.0,6.0,42.0,36.0,35.0,60.0,10.0,60.0,8.0,0.0,6.0,42.0,36.0,35.0,60.0,10.0,1612.0,1556.0,,1571.0,1619.0,1577.0,1582.0,1612.0,1469.0,1714.0,1662.0,,1629.0,1729.0,1690.0,1693.0,1714.0,1550.0,65.0,5.0,1.0,3.0,50.0,34.0,31.0,65.0,11.0,65.0,5.0,1.0,3.0,50.0,34.0,31.0,65.0,11.0,1694.0,1696.0,,,1695.0,1663.0,1657.0,1694.0,1534.0,1646.0,1606.0,,,1653.0,1614.0,1602.0,1646.0,1529.0,64.0,10.0,1.0,5.0,45.0,29.0,26.0,64.0,11.0,38.0,5.0,1.0,4.0,26.0,20.0,19.0,38.0,11.0,1712.0,1754.0,,1651.0,1713.0,1665.0,1663.0,1712.0,1549.0,1639.0,1677.0,,,1628.0,1646.0,1642.0,1639.0,1553.0
1906,20.0,1.0,0.0,2.0,17.0,11.0,7.0,20.0,2.0,20.0,1.0,0.0,2.0,17.0,11.0,7.0,20.0,2.0,1497.0,,,,1502.0,1438.0,1428.0,1497.0,,1519.0,,,,1530.0,1473.0,1464.0,1519.0,,25.0,3.0,0.0,3.0,19.0,10.0,8.0,25.0,2.0,25.0,3.0,0.0,3.0,19.0,10.0,8.0,25.0,2.0,1596.0,,,,1597.0,1555.0,1549.0,1596.0,,1604.0,,,,1602.0,1577.0,1584.0,1604.0,,23.0,6.0,1.0,4.0,11.0,12.0,9.0,23.0,2.0,23.0,6.0,1.0,4.0,11.0,12.0,9.0,23.0,2.0,1635.0,1682.0,,,1606.0,1599.0,1599.0,1635.0,,1591.0,1645.0,,,1585.0,1556.0,1547.0,1591.0,,25.0,2.0,0.0,2.0,20.0,12.0,12.0,25.0,3.0,25.0,2.0,0.0,2.0,20.0,12.0,12.0,25.0,3.0,1624.0,,,,1632.0,1600.0,1600.0,1624.0,,1703.0,,,,1729.0,1648.0,1648.0,1703.0,,21.0,5.0,0.0,1.0,15.0,14.0,11.0,21.0,2.0,21.0,5.0,0.0,1.0,15.0,14.0,11.0,21.0,2.0,1695.0,1712.0,,,1693.0,1679.0,1666.0,1695.0,,1747.0,1764.0,,,1742.0,1703.0,1689.0,1747.0,,21.0,3.0,0.0,0.0,17.0,10.0,9.0,21.0,2.0,21.0,3.0,0.0,0.0,17.0,10.0,9.0,21.0,2.0,1772.0,,,,1756.0,1749.0,1758.0,1772.0,,1785.0,,,,1773.0,1736.0,1742.0,1785.0,
1907,221.0,78.0,2.0,64.0,68.0,159.0,136.0,221.0,30.0,239.0,96.0,2.0,64.0,68.0,176.0,149.0,239.0,31.0,1456.0,1444.0,,1402.0,1518.0,1443.0,1441.0,1456.0,1390.0,1426.0,1400.0,,1391.0,1491.0,1407.0,1406.0,1426.0,1362.0,203.0,93.0,1.0,56.0,45.0,155.0,123.0,200.0,26.0,203.0,93.0,1.0,56.0,45.0,156.0,123.0,200.0,26.0,1495.0,1483.0,,1472.0,1538.0,1483.0,1470.0,1497.0,1409.0,1502.0,1500.0,,1482.0,1525.0,1492.0,1482.0,1503.0,1424.0,213.0,86.0,0.0,54.0,65.0,171.0,147.0,212.0,30.0,213.0,86.0,0.0,54.0,65.0,171.0,147.0,212.0,30.0,1584.0,1580.0,,1526.0,1644.0,1567.0,1568.0,1585.0,1452.0,1622.0,1628.0,,1571.0,1668.0,1604.0,1604.0,1623.0,1503.0,206.0,93.0,2.0,46.0,56.0,161.0,136.0,204.0,19.0,206.0,93.0,2.0,46.0,56.0,161.0,136.0,204.0,19.0,1600.0,1586.0,,1584.0,1632.0,1578.0,1573.0,1601.0,1515.0,1629.0,1626.0,,1604.0,1658.0,1614.0,1609.0,1630.0,1548.0,259.0,111.0,0.0,73.0,67.0,185.0,165.0,258.0,26.0,259.0,111.0,0.0,73.0,67.0,185.0,165.0,258.0,26.0,1660.0,1657.0,,1617.0,1704.0,1639.0,1641.0,1659.0,1539.0,1639.0,1643.0,,1596.0,1684.0,1616.0,1616.0,1639.0,1532.0,228.0,100.0,1.0,44.0,70.0,164.0,133.0,227.0,31.0,228.0,100.0,1.0,44.0,70.0,164.0,133.0,227.0,31.0,1718.0,1705.0,,1701.0,1747.0,1695.0,1687.0,1718.0,1572.0,1709.0,1702.0,,1659.0,1740.0,1683.0,1676.0,1709.0,1542.0
1908,93.0,23.0,1.0,19.0,41.0,63.0,52.0,89.0,13.0,93.0,23.0,1.0,19.0,41.0,63.0,52.0,89.0,13.0,1461.0,1473.0,,1387.0,1475.0,1437.0,1426.0,1458.0,1318.0,1453.0,1484.0,,1424.0,1459.0,1425.0,1406.0,1455.0,1364.0,90.0,26.0,1.0,16.0,38.0,61.0,54.0,85.0,11.0,91.0,26.0,1.0,16.0,39.0,62.0,55.0,86.0,11.0,1511.0,1517.0,,1434.0,1545.0,1506.0,1499.0,1515.0,1371.0,1535.0,1551.0,,1448.0,1556.0,1512.0,1512.0,1537.0,1445.0,95.0,34.0,0.0,15.0,33.0,70.0,56.0,91.0,19.0,96.0,34.0,0.0,16.0,33.0,71.0,57.0,92.0,19.0,1567.0,1557.0,,1564.0,1582.0,1554.0,1541.0,1568.0,1398.0,1591.0,1609.0,,1558.0,1608.0,1585.0,1558.0,1596.0,1451.0,96.0,25.0,0.0,17.0,44.0,69.0,53.0,91.0,18.0,96.0,25.0,0.0,17.0,44.0,69.0,53.0,91.0,18.0,1584.0,1580.0,,1535.0,1634.0,1570.0,1581.0,1589.0,1460.0,1542.0,1512.0,,1511.0,1589.0,1532.0,1534.0,1545.0,1463.0,102.0,26.0,0.0,23.0,44.0,78.0,60.0,1.0,19.0,81.0,22.0,0.0,18.0,34.0,61.0,45.0,1.0,19.0,1656.0,1642.0,,1623.0,1667.0,1649.0,1651.0,,1563.0,1556.0,1547.0,,1526.0,1570.0,1547.0,1536.0,,1516.0,112.0,34.0,1.0,20.0,49.0,82.0,69.0,0.0,17.0,108.0,30.0,0.0,23.0,46.0,82.0,70.0,0.0,17.0,1641.0,1648.0,,1619.0,1658.0,1629.0,1632.0,,1531.0,1631.0,1613.0,,1598.0,1660.0,1613.0,1610.0,,1505.0
1909,32.0,3.0,0.0,0.0,28.0,14.0,10.0,32.0,3.0,32.0,3.0,0.0,0.0,28.0,14.0,10.0,32.0,3.0,1482.0,,,,1496.0,1461.0,1482.0,1482.0,,1426.0,,,,1440.0,1383.0,1399.0,1426.0,,31.0,1.0,0.0,0.0,27.0,16.0,10.0,31.0,5.0,31.0,1.0,0.0,0.0,27.0,16.0,10.0,31.0,5.0,1535.0,,,,1548.0,1531.0,1529.0,1535.0,1428.0,1499.0,,,,1511.0,1459.0,1472.0,1499.0,1361.0,27.0,4.0,0.0,0.0,21.0,14.0,12.0,27.0,5.0,27.0,4.0,0.0,0.0,21.0,14.0,12.0,27.0,5.0,1612.0,,,,1623.0,1571.0,1581.0,1612.0,1459.0,1592.0,,,,1595.0,1578.0,1586.0,1592.0,1552.0,25.0,3.0,0.0,0.0,20.0,11.0,5.0,25.0,6.0,25.0,3.0,0.0,0.0,20.0,11.0,5.0,25.0,6.0,1609.0,,,,1614.0,1552.0,1533.0,1609.0,1512.0,1608.0,,,,1605.0,1562.0,1552.0,1608.0,1504.0,24.0,1.0,0.0,0.0,22.0,15.0,11.0,24.0,4.0,24.0,1.0,0.0,0.0,22.0,15.0,11.0,24.0,4.0,1794.0,,,,1801.0,1734.0,1721.0,1794.0,,1746.0,,,,1757.0,1691.0,1686.0,1746.0,,23.0,4.0,0.0,0.0,19.0,6.0,6.0,23.0,2.0,23.0,4.0,0.0,0.0,19.0,6.0,6.0,23.0,2.0,1766.0,,,,1749.0,1705.0,1705.0,1766.0,,1782.0,,,,1778.0,1701.0,1701.0,1782.0,
2901,301.0,203.0,1.0,0.0,94.0,153.0,71.0,299.0,31.0,318.0,221.0,1.0,0.0,93.0,165.0,76.0,316.0,30.0,1488.0,1470.0,,,1528.0,1456.0,1442.0,1488.0,1407.0,1454.0,1433.0,,,1503.0,1423.0,1414.0,1454.0,1410.0,286.0,193.0,2.0,3.0,83.0,133.0,68.0,286.0,29.0,288.0,195.0,2.0,3.0,83.0,134.0,68.0,288.0,31.0,1538.0,1528.0,,,1559.0,1493.0,1492.0,1538.0,1416.0,1520.0,1511.0,,,1539.0,1472.0,1462.0,1520.0,1409.0,288.0,181.0,0.0,3.0,96.0,148.0,73.0,284.0,27.0,289.0,182.0,0.0,3.0,96.0,149.0,74.0,285.0,27.0,1618.0,1607.0,,,1638.0,1599.0,1601.0,1616.0,1481.0,1614.0,1606.0,,,1630.0,1590.0,1587.0,1615.0,1511.0,291.0,190.0,0.0,2.0,92.0,136.0,65.0,291.0,26.0,291.0,190.0,0.0,2.0,92.0,136.0,65.0,291.0,26.0,1607.0,1588.0,,,1637.0,1578.0,1579.0,1607.0,1457.0,1611.0,1596.0,,,1640.0,1576.0,1576.0,1611.0,1506.0,320.0,219.0,1.0,2.0,93.0,165.0,83.0,320.0,41.0,320.0,219.0,1.0,2.0,93.0,165.0,83.0,320.0,41.0,1658.0,1629.0,,,1720.0,1619.0,1620.0,1658.0,1537.0,1655.0,1629.0,,,1710.0,1623.0,1633.0,1655.0,1554.0,318.0,213.0,0.0,4.0,93.0,143.0,80.0,317.0,30.0,318.0,213.0,0.0,4.0,93.0,143.0,80.0,317.0,30.0,1703.0,1683.0,,,1745.0,1662.0,1658.0,1703.0,1546.0,1740.0,1719.0,,,1790.0,1694.0,1690.0,1740.0,1606.0
3801,72.0,24.0,1.0,13.0,30.0,52.0,37.0,72.0,8.0,72.0,24.0,1.0,13.0,30.0,52.0,37.0,72.0,8.0,1463.0,1424.0,,1380.0,1518.0,1454.0,1436.0,1463.0,1434.0,1423.0,1391.0,,1336.0,1481.0,1408.0,1386.0,1423.0,1378.0,82.0,24.0,1.0,15.0,38.0,49.0,41.0,82.0,14.0,82.0,24.0,1.0,15.0,38.0,49.0,41.0,82.0,14.0,1562.0,1545.0,,1531.0,1582.0,1542.0,1552.0,1562.0,1445.0,1588.0,1596.0,,1527.0,1594.0,1557.0,1552.0,1588.0,1438.0,76.0,27.0,1.0,12.0,34.0,42.0,33.0,76.0,13.0,76.0,27.0,1.0,12.0,34.0,42.0,33.0,76.0,13.0,1645.0,1656.0,,1539.0,1670.0,1649.0,1636.0,1645.0,1482.0,1690.0,1718.0,,1580.0,1706.0,1683.0,1682.0,1690.0,1537.0,77.0,32.0,1.0,8.0,32.0,48.0,33.0,77.0,10.0,77.0,32.0,1.0,8.0,32.0,48.0,33.0,77.0,10.0,1619.0,1562.0,,1562.0,1705.0,1577.0,1544.0,1619.0,1475.0,1673.0,1631.0,,1615.0,1754.0,1637.0,1603.0,1673.0,1638.0,72.0,20.0,1.0,11.0,38.0,43.0,35.0,72.0,7.0,72.0,20.0,1.0,11.0,38.0,43.0,35.0,72.0,7.0,1745.0,1702.0,,1668.0,1783.0,1706.0,1707.0,1745.0,1643.0,1687.0,1632.0,,1630.0,1721.0,1641.0,1644.0,1687.0,1611.0,71.0,17.0,1.0,15.0,35.0,47.0,32.0,71.0,10.0,69.0,16.0,1.0,15.0,34.0,45.0,30.0,69.0,9.0,1735.0,1698.0,,1695.0,1773.0,1714.0,1715.0,1735.0,1589.0,1707.0,1652.0,,1637.0,1772.0,1680.0,1658.0,1707.0,1577.0
3902,222.0,76.0,2.0,8.0,125.0,110.0,98.0,220.0,24.0,223.0,76.0,2.0,8.0,126.0,110.0,98.0,221.0,25.0,1455.0,1430.0,,1358.0,1473.0,1417.0,1414.0,1456.0,1348.0,1450.0,1416.0,,1349.0,1478.0,1406.0,1403.0,1451.0,1323.0,206.0,46.0,2.0,9.0,138.0,103.0,93.0,201.0,28.0,206.0,46.0,2.0,9.0,138.0,103.0,93.0,201.0,28.0,1539.0,1533.0,,1504.0,1545.0,1515.0,1510.0,1540.0,1420.0,1572.0,1529.0,,1470.0,1593.0,1543.0,1538.0,1573.0,1434.0,210.0,61.0,1.0,14.0,122.0,104.0,98.0,208.0,28.0,210.0,61.0,1.0,14.0,122.0,104.0,98.0,208.0,28.0,1622.0,1568.0,,1537.0,1660.0,1548.0,1545.0,1623.0,1449.0,1668.0,1620.0,,1582.0,1701.0,1595.0,1589.0,1668.0,1555.0,203.0,44.0,4.0,15.0,132.0,89.0,83.0,203.0,25.0,203.0,44.0,4.0,15.0,132.0,89.0,83.0,203.0,25.0,1657.0,1613.0,,1613.0,1681.0,1621.0,1627.0,1657.0,1490.0,1723.0,1691.0,,1666.0,1740.0,1681.0,1686.0,1723.0,1583.0,229.0,67.0,1.0,15.0,137.0,114.0,105.0,227.0,39.0,229.0,67.0,1.0,15.0,137.0,114.0,105.0,227.0,39.0,1706.0,1681.0,,1602.0,1728.0,1655.0,1652.0,1708.0,1550.0,1704.0,1699.0,,1591.0,1719.0,1656.0,1650.0,1706.0,1589.0,212.0,58.0,2.0,16.0,127.0,101.0,90.0,210.0,20.0,176.0,50.0,1.0,15.0,102.0,88.0,79.0,175.0,19.0,1756.0,1744.0,,1670.0,1777.0,1724.0,1720.0,1758.0,1645.0,1779.0,1762.0,,1699.0,1810.0,1748.0,1742.0,1781.0,1609.0
