,County,Per Capita Income,Median Household Income,Average Annual Pay,% of Population in Poverty,% of Population Under 18 in Poverty,Low Average Annual Pay (Less than $45000),Mid Average Annual Pay (Between $45000 & $70000),High Average Annual Pay (More than $70000),County #
0,Anderson,38807,50879,48215,20.9,27.6,0,1,0,48001
1,Andrews,50248,76600,67730,9.2,12.0,0,1,0,48003
2,Angelina,42536,49943,43185,17.0,25.1,1,0,0,48005
3,Aransas,54374,51461,40181,17.1,30.8,1,0,0,48007
4,Archer,55290,69566,39001,6.9,11.2,1,0,0,48009
5,Armstrong,60233,62256,41945,9.3,12.4,1,0,0,48011
6,Atascosa,41599,60594,51506,14.9,22.0,0,1,0,48013
7,Austin,55686,60593,52723,11.4,18.0,0,1,0,48015
8,Bailey,49737,48259,42716,14.4,23.3,1,0,0,48017
9,Bandera,48461,64389,39386,11.0,21.3,1,0,0,48019
10,Bastrop,42177,74612,43347,10.8,16.4,1,0,0,48021
11,Baylor,53984,44392,38251,15.3,21.8,1,0,0,48023
12,Bee,31834,46316,38410,23.1,26.1,1,0,0,48025
13,Bell,46594,53639,51085,14.7,21.4,0,1,0,48027
14,Bexar,48569,60477,56156,15.0,20.5,0,1,0,48029
15,Blanco,58805,66383,52746,9.8,14.6,0,1,0,48031
16,Borden,66783,69499,44200,7.5,8.5,1,0,0,48033
17,Bosque,45635,58056,44802,12.5,19.2,1,0,0,48035
18,Bowie,44151,50326,43760,17.4,23.4,1,0,0,48037
19,Brazoria,51812,83576,60095,8.3,10.0,0,1,0,48039
20,Brazos,43430,53570,45728,22.3,19.5,0,1,0,48041
21,Brewster,52483,48537,43944,14.0,16.6,1,0,0,48043
22,Briscoe,45758,50062,35465,13.4,22.8,1,0,0,48045
23,Brooks,41529,33513,45830,28.7,45.0,0,1,0,48047
24,Brown,42771,48752,40208,15.6,22.3,1,0,0,48049
25,Burleson,49975,64836,50580,13.1,19.9,0,1,0,48051
26,Burnet,53751,63813,46817,9.5,16.4,0,1,0,48053
27,Caldwell,38734,66128,40828,12.7,18.6,1,0,0,48055
28,Calhoun,52180,58470,74656,12.4,21.4,0,0,1,48057
29,Callahan,45798,54862,45481,12.2,19.0,0,1,0,48059
30,Cameron,33690,44440,36665,24.4,34.6,1,0,0,48061
31,Camp,40272,43130,41807,16.7,24.8,1,0,0,48063
32,Carson,48021,66597,87661,8.3,10.7,0,0,1,48065
33,Cass,41275,50595,39871,17.7,25.6,1,0,0,48067
34,Castro,71612,55139,39688,15.3,20.4,1,0,0,48069
35,Chambers,59687,89991,66603,9.3,11.0,0,1,0,48071
36,Cherokee,38190,45894,38116,16.7,24.4,1,0,0,48073
37,Childress,34028,45473,39678,21.4,24.1,1,0,0,48075
38,Clay,48038,62763,39721,11.1,14.6,1,0,0,48077
39,Cochran,44903,44584,44576,19.2,29.4,1,0,0,48079
40,Coke,45856,51050,49756,11.4,18.0,0,1,0,48081
41,Coleman,47128,43623,35010,16.0,28.1,1,0,0,48083
42,Collin,71246,101560,73602,6.2,6.7,0,0,1,48085
43,Collingsworth,44903,47885,42916,16.9,25.5,1,0,0,48087
44,Colorado,51732,52726,46248,12.7,18.4,0,1,0,48089
45,Comal,62994,79290,49014,7.5,9.4,0,1,0,48091
46,Comanche,47959,47282,38607,15.9,24.0,1,0,0,48093
47,Concho,41219,47412,44585,13.5,20.9,1,0,0,48095
48,Cooke,54759,66323,48249,11.3,16.1,0,1,0,48097
49,Coryell,38222,58398,45909,12.7,16.8,0,1,0,48099
50,Cottle,68268,44430,45801,17.9,31.7,0,1,0,48101
51,Crane,49749,67547,58800,9.0,12.9,0,1,0,48103
52,Crockett,46364,54458,45597,12.4,17.7,0,1,0,48105
53,Crosby,41146,42804,39769,19.8,30.3,1,0,0,48107
54,Culberson,69350,47479,60932,18.6,29.4,0,1,0,48109
55,Dallam,65132,55253,50496,11.1,16.0,0,1,0,48111
56,Dallas,65401,65770,75038,13.7,20.1,0,0,1,48113
57,Dawson,42595,47233,42865,18.7,24.4,1,0,0,48115
58,Deaf Smith,54950,51412,46537,15.5,22.6,0,1,0,48117
59,Delta,43628,50456,28700,14.3,21.5,1,0,0,48119
60,Denton,63283,90880,55099,6.9,7.6,0,1,0,48121
61,DeWitt,60890,53899,45846,20.5,27.6,0,1,0,48123
62,Dickens,38730,42034,36281,18.9,27.7,1,0,0,48125
63,Dimmit,44874,42788,54812,25.5,34.4,0,1,0,48127
64,Donley,45336,57526,34026,16.3,24.8,1,0,0,48129
65,Duval,42410,40601,38563,20.0,32.1,1,0,0,48131
66,Eastland,65416,50317,46374,17.0,23.2,0,1,0,48133
67,Ector,49887,62669,60823,13.6,17.9,0,1,0,48135
68,Edwards,55329,45330,47868,19.1,31.8,0,1,0,48137
69,El Paso,41818,48522,42978,17.6,22.7,1,0,0,48141
70,Ellis,49333,79849,48640,7.9,11.1,0,1,0,48139
71,Erath,43900,61453,39436,12.6,15.5,1,0,0,48143
72,Falls,39865,44590,41040,20.0,25.2,1,0,0,48145
73,Fannin,42562,59746,43626,15.4,17.5,1,0,0,48147
74,Fayette,57962,63713,44736,9.4,14.4,1,0,0,48149
75,Fisher,49100,52828,44945,13.3,17.6,1,0,0,48151
76,Floyd,42627,44256,38271,17.7,29.5,1,0,0,48153
77,Foard,52630,40955,31344,16.8,29.9,1,0,0,48155
78,Fort Bend,61791,97210,54028,7.4,9.4,0,1,0,48157
79,Franklin,44725,58927,46624,12.9,20.4,0,1,0,48159
80,Freestone,40407,54502,43339,13.3,16.7,1,0,0,48161
81,Frio,33407,47007,51416,22.3,28.8,0,1,0,48163
82,Gaines,47826,63528,55150,11.1,19.8,0,1,0,48165
83,Galveston,57941,78465,54632,9.9,14.1,0,1,0,48167
84,Garza,31223,50934,42182,20.6,23.4,1,0,0,48169
85,Gillespie,68885,64365,42525,9.2,15.2,1,0,0,48171
86,Glasscock,87334,85001,60409,7.3,9.9,0,1,0,48173
87,Goliad,49513,54970,43960,13.2,20.8,1,0,0,48175
88,Gonzales,47272,55363,45576,14.3,22.3,0,1,0,48177
89,Gray,45091,54141,50606,14.2,18.0,0,1,0,48179
90,Grayson,47045,59554,47374,13.6,20.8,0,1,0,48181
91,Gregg,49152,51394,48465,18.1,26.3,0,1,0,48183
92,Grimes,39033,57795,52393,15.3,20.6,0,1,0,48185
93,Guadalupe,49405,78909,47890,8.5,10.7,0,1,0,48187
94,Hale,38674,46589,41504,17.6,24.6,1,0,0,48189
95,Hall,35416,36654,30797,18.6,36.7,1,0,0,48191
96,Hamilton,65685,52840,40176,14.7,20.9,1,0,0,48193
97,Hansford,66588,61059,48273,10.7,15.4,0,1,0,48195
98,Hardeman,45863,63479,40025,15.0,23.6,1,0,0,48197
99,Hardin,49159,69151,46055,10.4,12.9,0,1,0,48199
100,Harris,60183,61906,74737,15.9,23.3,0,0,1,48201
101,Harrison,45396,55198,51295,15.6,21.9,0,1,0,48203
