,DISTRICT_N,AVG_Math_2022,AVG_Reading_2022,AVG_Math_2019,AVG_Reading_2019,AVG_Math_2021,AVG_Reading_2021
0,57816,0.815264172,0.876328755,0.836181687,0.879525772,0.811144693,0.882282371
1,57829,0.819227667,0.858440916,0.848756015,0.866372715,0.804116341,0.86039578
2,101871,0.403566107,0.45459017,0.419713702,0.445924035,0.404388627,0.450576882
3,109901,0.89935701,0.942014093,0.91976916,0.937297069,0.897280445,0.939042768
4,95901,0.878020969,0.917182599,0.87463157,0.908640979,0.86391225,0.916660194
5,221901,0.835574716,0.88075776,0.853670172,0.89084324,0.825778932,0.883578226
6,57814,0.37944209,0.405265821,0.382478837,0.398987264,0.387477816,0.41849837
7,14901,0.871602352,0.916080395,0.88206804,0.915272358,0.857518871,0.909741555
8,101810,0.832265823,0.886521529,0.438002372,0.444159764,0.673767998,0.729583166
9,57810,0.796764283,0.851262476,0.8426207,0.885537462,0.765497542,0.842720886
10,101849,0.73025752,0.760192677,0.600223414,0.615725281,0.689958476,0.75011259
11,180903,0.853594761,0.916014946,0.85101581,0.898083706,0.701307335,0.773412215
12,57806,0.79337535,0.854127488,0.824477852,0.870802291,0.788765726,0.854885516
13,178901,0.840229599,0.912709472,0.874181501,0.911356826,0.810741528,0.899817026
14,15901,0.882148382,0.94839789,0.883442691,0.936417088,0.858665256,0.937371887
15,250906,0.851002259,0.903465172,0.854692644,0.910017796,0.84643634,0.908620976
16,209901,0.857682289,0.899859911,0.872574686,0.901459932,0.838429403,0.906354743
17,101902,0.822363404,0.865636139,0.854767571,0.881541996,0.799983708,0.860453477
18,184907,0.900980521,0.953329494,0.918013329,0.949487204,0.899993496,0.955265737
19,125901,0.826808162,0.876647797,0.834064882,0.875358555,0.793427246,0.863564154
20,101903,0.838210139,0.879276195,0.855910314,0.884649404,0.810496023,0.871901382
21,101815,0.734401684,0.937534019,0.739446331,0.786131221,0.827953267,0.933547064
22,43901,0.910483019,0.946639262,0.931780275,0.959307389,0.892629465,0.942122127
23,22901,0.849595111,0.915718854,0.864630683,0.916483759,0.841279676,0.918825574
24,37901,0.871268797,0.895651544,0.872789881,0.894002376,0.852619015,0.894070736
25,126901,0.847122268,0.886093851,0.844686146,0.886348596,0.847506754,0.897900634
26,20901,0.863476917,0.915608567,0.874474969,0.912240017,0.844310246,0.916086341
27,249901,0.887314786,0.927535333,0.895080484,0.928643894,0.881388099,0.927317145
28,188901,0.865391786,0.906692624,0.87613211,0.904871143,0.853919771,0.904394296
29,84804,0.856461136,0.913401891,0.817239396,0.878302807,0.643838369,0.867781527
30,140901,0.796539835,0.871462229,0.827614875,0.875162109,0.782639778,0.867702
31,101819,0.911269194,0.926177239,0.908848264,0.907673823,0.902618302,0.921805483
32,36901,0.855262397,0.8916628,0.894206884,0.908045604,0.844954482,0.892644761
33,93901,0.899508834,0.925940233,0.902880428,0.91463518,0.877631468,0.923521546
34,2901,0.866774718,0.908448478,0.866415122,0.896910213,0.85203594,0.907126134
35,20902,0.872278843,0.915211911,0.864601959,0.900412403,0.850623391,0.909462098
36,43902,0.852794615,0.902041876,0.875924451,0.907085713,0.848222367,0.899085485
37,127901,0.846320578,0.895605424,0.852254132,0.895294464,0.825542529,0.893341134
38,71906,0.847859194,0.887314417,0.87514679,0.8982854,0.806850782,0.87297629
39,110901,0.82704002,0.879476048,0.80315371,0.859158101,0.798856809,0.877984802
40,228905,0.84944673,0.903372629,0.852457008,0.891766553,0.817950547,0.894890955
41,109912,0.873567587,0.90785701,0.891518454,0.925062952,0.864041507,0.930480763
42,4901,0.837498916,0.884779855,0.854610865,0.886087842,0.81852192,0.889492848
43,205901,0.823792373,0.891199576,0.850189179,0.892395304,0.819325898,0.89366571
44,5901,0.926951179,0.943716622,0.911176955,0.946759867,0.897369335,0.948244597
45,61910,0.921204975,0.94975323,0.907299423,0.942003809,0.903412447,0.947958257
46,101803,0.869311891,0.938558445,0.866367142,0.925315973,0.864482007,0.940247725
47,220802,0.743554112,0.946182224,0.908648828,0.951224115,0.718008414,0.936422525
48,220901,0.844064719,0.893985295,0.863451613,0.898390507,0.812900558,0.884485914
49,212901,0.853372599,0.902245259,0.861793136,0.902383662,0.836500076,0.902201166
50,21805,0.582664105,0.605040076,0.581186301,0.601671272,0.547290206,0.595146221
51,217901,0.88018111,0.921199726,0.863011983,0.892216412,0.848032785,0.909428636
52,107901,0.861120108,0.899252368,0.866847588,0.889774968,0.842093959,0.893976342
53,34901,0.861792536,0.909422124,0.870331212,0.914960654,0.849910179,0.913279489
54,61907,0.865159401,0.915581412,0.884144112,0.920507809,0.866032794,0.925929716
55,227825,0.812491719,0.849521517,0.813988733,0.853205542,0.662754496,0.848850383
56,227821,0.828327797,0.927550205,0.842790726,0.924077736,0.794976802,0.900770694
57,227901,0.859581159,0.917963472,0.871343727,0.915042384,0.820413566,0.900955173
58,196901,0.866284506,0.894487785,0.862465745,0.919661947,0.832996946,0.890621764
59,70901,0.832188261,0.873873349,0.870917448,0.897486157,0.839024568,0.889904054
60,194902,0.890049272,0.916939496,0.879334916,0.913461655,0.718179432,0.917752681
61,34902,0.855169774,0.907168542,0.833274713,0.897607489,0.8248858,0.912643533
62,161918,0.860568389,0.913601621,0.871311722,0.907638146,0.842347359,0.915472823
63,220915,0.868663196,0.909740006,0.868270258,0.909354293,0.842254481,0.907081217
64,30903,0.857535874,0.894904196,0.862713862,0.896210653,0.860092892,0.907741385
65,200901,0.8502908,0.904960173,0.848143227,0.895884291,0.834974304,0.901609423
66,195902,0.680733045,0.73011517,0.820780995,0.870343521,0.660972389,0.717562385
67,10902,0.836448292,0.894233862,0.851262757,0.894482465,0.832056094,0.900352233
68,25901,0.867205504,0.913852781,0.860714112,0.906215625,0.866466026,0.925184219
69,178913,0.870244432,0.917079014,0.890502534,0.912981704,0.844589955,0.917693472
70,36902,0.919233211,0.945849509,0.923914595,0.942700513,0.913799828,0.951173492
71,14902,0.81198551,0.867511089,0.834048626,0.877032724,0.786609135,0.870308099
72,15834,0.960705284,0.977792046,0.951825316,0.967841497,0.931520585,0.970134158
73,11901,0.828010234,0.873119627,0.849671561,0.878647952,0.809343839,0.871357422
74,158901,0.840263819,0.878728001,0.856648877,0.886068615,0.82687197,0.876230833
75,101847,0.849983734,0.909027385,0.872431885,0.915389244,0.827750766,0.917996219
76,123910,0.809230986,0.8607487,0.820936874,0.866520558,0.788964297,0.855734912
77,183901,0.895096924,0.929955175,0.889972799,0.925166853,0.881900595,0.932401251
78,13901,0.841663008,0.895616401,0.839240618,0.883674867,0.821551205,0.891729203
79,39904,0.854705655,0.911594159,0.720929401,0.928840187,0.706732795,0.940595041
80,91901,0.895634456,0.925747533,0.903062602,0.920001421,0.890156144,0.923221577
81,8901,0.840129199,0.894694296,0.869940032,0.913447606,0.832058792,0.900872034
82,14903,0.851211201,0.906771921,0.877080947,0.915433318,0.840314403,0.907788123
83,125902,0.832421063,0.894736724,0.873159309,0.901351198,0.823361576,0.901507063
84,66901,0.683538776,0.736366009,0.852029856,0.900558532,0.799787609,0.888955771
85,138904,0.891668997,0.927445958,0.88136429,0.918677699,0.865894649,0.934115418
86,101870,0.875090376,0.935254768,0.886347098,0.944418555,0.854330701,0.938993115
87,15809,0.80142449,0.842348194,0.839158601,0.865655255,0.783976917,0.854688504
88,230901,0.864043898,0.909615482,0.876864072,0.907226227,0.85815516,0.901700744
89,187901,0.866374357,0.902518113,0.86087873,0.899022353,0.846565712,0.902427275
90,114901,0.847135745,0.87978336,0.835465015,0.86641351,0.829127128,0.876508296
91,193801,0.780435566,0.846703658,0.781070521,0.821895808,0.773033243,0.83633735
92,220902,0.864723193,0.908273433,0.882576508,0.913795587,0.848711413,0.906348902
93,178902,0.880196229,0.915589225,0.888846755,0.918701976,0.829331365,0.8993221
94,177903,0.870288331,0.93391278,0.740040027,0.774391407,0.837563638,0.923943005
95,16902,0.866248809,0.909998979,0.884952497,0.926463557,0.853935337,0.91085798
96,116915,0.891366331,0.91368838,0.891401607,0.924699946,0.877056846,0.920684743
97,25904,0.807308898,0.879498752,0.820337511,0.877323024,0.803756089,0.87717558
