County #,Total Students 2018-2019,District #,Total Students 2020-2021,Total Students 2021-2022,Median Age 10,Median Age Male 10,Median Age Female 10,# of Households 10,Avg Household Size 10,# of Families 10,Avg Family Size 10,# of Housing Units 10,County Population,% School-wide Title I 2021-2022,% School-wide Title I 2020-2021,% School-wide Title I 2018-2019,% Title I Eligible School 2021-2022,% Title I Eligible School 2020-2021,% Title I Eligible School 2018-2019,Total Teachers 2021-2022,Total Teachers 2020-2021,Total Teachers 2018-2019,Total Staff 2021-2022,Total Staff 2020-2021,Total Staff 2018-2019,% Free or Reduced Lunch 2021-2022,% Free or Reduced Lunch 2020-2021,% Free or Reduced Lunch 2018-2019,% Asian or Asian/Pacific Islander Students 2021-2022,% Hispanic Students 2021-2022,% Black or African American Students 2021-2022,% White Students 2021-2022,% Grades 1-8 2021-2022,% Grades 9-12 2021-2022,% Asian or Asian/Pacific Islander Students 2020-2021,% Asian or Asian/Pacific Islander Students 2018-2019,% Hispanic Students 2020-2021,% Hispanic Students 2018-2019,% Black or African American Students 2020-2021,% Black or African American Students 2018-2019,% White Students 2020-2021,% White Students 2018-2019,% Grades 1-8 2020-2021,% Grades 1-8 2018-2019,% Grades 9-12 2020-2021,% Grades 9-12 2018-2019,% Prek 2021-2022,% Prek 2020-2021,% Prek 2018-2019,% K 2021-2022,% K 2020-2021,% K 2018-2019,% ADA 2018-2019,% ADA 2020-2021,% ADA 2021-2022,% Students Tested Math - Grade 3 2018-2019,% Students Tested Reading - Grade 3 2018-2019,% Students Tested Math - Grade 4 2018-2019,% Students Tested Reading - Grade 4 2018-2019,% Students Tested Math - Grade 5 2018-2019,% Students Tested Reading - Grade 5 2018-2019,% Students Tested Math - Grade 6 2018-2019,% Students Tested Reading - Grade 6 2018-2019,% Students Tested Math - Grade 7 2018-2019,% Students Tested Reading - Grade 7 2018-2019,% Students Tested Math - Grade 8 2018-2019,% Students Tested Reading - Grade 8 2018-2019,% Students Tested Math - Grade 3 2020-2021,% Students Tested Reading - Grade 3 2020-2021,% Students Tested Math - Grade 4 2020-2021,% Students Tested Reading - Grade 4 2020-2021,% Students Tested Math - Grade 5 2020-2021,% Students Tested Reading - Grade 5 2020-2021,% Students Tested Math - Grade 6 2020-2021,% Students Tested Reading - Grade 6 2020-2021,% Students Tested Math - Grade 7 2020-2021,% Students Tested Reading - Grade 7 2020-2021,% Students Tested Math - Grade 8 2020-2021,% Students Tested Reading - Grade 8 2020-2021,% Students Tested Math - Grade 3 2021-2022,% Students Tested Reading - Grade 3 2021-2022,% Students Tested Math - Grade 4 2021-2022,% Students Tested Reading - Grade 4 2021-2022,% Students Tested Math - Grade 5 2021-2022,% Students Tested Reading - Grade 5 2021-2022,% Students Tested Math - Grade 6 2021-2022,% Students Tested Reading - Grade 6 2021-2022,% Students Tested Math - Grade 7 2021-2022,% Students Tested Reading - Grade 7 2021-2022,% Students Tested Math - Grade 8 2021-2022,% Students Tested Reading - Grade 8 2021-2022,% County Infected 09/28/20,% County Deaths 09/28/20,% County Infected 10/30/20,% County Deaths 10/30/20,% County Infected 01/29/21,% County Deaths 01/29/21,% On Campus 09/28/20,% On Campus 10/30/20,% On Campus 01/29/21,% White Pop 10,% Black Pop 10,% Asian Pop 10,% Hispanic Pop 10,% Male Pop 10,% Female Pop 10,% Age 0-4 Pop 10,% Age 5-9 Pop 10,% Age 10-14 Pop 10,% Age 15-19 Pop 10,% Age 20-24 Pop 10,% Age 25-34 Pop 10,% Age 35-44 Pop 10,% Age 45-54 Pop 10,% Age 55-64 Pop 10,% Age 65-74 Pop 10,% Age 75-84 Pop 10,% Age 85-Up Pop 10,% HH 1 Male 10,% HH 1 Female 10,% HH Married-Child 10,% HH Married-noChild 10,% HH Male-Child 10,% HH Female-Child 10,% Housing Vacant 10,% Housing Owner Occup 10,% Housing Renter Occup 10
48113,2084,57816,1383,1067,34.43415219,33.43013781,35.30868784,855960,2.813067705,559417,3.368615938,943257,2635516,1,1,1,1,1,1,0.066419869,0.055524223,0.05547025,0.136166823,0.123550253,0.104798464,0.858481724,0.952277657,0.63243762,0.004686036,0.042174321,0.926897844,0.001874414,0.641049672,,0.002169197,0.000479846,0.037599422,0.042706334,0.937816341,0.936180422,0.002169197,0.003358925,0.63340564,0.550383877,,,0.221180881,0.213304411,0.349328215,0.137769447,0.153289949,0.100287908,0.760643954,0.742186551,0.825469541,0.941558442,0.941558442,0.967741935,0.967741935,0.894039735,0.894039735,0.953642384,0.960264901,0.909090909,0.909090909,0.636363636,0.636363636,0.193548387,0.217741935,0.407407407,0.398148148,0.290697674,0.290697674,0.23255814,0.220930233,0.382022472,0.382022472,0.175,0.1875,0.988636364,1,0.951807229,0.951807229,1.013333333,1.013333333,1.054545455,1.054545455,0.98245614,0.98245614,0.660714286,0.660714286,0.03080042,0.000450766,0.036198604,0.000516787,0.096255913,0.0012434,0.414743112,0.402315485,0.384672071,0.535382847,0.22304434,0.050355997,0.382553558,0.494481954,0.505518046,0.081430186,0.077491651,0.07322332,0.071445553,0.07245394,0.16259223,0.144833981,0.134233252,0.094475029,0.049294404,0.027628868,0.010897587,0.130354222,0.149852797,0.234084537,0.202010608,0.032558764,0.110048367,0.092548478,0.483156764,0.424294757
48113,1409,57829,1456,1551,34.43415219,33.43013781,35.30868784,855960,2.813067705,559417,3.368615938,943257,2635516,1,1,1,1,1,1,0.053107672,0.063784341,0.061447835,0.138452611,0.146559066,0.136465578,0.927143778,0.868818681,0.901348474,0.003868472,0.938104449,0.032882012,0.01934236,0.575757576,0.274016763,0.004120879,0.004968062,0.940247253,0.905606813,0.030906593,0.03761533,0.019917582,0.043293116,0.576236264,0.598296664,0.285714286,0.261887864,0.090909091,0.066620879,0.061745919,0.05931657,0.071428571,0.078069553,0.922746629,0.883132555,0.895061896,0.924528302,0.905660377,0.971153846,0.971153846,0.982758621,0.974137931,0.968253968,0.968253968,0.972477064,0.972477064,1,1,1.021978022,1.021978022,1,1,0.961165049,0.961165049,1.038461538,1.038461538,0.957983193,0.957983193,0.919354839,0.919354839,1.010989011,1.010989011,0.958333333,0.958333333,1.043478261,1.032608696,0.993197279,0.993197279,0.986394558,0.986394558,0.762295082,0.926229508,0.03080042,0.000450766,0.036198604,0.000516787,0.096255913,0.0012434,0.363013699,0.551510989,0.594202899,0.535382847,0.22304434,0.050355997,0.382553558,0.494481954,0.505518046,0.081430186,0.077491651,0.07322332,0.071445553,0.07245394,0.16259223,0.144833981,0.134233252,0.094475029,0.049294404,0.027628868,0.010897587,0.130354222,0.149852797,0.234084537,0.202010608,0.032558764,0.110048367,0.092548478,0.483156764,0.424294757
48201,180,101871,152,145,34.16996269,33.29347015,34.97966418,1435155,2.860648321,985652,3.387434701,1598698,4713325,1,1,1,1,1,1,0.061241379,0.045460526,0.042611111,0.115586207,0.089539474,0.057444444,0.751724138,0.690789474,0.705555556,0.020689655,0.434482759,0.455172414,0.075862069,1,,0.026315789,0,0.421052632,0.283333333,0.447368421,0.577777778,0.092105263,0.105555556,1,1,,,,,,,,,0.8704,0.920322368,0.91597931,,,,,,,0.765625,0.765625,0.671641791,0.686567164,0.816326531,0.816326531,,,,,,,0.959183673,0.959183673,0.863636364,0.863636364,0.813559322,0.813559322,,,,,,,1.068181818,1.068181818,0.927272727,0.927272727,0.586956522,0.782608696,0.029990081,0.000583877,0.034155082,0.000621005,0.065538023,0.001012449,0.151315789,0.379084967,0.467105263,0.566470183,0.189492919,0.061828842,0.408443921,0.497843717,0.502156283,0.082178954,0.078275433,0.074908509,0.073470742,0.072693459,0.161660752,0.143747805,0.134039217,0.097536958,0.047771279,0.024752111,0.008964781,0.123569231,0.128590292,0.259571266,0.21424097,0.033779627,0.104786591,0.10229762,0.509670995,0.388031386
48217,277,109901,274,283,41.24166667,40.2,42.25,13238,2.605416667,9524,3.090833333,16118,36649,0.5,0.5,0.5,0.5,0.5,0.5,0.083250883,0.091715328,0.087545126,0.147173145,0.152262774,0.144404332,0.247349823,0.284671533,0.252707581,0,0.141342756,0.014134276,0.826855124,0.586572438,0.28975265,0,0,0.160583942,0.129963899,0.01459854,0.007220217,0.799270073,0.837545126,0.583941606,0.519855596,0.299270073,0.350180505,0.053003534,0.054744526,0.061371841,0.070671378,0.062043796,0.068592058,0.926187726,0.943423358,0.932003534,1.052631579,1.052631579,1,1,1,1,0.947368421,0.947368421,1,1,1.111111111,1.111111111,1,1,1.05,1.05,1,1,0.875,0.875,0.9375,0.9375,1,1,1,1,0.95,0.95,1,1,1.090909091,1.090909091,1,1,1,1,0.017735818,0.000382002,0.023274851,0.000436574,0.067969112,0.002264728,0.923611111,0.967391304,0.98540146,0.835219015,0.063381687,0.003362877,0.183162815,0.4904101,0.5095899,0.065291117,0.067571034,0.070363932,0.067086551,0.056826926,0.105560147,0.114223831,0.13670951,0.133460629,0.101598792,0.058679358,0.022628174,0.110213023,0.130759934,0.220803747,0.336304578,0.02704336,0.073651609,0.178682219,0.620362328,0.200955454
48189,780,95901,810,825,33.22333333,32.32,34.27333333,11846,2.850666667,8781,3.319,13541,33406,0.75,0.75,0.75,0.75,0.75,0.75,0.087224242,0.089567901,0.087179487,0.153830303,0.153444444,0.160217949,0.513939394,0.477777778,0.507692308,0.001212121,0.522424242,0.016969697,0.446060606,0.551515152,0.309090909,0.001234568,0.001282051,0.527160494,0.543589744,0.017283951,0.011538462,0.439506173,0.425641026,0.55308642,0.576923077,0.311111111,0.305128205,0.048484848,0.055555556,0.043589744,0.090909091,0.080246914,0.074358974,0.929688462,0.938081481,0.924764848,1,1,0.962962963,0.962962963,0.958333333,0.958333333,1.015873016,1.015873016,0.93442623,0.93442623,0.765625,1,1.020833333,1.020833333,0.982142857,0.982142857,0.967213115,0.967213115,1.038461538,1.038461538,1,1,0.852459016,1.032786885,1.01754386,1.01754386,1.06122449,1.06122449,1,1,1.066666667,1.066666667,1,1,0.793103448,0.965517241,0.055828294,0.001676346,0.08016524,0.002155301,0.174369874,0.004460277,0.937733499,0.924223602,0.989333333,0.707688915,0.053069776,0.003914758,0.558790285,0.516555013,0.483444987,0.083147245,0.080721198,0.078984369,0.07810217,0.07917735,0.132054145,0.122763488,0.128056681,0.094726105,0.062057178,0.043531001,0.016679073,0.101806517,0.120462603,0.266503461,0.272159379,0.039591423,0.108053351,0.125175393,0.56480319,0.310021416
48441,16645,221901,15680,15426,34.875,33.53017241,36.17241379,50725,2.466724138,33446,2.973706897,55750,138034,0.689655172,0.7,0.677419355,0.689655172,0.7,0.677419355,0.069912485,0.070802296,0.065527786,0.161404771,0.162205357,0.149075398,0.645274212,0.676020408,0.685310904,0.012057565,0.466809283,0.125048619,0.347724621,0.57798522,0.28114871,0.013265306,0.017843196,0.460586735,0.441033343,0.132270408,0.135956744,0.347385204,0.356803845,0.582589286,0.596875939,0.286160714,0.266266146,0.064436665,0.057015306,0.059837789,0.076429405,0.074234694,0.077020126,0.905237188,0.909796429,0.895040516,0.966292135,0.953451043,0.981712386,0.973399834,0.973540856,0.963424125,0.973856209,0.973039216,0.974631751,0.975450082,0.698950767,0.957223567,0.98019802,0.97119712,0.929380994,0.918918919,0.956672444,0.94627383,0.947849954,0.94967978,0.943238731,0.939899833,0.655821918,0.912671233,0.983501375,0.977085243,0.99005425,0.985533454,0.970822281,0.962864721,0.959334566,0.961182994,0.968134958,0.967197751,0.692173913,0.949565217,0.010758219,0.000420186,0.015916368,0.000579567,0.102974629,0.002455917,0.825229709,0.843789447,0.867407985,0.793948565,0.073753289,0.015763539,0.22108497,0.486882728,0.513117272,0.074931942,0.067495019,0.063738537,0.077684668,0.102786185,0.137963287,0.109652792,0.129994069,0.103789941,0.067799188,0.046020714,0.018143659,0.123844258,0.149748645,0.211394776,0.27377033,0.027560375,0.090901922,0.090134529,0.555766816,0.354098655
48113,505,57814,308,297,34.43415219,33.43013781,35.30868784,855960,2.813067705,559417,3.368615938,943257,2635516,1,1,1,1,1,1,0.171717172,0.181818182,0.108831683,0.28956229,0.308441558,0.185287129,1,1,1,0.006734007,0.434343434,0.478114478,0.057239057,0.141414141,0.858585859,0.003246753,0.001980198,0.409090909,0.473267327,0.5,0.443564356,0.074675325,0.071287129,0.159090909,0.245544554,0.840909091,0.754455446,,,,,,,0.929091089,0.802811688,1,,,,,2,2,1.8,1.6,1.131578947,1.105263158,1.202702703,1.22972973,,,,,0.666666667,0.666666667,3.333333333,3.333333333,1.166666667,1.166666667,1.387096774,1.387096774,,,,,1,1,2.5,3,1.75,1.583333333,1.62962963,1.666666667,0.03080042,0.000450766,0.036198604,0.000516787,0.096255913,0.0012434,0.027210884,0.392523364,0.35483871,0.535382847,0.22304434,0.050355997,0.382553558,0.494481954,0.505518046,0.081430186,0.077491651,0.07322332,0.071445553,0.07245394,0.16259223,0.144833981,0.134233252,0.094475029,0.049294404,0.027628868,0.010897587,0.130354222,0.149852797,0.234084537,0.202010608,0.032558764,0.110048367,0.092548478,0.483156764,0.424294757
48027,1652,14901,1726,1759,32.22578947,31.38368421,33.09052632,114035,2.555631579,80449,3.063578947,125470,362924,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.073280273,0.072949015,0.068765133,0.142563957,0.145005794,0.129739709,0.362137578,0.314020857,0.444309927,0.011370097,0.233655486,0.061967027,0.637293917,0.6117112,0.281409892,0.007531866,0.009079903,0.227114716,0.214285714,0.061413673,0.061743341,0.658748552,0.667675545,0.623406721,0.619854722,0.282155272,0.272397094,0.026151222,0.019698725,0.030266344,0.080727686,0.074739282,0.07748184,0.944237893,0.970779258,0.92881751,1.00877193,1.00877193,0.966666667,0.966666667,1.015037594,1.015037594,1.015503876,1.015503876,0.753968254,0.952380952,0.976190476,0.968253968,0.984848485,0.984848485,0.992537313,0.985074627,1.033333333,1.033333333,0.993197279,0.993197279,0.690140845,1.014084507,0.917293233,1,1.007633588,1.007633588,0.976923077,0.976923077,0.992125984,0.992125984,1,1,0.716216216,0.986486486,1,1.007092199,0.015080292,0.000253497,0.018003769,0.000286561,0.050021492,0.000876217,0.818753573,0.896931094,0.972254335,0.614221477,0.214998308,0.028197979,0.21599755,0.494670169,0.505329831,0.09143069,0.078930488,0.071661805,0.071287895,0.096704111,0.170316051,0.125720825,0.120224991,0.086682676,0.048453592,0.027646784,0.010940094,0.117332398,0.122181786,0.259297584,0.25175604,0.030069715,0.114412242,0.091137324,0.505491353,0.403371324
48201,742,101810,851,,34.16996269,33.29347015,34.97966418,1435155,2.860648321,985652,3.387434701,1598698,4713325,1,1,1,1,1,1,,0.054817861,0.054460916,,0.086968273,0.089743935,,0.967097532,0.964959569,,,,,,,0.015276146,0.014824798,0.596944771,0.566037736,0.376028202,0.404312668,0.003525264,0.004043127,0.717978848,0.641509434,,,,0.160987074,0.202156334,,0.121034078,0.156334232,0.869882749,0.897891892,,0.97826087,0.97826087,0.969072165,0.969072165,0.986666667,0.986666667,,,,,,,0.978947368,0.978947368,1,1,0.931818182,0.931818182,0.96,0.96,1,1,,,,,,,,,,,,,,,0.029990081,0.000583877,0.034155082,0.000621005,0.065538023,0.001012449,0.17386231,0.401408451,0.533568905,0.566470183,0.189492919,0.061828842,0.408443921,0.497843717,0.502156283,0.082178954,0.078275433,0.074908509,0.073470742,0.072693459,0.161660752,0.143747805,0.134039217,0.097536958,0.047771279,0.024752111,0.008964781,0.123569231,0.128590292,0.259571266,0.21424097,0.033779627,0.104786591,0.10229762,0.509670995,0.388031386
48113,487,57810,341,245,34.43415219,33.43013781,35.30868784,855960,2.813067705,559417,3.368615938,943257,2635516,1,1,1,1,1,1,0.071510204,0.064076246,0.055605749,0.145428571,0.115395894,0.117741273,0.991836735,0.991202346,0.993839836,0,0.187755102,0.787755102,0,0.644897959,,0,0,0.217008798,0.23613963,0.768328446,0.759753593,0,0.002053388,0.668621701,0.60164271,,,0.240816327,0.225806452,0.308008214,0.114285714,0.105571848,0.090349076,0.780400411,0.86214956,0.784702041,0.958333333,0.958333333,0.909090909,0.909090909,0.852941176,0.852941176,0.890909091,0.890909091,0.837837838,0.837837838,0.891891892,0.891891892,0.954545455,0.954545455,0.842105263,0.842105263,1,1,0.8,0.8,0.9375,0.9375,0.8,0.777777778,1,1,0.9375,0.9375,0.866666667,0.866666667,1.1,1.1,0.95,0.95,0.866666667,0.866666667,0.03080042,0.000450766,0.036198604,0.000516787,0.096255913,0.0012434,0,0.434017595,0.547987616,0.535382847,0.22304434,0.050355997,0.382553558,0.494481954,0.505518046,0.081430186,0.077491651,0.07322332,0.071445553,0.07245394,0.16259223,0.144833981,0.134233252,0.094475029,0.049294404,0.027628868,0.010897587,0.130354222,0.149852797,0.234084537,0.202010608,0.032558764,0.110048367,0.092548478,0.483156764,0.424294757
