CARES ESSER I 20 NORM,CRRSA ESSER II 21 NORM,ARP ESSER III 21 NORM,District #,County #,Label Math 2019-2022,Label Reading 2019-2022,Label Overall 2019-2022,AVG_Math_2022,AVG_Reading_2022,AVG_Math_2019,AVG_Reading_2019,AVG_Math_2021,AVG_Reading_2021,Median Age 10,Median Age Male 10,Median Age Female 10,# of Households 10,Avg Household Size 10,# of Families 10,Avg Family Size 10,# of Housing Units 10,County Population,% County Infected 09/28/20,% County Deaths 09/28/20,% County Infected 10/30/20,% County Deaths 10/30/20,% County Infected 01/29/21,% County Deaths 01/29/21,% County Infected 07/28/2021,% County Deaths 07/28/2021,% County Infected 01/29/2022,% County Deaths 01/29/2022,% County Infected 07/29/2022,% County Deaths 07/29/2022,% County Infected 10/30/2022,% County Deaths 10/30/2022,% On Campus 09/28/20,% On Campus 10/30/20,% On Campus 01/29/21,% White Pop 10,% Black Pop 10,% Asian Pop 10,% Hispanic Pop 10,% Male Pop 10,% Female Pop 10,% Age 0-4 Pop 10,% Age 5-9 Pop 10,% Age 10-14 Pop 10,% Age 15-19 Pop 10,% Age 20-24 Pop 10,% Age 25-34 Pop 10,% Age 35-44 Pop 10,% Age 45-54 Pop 10,% Age 55-64 Pop 10,% Age 65-74 Pop 10,% Age 75-84 Pop 10,% Age 85-Up Pop 10,% HH 1 Male 10,% HH 1 Female 10,% HH Married-Child 10,% HH Married-noChild 10,% HH Male-Child 10,% HH Female-Child 10,% Housing Vacant 10,% Housing Owner Occup 10,% Housing Renter Occup 10,11-City: Large,12-City: Mid-size,13-City: Small,21-Suburb: Large,22-Suburb: Mid-size,23-Suburb: Small,31-Town: Fringe,32-Town: Distant,33-Town: Remote,41-Rural: Fringe,42-Rural: Distant,43-Rural: Remote,% ADA 2018-2019,% ADA 2020-2021,% ADA 2021-2022,% Asian or Asian/Pacific Islander Students 2018-2019,% Asian or Asian/Pacific Islander Students 2020-2021,% Asian or Asian/Pacific Islander Students 2021-2022,% Black or African American Students 2018-2019,% Black or African American Students 2020-2021,% Black or African American Students 2021-2022,% Free or Reduced Lunch 2018-2019,% Free or Reduced Lunch 2020-2021,% Free or Reduced Lunch 2021-2022,% Grades 1-8 2018-2019,% Grades 1-8 2020-2021,% Grades 1-8 2021-2022,% Grades 9-12 2018-2019,% Grades 9-12 2020-2021,% Grades 9-12 2021-2022,% Hispanic Students 2018-2019,% Hispanic Students 2020-2021,% Hispanic Students 2021-2022,% K 2018-2019,% K 2020-2021,% K 2021-2022,% Prek 2018-2019,% Prek 2020-2021,% Prek 2021-2022,% School-wide Title I 2018-2019,% School-wide Title I 2020-2021,% School-wide Title I 2021-2022,% Students Tested Math - Grade 3 2018-2019,% Students Tested Math - Grade 3 2020-2021,% Students Tested Math - Grade 3 2021-2022,% Students Tested Math - Grade 4 2018-2019,% Students Tested Math - Grade 4 2020-2021,% Students Tested Math - Grade 4 2021-2022,% Students Tested Math - Grade 5 2018-2019,% Students Tested Math - Grade 5 2020-2021,% Students Tested Math - Grade 5 2021-2022,% Students Tested Math - Grade 6 2018-2019,% Students Tested Math - Grade 6 2020-2021,% Students Tested Math - Grade 6 2021-2022,% Students Tested Math - Grade 7 2018-2019,% Students Tested Math - Grade 7 2020-2021,% Students Tested Math - Grade 7 2021-2022,% Students Tested Math - Grade 8 2018-2019,% Students Tested Math - Grade 8 2020-2021,% Students Tested Math - Grade 8 2021-2022,% Students Tested Reading - Grade 3 2018-2019,% Students Tested Reading - Grade 3 2020-2021,% Students Tested Reading - Grade 3 2021-2022,% Students Tested Reading - Grade 4 2018-2019,% Students Tested Reading - Grade 4 2020-2021,% Students Tested Reading - Grade 4 2021-2022,% Students Tested Reading - Grade 5 2018-2019,% Students Tested Reading - Grade 5 2020-2021,% Students Tested Reading - Grade 5 2021-2022,% Students Tested Reading - Grade 6 2018-2019,% Students Tested Reading - Grade 6 2020-2021,% Students Tested Reading - Grade 6 2021-2022,% Students Tested Reading - Grade 7 2018-2019,% Students Tested Reading - Grade 7 2020-2021,% Students Tested Reading - Grade 7 2021-2022,% Students Tested Reading - Grade 8 2018-2019,% Students Tested Reading - Grade 8 2020-2021,% Students Tested Reading - Grade 8 2021-2022,% Title I Eligible School 2018-2019,% Title I Eligible School 2020-2021,% Title I Eligible School 2021-2022,% White Students 2018-2019,% White Students 2020-2021,% White Students 2021-2022,Total Staff 2018-2019,Total Staff 2020-2021,Total Staff 2021-2022,Total Students 2018-2019,Total Students 2020-2021,Total Students 2021-2022,Total Teachers 2018-2019,Total Teachers 2020-2021,Total Teachers 2021-2022,Per Capita Income,Median Household Income,% of Population in Poverty,% of Population Under 18 in Poverty,Low Average Annual Pay (Less than $45000),Mid Average Annual Pay (Between $45000 & $70000),High Average Annual Pay (More than $70000)
576.5256798,2586.58006,5810.966767,54901,48107,0,0,0,0.831205175,0.883085304,0.83917633,0.87721495,0.80839171,0.88047867,40.06666667,39.25,40.78333333,2237,2.63,1613,3.145,2902,5737,0.01516472,0.000522921,0.020219627,0.001917378,0.074603451,0.004357678,0.134913718,0.005054907,0.308175004,0.007669514,0.345825344,0.007843821,0.376329092,0.008018128,0.975308642,0.92721519,0.981072555,0.789569236,0.034494141,0.000990262,0.523353689,0.48143258,0.51856742,0.083347087,0.075590031,0.075424988,0.079220994,0.047037465,0.109258954,0.109754085,0.130219508,0.115530616,0.094900149,0.056444958,0.023271167,0.113097899,0.136790344,0.226195798,0.310236924,0.043361645,0.089852481,0.229152309,0.534114404,0.236733287,0,0,0,0,0,0,0,0,0,0,0,1,0.904762943,0.933873418,0.920422961,0,0,0.003021148,0.035422343,0.028481013,0.021148036,0.822888283,0.768987342,0.761329305,0.585831063,0.515822785,0.552870091,0.277929155,0.319620253,0.311178248,0.752043597,0.724683544,0.740181269,0.057220708,0.101265823,0.075528701,0.079019074,0.063291139,0.060422961,0.5,0.5,0.75,1.055555556,1.05,0.888888889,0.965517241,1.111111111,0.909090909,0.88,1,1.095238095,0.956521739,0.931034483,0.857142857,0.914285714,0.863636364,0.933333333,0.838709677,1,1,1.055555556,1.05,0.888888889,0.965517241,1.111111111,0.909090909,0.88,1,1.095238095,0.956521739,0.931034483,0.857142857,0.914285714,0.863636364,0.933333333,0.838709677,1,1,0.5,0.5,0.75,0.207084469,0.234177215,0.223564955,0.184277929,0.20221519,0.192416918,367,316,331,0.102888283,0.109968354,0.102598187,41146,42804,19.8,30.3,1,0,0
506.5654008,2252.953586,5061.451477,54902,48107,0,0,0,0.820833586,0.867427361,0.837226737,0.871493441,0.824028505,0.865589268,40.06666667,39.25,40.78333333,2237,2.63,1613,3.145,2902,5737,0.01516472,0.000522921,0.020219627,0.001917378,0.074603451,0.004357678,0.134913718,0.005054907,0.308175004,0.007669514,0.345825344,0.007843821,0.376329092,0.008018128,0.898305085,0.868421053,0.907079646,0.789569236,0.034494141,0.000990262,0.523353689,0.48143258,0.51856742,0.083347087,0.075590031,0.075424988,0.079220994,0.047037465,0.109258954,0.109754085,0.130219508,0.115530616,0.094900149,0.056444958,0.023271167,0.113097899,0.136790344,0.226195798,0.310236924,0.043361645,0.089852481,0.229152309,0.534114404,0.236733287,0,0,0,0,0,0,0,0,0,0,1,0,0.90499262,0.851091703,0.918409283,0,0,0,0.033210332,0.021834061,0.050632911,0.789667897,0.794759825,0.818565401,0.579335793,0.598253275,0.573839662,0.26199262,0.266375546,0.29535865,0.859778598,0.838427948,0.772151899,0.084870849,0.069868996,0.071729958,0.073800738,0.065502183,0.05907173,1,1,1,1,0.857142857,1,1,0.857142857,1,1,0.894736842,1.0625,0.857142857,1,1,1,1,1.117647059,0.884615385,0.933333333,1.08,1,0.857142857,1,1,0.857142857,1,1,0.894736842,1.0625,0.857142857,1,1,1,1,1.117647059,0.923076923,0.933333333,1.08,1,1,1,0.10701107,0.11790393,0.168776371,0.27896679,0.320829694,0.316877637,271,229,237,0.109077491,0.106943231,0.109240506,41146,42804,19.8,30.3,1,0,0
350.9772727,1277.741736,2870.551653,54903,48107,0,1,0,0.812482451,0.846681048,0.83653862,0.856948884,0.812880975,0.869738343,40.06666667,39.25,40.78333333,2237,2.63,1613,3.145,2902,5737,0.01516472,0.000522921,0.020219627,0.001917378,0.074603451,0.004357678,0.134913718,0.005054907,0.308175004,0.007669514,0.345825344,0.007843821,0.376329092,0.008018128,0.929978118,0.863930886,0.949473684,0.789569236,0.034494141,0.000990262,0.523353689,0.48143258,0.51856742,0.083347087,0.075590031,0.075424988,0.079220994,0.047037465,0.109258954,0.109754085,0.130219508,0.115530616,0.094900149,0.056444958,0.023271167,0.113097899,0.136790344,0.226195798,0.310236924,0.043361645,0.089852481,0.229152309,0.534114404,0.236733287,0,0,0,0,0,0,0,0,0,0,1,0,0.897088632,0.895311688,0.87931405,0.001926782,0.004329004,0,0.01734104,0.006493506,0.008264463,0.815028902,0.82034632,0.826446281,0.59344894,0.601731602,0.561983471,0.260115607,0.274891775,0.303719008,0.74566474,0.768398268,0.760330579,0.050096339,0.071428571,0.064049587,0.096339114,0.051948052,0.070247934,1,1,1,0.945945946,0.885714286,0.875,0.945945946,0.972972973,0.9375,0.954545455,0.9375,1,0.913043478,0.972972973,0.941176471,0.87804878,0.904761905,1.025,1.03125,0.88372093,0.847826087,0.945945946,0.885714286,0.875,0.945945946,0.972972973,0.9375,0.954545455,0.9375,1,0.913043478,0.972972973,0.941176471,0.87804878,0.904761905,1.025,1.03125,0.88372093,0.847826087,1,1,1,0.229287091,0.203463203,0.214876033,0.182890173,0.194978355,0.177665289,519,462,484,0.103795761,0.106017316,0.095950413,41146,42804,19.8,30.3,1,0,0
266.6108597,1065.502262,2393.742081,63903,48125,1,1,1,0.87737254,0.93292253,0.85900686,0.903182567,0.864714818,0.939864048,42.63333333,40.13333333,48.53333333,930,2.29,616,2.846666667,1282,2211,0.022161918,0.000904568,0.024875622,0.000904568,0.061962913,0.003618272,0.089552239,0.00452284,0.182270466,0.006784261,0.2152872,0.007236545,0.223880597,0.007236545,0.851694915,0.908333333,0.943965517,0.839607201,0.040507365,0.009001637,0.289689034,0.565875614,0.434124386,0.05400982,0.061374795,0.053191489,0.055646481,0.050736498,0.136661211,0.116202946,0.151391162,0.123977087,0.112929624,0.058101473,0.025777414,0.133333333,0.169892473,0.184946237,0.359139785,0.025806452,0.047311828,0.274570983,0.546801872,0.178627145,0,0,0,0,0,0,0,0,0,0,0,1,0.913739837,0.9281625,0.921524887,0.004065041,0.004166667,0,0.028455285,0.016666667,0.004524887,0.613821138,0.508333333,0.547511312,0.532520325,0.5,0.461538462,0.345528455,0.425,0.411764706,0.43902439,0.416666667,0.375565611,0.052845528,0.0375,0.063348416,0.069105691,0.0375,0.063348416,1,1,1,0.894736842,1.071428571,1.166666667,1.0625,1.166666667,1.083333333,0.9375,0.888888889,1.166666667,1.214285714,1,0.941176471,0.888888889,1,1.058823529,1.086956522,0.9375,1.111111111,0.894736842,1.071428571,1.166666667,1.0625,1,1.083333333,0.9375,0.888888889,1.166666667,1.214285714,1,0.941176471,0.888888889,1,1.058823529,1.086956522,0.9375,1.111111111,1,1,1,0.5,0.525,0.552036199,0.219512195,0.232833333,0.227782805,246,240,221,0.114796748,0.116708333,0.120904977,38730,42034,18.9,27.7,1,0,0
299.5697674,1488.383721,3343.77907,63906,48125,0,1,1,0.583050013,0.619105668,0.869099937,0.883256728,0.844698742,0.91038201,42.63333333,40.13333333,48.53333333,930,2.29,616,2.846666667,1282,2211,0.022161918,0.000904568,0.024875622,0.000904568,0.061962913,0.003618272,0.089552239,0.00452284,0.182270466,0.006784261,0.2152872,0.007236545,0.223880597,0.007236545,0.956989247,0.967391304,1,0.839607201,0.040507365,0.009001637,0.289689034,0.565875614,0.434124386,0.05400982,0.061374795,0.053191489,0.055646481,0.050736498,0.136661211,0.116202946,0.151391162,0.123977087,0.112929624,0.058101473,0.025777414,0.133333333,0.169892473,0.184946237,0.359139785,0.025806452,0.047311828,0.274570983,0.546801872,0.178627145,0,0,0,0,0,0,0,0,0,0,0,1,0.927938144,0.928833333,0.895686047,0,0,0,0.030927835,0,0.011627907,0.824742268,0.755555556,0.802325581,0.536082474,0.6,0.534883721,0.309278351,0.277777778,0.302325581,0.443298969,0.433333333,0.395348837,0.041237113,0.055555556,0.011627907,0.113402062,0.066666667,0.151162791,1,1,1,1.142857143,1,1.25,1.111111111,1,1,1,1,1,1,1,0.75,0.833333333,1.166666667,1.125,1,1.222222222,0.833333333,1.142857143,1,1.25,1.111111111,1,1,1,1,1,1,1,0.75,0.833333333,1.166666667,1.125,1,1.222222222,0.833333333,1,1,1,0.525773196,0.566666667,0.593023256,0.310927835,0.338444444,0.342906977,97,90,86,0.117835052,0.113,0.122209302,38730,42034,18.9,27.7,1,0,0
559.9182879,2127.642023,4779.929961,69901,48137,-1,-1,-1,0.816612419,0.871684018,0.815772752,0.880964047,0.778777286,0.857981559,47.9,47.65,47.75,839,2.355,580,2.88,1606,1932,0.034679089,0.001035197,0.037267081,0.001035197,0.117494824,0.002070393,0.129399586,0.00310559,0.221532091,0.005175983,0.262939959,0.005693582,0.289337474,0.005693582,0.9,0,0.973282443,0.868631369,0.005494505,0.003496503,0.512987013,0.50999001,0.49000999,0.056943057,0.064935065,0.05044955,0.061438561,0.047952048,0.084415584,0.096403596,0.147352647,0.171828172,0.131368631,0.065934066,0.020979021,0.141835518,0.138259833,0.196662694,0.369487485,0.022646007,0.057210965,0.47758406,0.422789539,0.099626401,0,0,0,0,0,0,0,0,0,0,0,1,0.890856209,0.912737037,0.911474708,0,0.003703704,0,0,0.011111111,0,0.699346405,0.696296296,0.680933852,0.575163399,0.548148148,0.536964981,0.27124183,0.311111111,0.307392996,0.767973856,0.788888889,0.774319066,0.078431373,0.066666667,0.089494163,0.075163399,0.074074074,0.06614786,1,1,1,0.870967742,1,1.2,0.888888889,1,1,1,0.961538462,1.090909091,1,0.916666667,0.92,0.923076923,0.894736842,0.928571429,0.777777778,1.176470588,0.947368421,0.870967742,1,1.2,0.888888889,1,1,1,0.961538462,1.090909091,1,0.916666667,0.92,0.961538462,0.894736842,0.928571429,1.055555556,1.176470588,0.947368421,1,1,1,0.232026144,0.192592593,0.221789883,0.152124183,0.196222222,0.20692607,306,270,257,0.078529412,0.094222222,0.091400778,55329,45330,19.1,31.8,0,1,0
419.4330709,1855.602362,4168.76378,69902,48137,0,0,0,0.848827225,0.913641714,0.844917805,0.897037513,0.831505166,0.904867366,47.9,47.65,47.75,839,2.355,580,2.88,1606,1932,0.034679089,0.001035197,0.037267081,0.001035197,0.117494824,0.002070393,0.129399586,0.00310559,0.221532091,0.005175983,0.262939959,0.005693582,0.289337474,0.005693582,0.902834008,0.930612245,0,0.868631369,0.005494505,0.003496503,0.512987013,0.50999001,0.49000999,0.056943057,0.064935065,0.05044955,0.061438561,0.047952048,0.084415584,0.096403596,0.147352647,0.171828172,0.131368631,0.065934066,0.020979021,0.141835518,0.138259833,0.196662694,0.369487485,0.022646007,0.057210965,0.47758406,0.422789539,0.099626401,0,0,0,0,0,0,0,0,0,0,0,1,0.908757143,0.936023077,0.906492126,0,0,0,0,0,0.003937008,0.714285714,0.75,0.657480315,0.6,0.642307692,0.622047244,0.246428571,0.246153846,0.295275591,0.421428571,0.426923077,0.405511811,0.089285714,0.069230769,0.047244094,0.064285714,0.042307692,0.035433071,1,1,1,1.066666667,0.875,1,1,1,0.916666667,0.909090909,1.090909091,1,1.090909091,0.84375,1.090909091,1.0625,0.904761905,0.833333333,1,0.88,0.909090909,1.066666667,0.875,1,1,1,0.916666667,0.909090909,1.090909091,1,1.090909091,0.84375,1.090909091,1.0625,0.904761905,0.766666667,1,0.92,0.909090909,1,1,1,0.55,0.55,0.57480315,0.192678571,0.2025,0.202125984,280,260,254,0.106035714,0.102615385,0.106850394,55329,45330,19.1,31.8,0,1,0
0,0,0,177903,48353,1,1,1,0.870288331,0.93391278,0.740040027,0.774391407,0.837563638,0.923943005,39.08823529,37.3,40.79411765,5999,2.482941176,4021,3.042352941,7152,14714,0.017398396,0.000339812,0.029699606,0.000475737,0.099225228,0.003194237,0.107516651,0.003669974,0.196003806,0.006048661,0.223120837,0.006796248,0.23141226,0.006864211,0.97515528,0.980645161,0.981927711,0.836487907,0.046990011,0.00440326,0.335370662,0.496911146,0.503088854,0.074132492,0.073803891,0.069400631,0.072292324,0.056388013,0.108964248,0.117507886,0.131834911,0.130126183,0.089445321,0.054219243,0.021884858,0.135689282,0.152692115,0.193532255,0.285714286,0.036172695,0.097016169,0.161213647,0.573825503,0.26496085,0,0,0,0,0,0,0,0,0,0,0,1,0.903302632,0.907416667,0.942058065,0,0,0.006451613,0,0,0,0.375,0.31547619,0.393548387,0.467105263,0.547619048,0.574193548,0.381578947,0.303571429,0.329032258,0.203947368,0.214285714,0.258064516,0.092105263,0.071428571,0.064516129,0.059210526,0.077380952,0.032258065,0,0,0,1,1,1,0.916666667,1,1,1,0.818181818,1,0.9,1,1.090909091,0.8,1.071428571,1.153846154,1,1.166666667,1,1,1,1,0.916666667,1,1,1,0.818181818,1,0.9,1,1.090909091,0.8,1.071428571,1.153846154,1,1.166666667,1,0,0,0,0.769736842,0.779761905,0.716129032,0.27875,0.253690476,0.278516129,152,168,155,0.145394737,0.13202381,0.142903226,48017,41720,17.2,24.4,0,1,0
143.0088496,614.5619469,1380.659292,177905,48353,1,0,0,0.913999713,0.928101944,0.924464873,0.953507862,0.912375644,0.949417633,39.08823529,37.3,40.79411765,5999,2.482941176,4021,3.042352941,7152,14714,0.017398396,0.000339812,0.029699606,0.000475737,0.099225228,0.003194237,0.107516651,0.003669974,0.196003806,0.006048661,0.223120837,0.006796248,0.23141226,0.006864211,1,0.990825688,0.986425339,0.836487907,0.046990011,0.00440326,0.335370662,0.496911146,0.503088854,0.074132492,0.073803891,0.069400631,0.072292324,0.056388013,0.108964248,0.117507886,0.131834911,0.130126183,0.089445321,0.054219243,0.021884858,0.135689282,0.152692115,0.193532255,0.285714286,0.036172695,0.097016169,0.161213647,0.573825503,0.26496085,0,0,0,0,0,0,0,0,0,0,1,0,0.909506276,0.942105505,0.913482301,0.0041841,0.004587156,0,0.0041841,0,0,0.326359833,0.23853211,0.256637168,0.577405858,0.568807339,0.544247788,0.280334728,0.293577982,0.32300885,0.179916318,0.160550459,0.132743363,0.083682008,0.073394495,0.084070796,0.058577406,0.064220183,0.048672566,1,1,1,1,0.933333333,0.9,1,0.95,1,1,1,1,1,0.888888889,1,1,1.214285714,0.941176471,1,1.055555556,1,1,0.933333333,0.9,1,0.95,1,1,1,1,1,0.888888889,1,1,1.214285714,0.941176471,1,1.055555556,1,1,1,1,0.807531381,0.830275229,0.85840708,0.179916318,0.201834862,0.201681416,239,218,226,0.08790795,0.100917431,0.101814159,48017,41720,17.2,24.4,0,1,0
32.57189224,134.8182408,302.8805583,177901,48353,-1,-1,-1,0.664205056,0.868814899,0.862228102,0.89577179,0.664636653,0.884767995,39.08823529,37.3,40.79411765,5999,2.482941176,4021,3.042352941,7152,14714,0.017398396,0.000339812,0.029699606,0.000475737,0.099225228,0.003194237,0.107516651,0.003669974,0.196003806,0.006048661,0.223120837,0.006796248,0.23141226,0.006864211,0.945682451,0.885462555,0.352571429,0.836487907,0.046990011,0.00440326,0.335370662,0.496911146,0.503088854,0.074132492,0.073803891,0.069400631,0.072292324,0.056388013,0.108964248,0.117507886,0.131834911,0.130126183,0.089445321,0.054219243,0.021884858,0.135689282,0.152692115,0.193532255,0.285714286,0.036172695,0.097016169,0.161213647,0.573825503,0.26496085,0,0,0,0,0,0,0,0,0,0,1,0,0.845220155,1,1,0,0,0.072703668,0.012403101,0.022026432,0.141512496,0.448062016,0.443465492,0.629341123,0.576744186,0.552129222,0.7624148,0.218604651,0.239353891,0.05777345,0.539534884,0.535976505,0.524505031,0.079069767,0.074889868,0.161960402,0.125581395,0.133627019,0.017851347,0.5,0.666666667,1,0.961538462,3.470588235,2.053571429,0.954545455,3.96969697,1.755980861,0.962264151,2.70212766,1.925257732,0.981818182,0.888888889,3.932330827,0.9,0.927272727,1.023809524,0.5,0.050847458,0.019230769,0.961538462,3.441176471,2.046428571,0.954545455,4,1.755980861,0.962264151,2.680851064,1.932989691,0.981818182,0.888888889,3.92481203,0.9,0.927272727,1.023809524,0.97826087,0.949152542,0.961538462,0.5,1,1,0.431007752,0.422907489,0.229146381,0.145116279,0.16267254,0.036604998,645,681,3081,0.071488372,0.075726872,0.015959104,48017,41720,17.2,24.4,0,1,0
