feature,Feature Importance,counts,RF Feature Importance,RFE RF Score,RF Permutation Importance,Ridge Permutation Importance,RFE Ridge Score,RF Feature Importance Normalized,RF Permutation Importance Normalized,Ridge Permutation Importance Normalized,RFE RF Score Normalized,RFE Ridge Score Normalized
% On Campus 10/30/20,0.33637091248279094,7,0.027752663626264086,1.0,-0.016748768472906385,0.041379310344827544,1.0,0.0494219247105925,0.112582781456955,0.07216494845360825,0.018867924528301886,0.08333333333333333
% On Campus 09/28/20,0.22891885943914814,7,0.02721527567335363,1.0,-0.009852216748768461,0.006896551724137922,1.0,0.04846494460566356,0.06622516556291469,0.012027491408934707,0.018867924528301886,0.08333333333333333
% Hispanic Students 2018-2019,0.20071157691044383,6,0.008340460937050594,1.0,-0.008866995073891614,0.013793103448275845,1.0,0.014852687224316012,0.059602649006623216,0.024054982817869414,0.018867924528301886,0.08333333333333333
% On Campus 01/29/21,0.1891164902974718,5,0.03581966173470451,1.0,-0.013793103448275824,0.007881773399014769,0.0,0.06378762951373552,0.09271523178808043,0.013745704467353952,0.018867924528301886,0.0
% Students Tested Math - Grade 4 2020-2021,0.18329043137005516,4,0.01574297441482878,1.0,-0.017733990147783228,0.009852216748768461,0.0,0.028035078244314404,0.11920529801324643,0.017182130584192438,0.018867924528301886,0.0
% Black or African American Students 2018-2019,0.1816158752251888,7,0.009055038553423635,1.0,-0.007881773399014769,0.005911330049261076,1.0,0.016125206562706346,0.05298013245033176,0.010309278350515464,0.018867924528301886,0.08333333333333333
ARP ESSER III 21 NORM,0.17330548906038706,5,0.00796664793219436,1.0,-0.005911330049261055,0.009852216748768461,1.0,0.014187001276810723,0.03973509933774867,0.017182130584192438,0.018867924528301886,0.08333333333333333
% Asian or Asian/Pacific Islander Students 2021-2022,0.15893846313144652,4,0.006793467545814168,1.0,-0.006896551724137922,-0.0009852216748768461,1.0,0.01209780243419027,0.046357615894040284,-0.001718213058419244,0.018867924528301886,0.08333333333333333
% White Students 2021-2022,0.15815596812605331,5,0.020124010815260853,1.0,-0.0019704433497536476,0.0039408866995073845,1.0,0.035836824918158476,0.01324503311258264,0.006872852233676976,0.018867924528301886,0.08333333333333333
% Students Tested Math - Grade 5 2021-2022,0.1580181321329949,5,0.007199981202452257,1.0,-0.016748768472906385,0.007881773399014769,0.0,0.012821721680384073,0.112582781456955,0.013745704467353952,0.018867924528301886,0.0
Total Teachers 2020-2021,0.1518096564356607,5,0.014710429688938736,1.0,-0.005911330049261055,0.03842364532019701,0.0,0.026196323291259597,0.03973509933774867,0.06701030927835053,0.018867924528301886,0.0
CARES ESSER I 20 NORM,0.14816709435188413,6,0.009690528061967057,1.0,-0.00197044334975367,0.008866995073891614,1.0,0.017256885851892913,0.01324503311258279,0.015463917525773195,0.018867924528301886,0.08333333333333333
% Asian or Asian/Pacific Islander Students 2018-2019,0.1478969710860807,5,0.005538846811643732,1.0,-0.0009852216748768238,0.016748768472906385,1.0,0.009863574675027015,0.00662251655629132,0.029209621993127148,0.018867924528301886,0.08333333333333333
% Grades 9-12 2018-2019,0.14296782101632816,5,0.00797537032932595,1.0,-0.013793103448275845,0.009852216748768461,0.0,0.014202534115753264,0.09271523178808057,0.017182130584192438,0.018867924528301886,0.0
% Students Tested Math - Grade 5 2020-2021,0.13757293185492744,5,0.012243009112757906,1.0,-0.010837438423645308,0.013793103448275845,0.0,0.021802342389549974,0.07284768211920617,0.024054982817869414,0.018867924528301886,0.0
% Students Tested Math - Grade 3 2021-2022,0.12859351530023594,4,0.00927094219878524,1.0,-0.011822660098522153,0.007881773399014769,0.0,0.016509687629082465,0.07947019867549764,0.013745704467353952,0.018867924528301886,0.0
% Black or African American Students 2020-2021,0.12168119624328894,5,0.008184883418393745,1.0,-0.0009852216748768238,-0.0009852216748768461,1.0,0.01457563488378164,0.00662251655629132,-0.001718213058419244,0.018867924528301886,0.08333333333333333
Total Students 2018-2019,0.12109954868267403,7,0.010471676881263969,1.0,0.0009852216748768906,0.0039408866995073845,1.0,0.018647955143653614,-0.006622516556291768,0.006872852233676976,0.018867924528301886,0.08333333333333333
% Students Tested Math - Grade 6 2018-2019,0.11198005617633953,4,0.008203697506265173,1.0,-0.008866995073891593,0.010837438423645308,0.0,0.014609138998802881,0.05960264900662308,0.018900343642611683,0.018867924528301886,0.0
Total Students 2021-2022,0.11161322814379959,7,0.011617510375386149,1.0,0.002955665024630605,0.0049261083743842304,1.0,0.02068845465894301,-0.019867549668874857,0.008591065292096219,0.018867924528301886,0.08333333333333333
Median Household Income,0.11138423238949921,6,0.005377105797334253,1.0,-0.0049261083743842304,0.028571428571428536,0.0,0.009575546385581921,0.033112582781457345,0.04982817869415807,0.018867924528301886,0.0
% Prek 2020-2021,0.10830749422968905,4,0.00875480164186707,1.0,-0.006896551724137922,0.015763546798029538,0.0,0.015590544872638981,0.046357615894040284,0.027491408934707903,0.018867924528301886,0.0
% Age 45-54 Pop 10,0.10765219081352344,4,0.005089698650746878,1.0,-0.010837438423645308,0.0039408866995073845,0.0,0.00906373193233841,0.07284768211920617,0.006872852233676976,0.018867924528301886,0.0
County Population,0.10385440904945603,5,0.00764077095942087,1.0,-0.009852216748768461,0.002955665024630538,0.0,0.013606679782981726,0.06622516556291469,0.005154639175257732,0.018867924528301886,0.0
% Students Tested Math - Grade 6 2021-2022,0.09367597226933169,5,0.00894107990781135,1.0,-0.004926108374384208,0.014778325123152691,0.0,0.015922269083283955,0.03311258278145719,0.02577319587628866,0.018867924528301886,0.0
% County Deaths 07/28/2021,0.0865374792800741,4,0.005073065580149811,1.0,-0.005911330049261076,0.010837438423645308,0.0,0.009034111771411718,0.03973509933774882,0.018900343642611683,0.018867924528301886,0.0
Total Teachers 2018-2019,0.08084980762960997,5,0.010000573712191096,1.0,-0.00197044334975367,0.017733990147783228,0.0,0.01780901493717891,0.01324503311258279,0.03092783505154639,0.018867924528301886,0.0
% K 2020-2021,0.07853823070522539,5,0.008299962516312317,1.0,-0.005911330049261055,0.002955665024630538,0.0,0.0147805676639171,0.03973509933774867,0.005154639175257732,0.018867924528301886,0.0
% Free or Reduced Lunch 2020-2021,0.07555419227882279,5,0.013921403886214373,1.0,-0.002955665024630538,0.006896551724137922,0.0,0.024791226672711792,0.01986754966887441,0.012027491408934707,0.018867924528301886,0.0
% Grades 1-8 2021-2022,0.07195639014790627,5,0.008865934217841528,1.0,-0.0019704433497536923,0.013793103448275845,0.0,0.015788449689152023,0.01324503311258294,0.024054982817869414,0.018867924528301886,0.0
% HH Female-Child 10,0.07068788364675788,5,0.007610479718616675,1.0,-0.0049261083743842304,0.002955665024630538,0.0,0.01355273716174091,0.033112582781457345,0.005154639175257732,0.018867924528301886,0.0
% Free or Reduced Lunch 2021-2022,0.06880126942872447,6,0.013426450124409205,1.0,0.0009852216748768906,0.018719211822660075,0.0,0.02390981334674873,-0.006622516556291768,0.03264604810996563,0.018867924528301886,0.0
% Free or Reduced Lunch 2018-2019,0.05932046660189816,7,0.011961966982778804,1.0,0.0009852216748768906,0.014778325123152691,0.0,0.021301862753599386,-0.006622516556291768,0.02577319587628866,0.018867924528301886,0.0
