feature,counts,RF Feature Importance,RFE RF Score,RF Permutation Importance,Ridge Permutation Importance,RFE Ridge Score
CRRSA ESSER II 21 NORM,7,0.008821401691533982,1.0,-0.002955665024630538,0.009852216748768461,0.0
% On Campus 10/30/20,7,0.017635578700496198,1.0,-0.002955665024630538,0.010837438423645308,1.0
% On Campus 01/29/21,6,0.024238417497797475,1.0,0.0039408866995073845,0.024630541871921152,0.0
% Free or Reduced Lunch 2020-2021,6,0.009312422614905513,1.0,0.008866995073891614,0.0049261083743842304,0.0
% On Campus 09/28/20,6,0.016221282443875804,1.0,0.002955665024630538,0.0019704433497536923,0.0
% Asian or Asian/Pacific Islander Students 2018-2019,6,0.010274330000337848,1.0,0.010837438423645308,-0.015763546798029538,1.0
% Students Tested Reading - Grade 7 2021-2022,6,0.010527277795916704,1.0,0.0039408866995073845,-0.014778325123152691,0.0
ARP ESSER III 21 NORM,6,0.007315122040347655,1.0,-0.0019704433497536923,0.009852216748768461,0.0
% Students Tested Reading - Grade 8 2020-2021,6,0.012066822326129387,1.0,0.011822660098522153,0.002955665024630538,0.0
% County Infected 09/28/20,6,0.006835534609137358,1.0,0.005911330049261076,0.0039408866995073845,0.0
# of Housing Units 10,6,0.0072794986220797485,1.0,-0.0049261083743842304,-0.0009852216748768461,1.0
Total Students 2018-2019,6,0.010945138580475439,1.0,0.007881773399014769,0.0,0.0
Total Students 2021-2022,6,0.01424688289635404,1.0,0.007881773399014769,0.0,0.0
Total Students 2020-2021,6,0.010719577356733324,1.0,0.007881773399014769,0.0,0.0
% Students Tested Reading - Grade 5 2021-2022,5,0.008062756466840787,1.0,-0.0019704433497536923,0.0009852216748768461,0.0
% Grades 9-12 2018-2019,5,0.008732615119986183,1.0,-0.005911330049261076,0.0049261083743842304,0.0
Total Teachers 2020-2021,5,0.011428524310429027,1.0,0.0,-0.006896551724137922,1.0
% Students Tested Reading - Grade 4 2021-2022,5,0.008856446341249583,1.0,0.0019704433497536923,-0.013793103448275845,0.0
CARES ESSER I 20 NORM,5,0.007696193068845893,0.0,0.006896551724137922,-0.016748768472906385,0.0
Mid Average Annual Pay (Between $45000 & $70000),5,0.0009257525737711859,0.0,0.002955665024630538,0.0019704433497536923,0.0
% Students Tested Reading - Grade 7 2018-2019,5,0.011439541164577257,1.0,0.008866995073891614,-0.002955665024630538,0.0
% Students Tested Reading - Grade 7 2020-2021,5,0.012262671811676482,1.0,-0.0049261083743842304,0.002955665024630538,0.0
% County Deaths 07/29/2022,5,0.007060980049571013,0.0,0.0009852216748768461,0.002955665024630538,0.0
% White Students 2018-2019,5,0.015903096048932377,1.0,0.009852216748768461,-0.011822660098522153,0.0
% White Students 2021-2022,5,0.012947998917189946,1.0,0.0009852216748768461,-0.002955665024630538,0.0
% Students Tested Reading - Grade 6 2018-2019,5,0.009470395064789784,1.0,0.0019704433497536923,-0.014778325123152691,0.0
Total Teachers 2021-2022,5,0.008668545086739466,1.0,-0.002955665024630538,-0.016748768472906385,0.0
% Asian or Asian/Pacific Islander Students 2020-2021,5,0.007210202585465971,0.0,0.0049261083743842304,0.0049261083743842304,0.0
% ADA 2021-2022,5,0.008192132775001042,1.0,-0.007881773399014769,0.009852216748768461,0.0
% Asian or Asian/Pacific Islander Students 2021-2022,5,0.008396662492862226,0.0,0.005911330049261076,-0.0009852216748768461,1.0
% Black or African American Students 2021-2022,5,0.0070318472783765795,0.0,-0.0009852216748768461,0.0019704433497536923,1.0
% Students Tested Reading - Grade 8 2018-2019,4,0.00785919757918822,0.0,-0.0019704433497536923,0.0009852216748768461,0.0
22-Suburb: Mid-size,4,3.6589151870851396e-05,0.0,0.0,0.007881773399014769,0.0
% Hispanic Students 2018-2019,4,0.008175083848212696,1.0,0.0019704433497536923,-0.0039408866995073845,0.0
11-City: Large,4,0.0005582718265434574,0.0,0.0,0.0009852216748768461,0.0
% White Students 2020-2021,4,0.01316290840763208,1.0,-0.0009852216748768461,-0.014778325123152691,0.0
% Students Tested Reading - Grade 8 2021-2022,4,0.008207017653592975,1.0,-0.012807881773399,-0.0009852216748768461,0.0
% K 2018-2019,4,0.009906550649077802,1.0,0.010837438423645308,-0.012807881773399,0.0
% Students Tested Reading - Grade 6 2021-2022,4,0.008446692694639062,1.0,-0.0049261083743842304,-0.0009852216748768461,0.0
County Population,4,0.007593801123091001,0.0,0.007881773399014769,-0.0039408866995073845,0.0
# of Households 10,4,0.007736342457060108,1.0,0.0,-0.0009852216748768461,0.0
% Prek 2018-2019,4,0.00784358743592871,0.0,0.005911330049261076,0.007881773399014769,0.0
% Age 85-Up Pop 10,4,0.005733561402200649,1.0,0.0019704433497536923,-0.016748768472906385,0.0
% Students Tested Reading - Grade 3 2018-2019,4,0.00875678399413419,1.0,-0.0039408866995073845,-0.002955665024630538,0.0
% Students Tested Reading - Grade 3 2020-2021,4,0.015475225655310454,1.0,0.0009852216748768461,-0.0019704433497536923,0.0
Avg Family Size 10,4,0.009021700121928286,1.0,0.002955665024630538,-0.018719211822660075,0.0
% Students Tested Reading - Grade 5 2018-2019,4,0.006933817297827692,1.0,0.002955665024630538,0.0019704433497536923,0.0
% County Deaths 10/30/2022,4,0.0057703348444493475,1.0,-0.008866995073891614,-0.0039408866995073845,1.0
Median Age Female 10,4,0.0035623442000754274,0.0,0.0009852216748768461,-0.018719211822660075,0.0
Total Staff 2020-2021,4,0.008903471602329967,1.0,0.011822660098522153,-0.011822660098522153,0.0
Total Staff 2021-2022,4,0.009041460476791281,1.0,-0.0049261083743842304,-0.0039408866995073845,0.0
% County Infected 07/28/2021,4,0.0073529814427304215,1.0,0.0,-0.0049261083743842304,0.0
% Black or African American Students 2020-2021,4,0.007954639071308282,0.0,0.0049261083743842304,-0.0019704433497536923,1.0
Median Age Male 10,4,0.004978353334670758,0.0,0.002955665024630538,0.0019704433497536923,0.0
% County Infected 10/30/20,4,0.007168207362390588,0.0,0.0,-0.013793103448275845,0.0
% ADA 2020-2021,4,0.01014528324393377,0.0,0.005911330049261076,-0.005911330049261076,0.0
Total Teachers 2018-2019,4,0.009382765038178522,1.0,0.006896551724137922,-0.011822660098522153,0.0
% ADA 2018-2019,4,0.00900476022081101,1.0,0.007881773399014769,0.0039408866995073845,0.0
Low Average Annual Pay (Less than $45000),4,0.00042374032657085264,0.0,0.0,-0.014778325123152691,0.0
% Age 55-64 Pop 10,3,0.004261655255069365,1.0,-0.005911330049261076,0.002955665024630538,0.0
% Asian Pop 10,3,0.00855559429435758,0.0,0.010837438423645308,-0.005911330049261076,0.0
% Age 0-4 Pop 10,3,0.005626057690609806,0.0,-0.0039408866995073845,0.015763546798029538,0.0
% Students Tested Reading - Grade 5 2020-2021,3,0.013836357346097517,1.0,0.0049261083743842304,-0.010837438423645308,0.0
% Students Tested Reading - Grade 6 2020-2021,3,0.009361489668568583,1.0,0.0039408866995073845,-0.0049261083743842304,0.0
High Average Annual Pay (More than $70000),3,0.0002369661233756602,0.0,0.0,-0.002955665024630538,0.0
Total Staff 2018-2019,3,0.009215364299438965,1.0,-0.0009852216748768461,-0.005911330049261076,0.0
% Age 15-19 Pop 10,3,0.005446721209493454,1.0,-0.0009852216748768461,0.0019704433497536923,0.0
Median Household Income,3,0.006506169374242328,0.0,-0.0019704433497536923,-0.015763546798029538,0.0
% of Population Under 18 in Poverty,3,0.005599673117197293,0.0,-0.002955665024630538,-0.010837438423645308,0.0
12-City: Mid-size,3,0.000503291810059297,0.0,0.0,0.0,0.0
21-Suburb: Large,3,0.00024154643190372186,0.0,0.0,-0.0039408866995073845,0.0
23-Suburb: Small,3,0.0,0.0,0.0,0.0,0.0
31-Town: Fringe,3,0.0006631971427118595,0.0,0.0,-0.0039408866995073845,0.0
% Students Tested Reading - Grade 4 2020-2021,3,0.01631471230599419,1.0,-0.013793103448275845,-0.005911330049261076,0.0
41-Rural: Fringe,3,0.0010408444103407867,0.0,-0.0009852216748768461,0.002955665024630538,0.0
43-Rural: Remote,3,0.0006287763943249166,0.0,0.0,-0.015763546798029538,0.0
33-Town: Remote,3,0.00032125592163624643,0.0,0.0,0.0049261083743842304,0.0
# of Families 10,3,0.0061301617000204,0.0,0.002955665024630538,-0.0009852216748768461,0.0
% Students Tested Reading - Grade 4 2018-2019,3,0.008941883175180592,1.0,-0.002955665024630538,-0.0009852216748768461,0.0
% K 2020-2021,3,0.010093485148149063,1.0,0.0009852216748768461,-0.011822660098522153,0.0
% HH 1 Female 10,3,0.006805669292537839,1.0,0.007881773399014769,-0.011822660098522153,0.0
% Hispanic Pop 10,3,0.004916396257659061,0.0,0.0009852216748768461,0.005911330049261076,0.0
% Grades 9-12 2021-2022,3,0.009036962761973091,1.0,-0.0009852216748768461,-0.006896551724137922,0.0
% Hispanic Students 2020-2021,3,0.009826291122023918,1.0,-0.0039408866995073845,-0.015763546798029538,0.0
% Hispanic Students 2021-2022,3,0.009388237813608055,1.0,-0.008866995073891614,-0.005911330049261076,0.0
% Grades 9-12 2020-2021,3,0.008836428278191644,1.0,-0.0039408866995073845,-0.006896551724137922,0.0
% Grades 1-8 2020-2021,3,0.009071782703219448,1.0,-0.011822660098522153,-0.007881773399014769,0.0
% HH 1 Male 10,3,0.0065362904964224216,1.0,-0.006896551724137922,0.0049261083743842304,0.0
% Grades 1-8 2018-2019,3,0.008095527589550547,1.0,0.006896551724137922,-0.0039408866995073845,0.0
% Students Tested Reading - Grade 3 2021-2022,3,0.009312914446514196,1.0,-0.0019704433497536923,0.0019704433497536923,0.0
% Black Pop 10,3,0.006079589518870332,0.0,0.002955665024630538,0.012807881773399,0.0
% County Infected 10/30/2022,3,0.006495424784261475,0.0,-0.005911330049261076,0.0,0.0
% County Deaths 01/29/2022,3,0.005458013240428399,0.0,0.002955665024630538,-0.009852216748768461,1.0
% County Deaths 09/28/20,3,0.007565189080186419,0.0,-0.005911330049261076,-0.012807881773399,0.0
% County Infected 01/29/2022,3,0.005967726673176916,0.0,0.005911330049261076,-0.028571428571428536,0.0
42-Rural: Distant,2,0.0006866698471515261,0.0,0.0,-0.006896551724137922,0.0
% Age 25-34 Pop 10,2,0.005411404050064713,0.0,0.0039408866995073845,-0.008866995073891614,0.0
% County Deaths 10/30/20,2,0.007139946126875642,0.0,0.009852216748768461,-0.0019704433497536923,0.0
Per Capita Income,2,0.006285470226641369,0.0,-0.0019704433497536923,-0.0049261083743842304,0.0
% Age 10-14 Pop 10,2,0.006064300109067323,0.0,0.0039408866995073845,-0.02068965517241377,0.0
% County Infected 01/29/21,2,0.006664763856350815,0.0,-0.008866995073891614,0.0009852216748768461,0.0
% Black or African American Students 2018-2019,2,0.006150497712895701,0.0,-0.0009852216748768461,-0.002955665024630538,0.0
% Grades 1-8 2021-2022,2,0.007280800822052098,0.0,0.0009852216748768461,-0.006896551724137922,0.0
% County Infected 07/29/2022,2,0.006153554049309171,0.0,-0.0009852216748768461,0.0,0.0
Median Age 10,2,0.004145499776278434,0.0,-0.007881773399014769,-0.0019704433497536923,0.0
% Free or Reduced Lunch 2018-2019,2,0.00927038420739725,1.0,-0.002955665024630538,-0.017733990147783228,0.0
% Age 20-24 Pop 10,2,0.004463121336020902,0.0,0.0019704433497536923,-0.019704433497536922,0.0
32-Town: Distant,2,0.0013594240222682065,0.0,0.0,-0.008866995073891614,0.0
% HH Female-Child 10,2,0.006110627898074606,0.0,0.007881773399014769,0.03448275862068961,0.0
% Housing Renter Occup 10,2,0.0058331003377718035,0.0,0.007881773399014769,-0.019704433497536922,0.0
% County Deaths 07/28/2021,2,0.005250357449178215,1.0,0.0,-0.019704433497536922,0.0
% School-wide Title I 2021-2022,2,0.003997199849912037,0.0,0.008866995073891614,-0.018719211822660075,0.0
% Prek 2021-2022,2,0.009510019188694879,0.0,-0.002955665024630538,-0.010837438423645308,0.0
% Prek 2020-2021,2,0.007973660411658753,1.0,-0.006896551724137922,-0.0009852216748768461,0.0
% K 2021-2022,2,0.009784932179252404,1.0,-0.010837438423645308,-0.0009852216748768461,0.0
% Age 5-9 Pop 10,2,0.006458262822132106,0.0,-0.007881773399014769,-0.014778325123152691,0.0
% White Pop 10,2,0.0058546603564070265,0.0,0.0019704433497536923,-0.002955665024630538,0.0
% County Deaths 01/29/21,2,0.006440372432399518,0.0,-0.0039408866995073845,-0.019704433497536922,0.0
% Age 35-44 Pop 10,2,0.006629143523281276,0.0,0.0,-0.005911330049261076,0.0
% Housing Owner Occup 10,2,0.00692816490918198,1.0,-0.0039408866995073845,-0.013793103448275845,0.0
% of Population in Poverty,2,0.005494125952012033,0.0,-0.0009852216748768461,0.009852216748768461,0.0
13-City: Small,2,0.00018194763338586447,0.0,0.0,-0.0039408866995073845,0.0
% Age 45-54 Pop 10,1,0.006223174981412116,0.0,-0.002955665024630538,0.015763546798029538,0.0
% Title I Eligible School 2021-2022,1,0.0031406436936152887,0.0,-0.0039408866995073845,0.0009852216748768461,0.0
% HH Male-Child 10,1,0.005195852311795362,0.0,0.0,-0.011822660098522153,0.0
% Housing Vacant 10,1,0.005104879551895327,0.0,0.005911330049261076,-0.013793103448275845,0.0
% Female Pop 10,1,0.005587341669051518,0.0,0.005911330049261076,-0.0049261083743842304,0.0
% Age 65-74 Pop 10,1,0.006025558378153881,0.0,0.0,-0.011822660098522153,0.0
% Age 75-84 Pop 10,1,0.006245280134947787,0.0,-0.005911330049261076,-0.017733990147783228,0.0
% Male Pop 10,1,0.005312738999385519,0.0,0.002955665024630538,-0.0049261083743842304,0.0
Avg Household Size 10,1,0.008657975775845277,0.0,-0.0049261083743842304,-0.012807881773399,0.0
% HH Married-noChild 10,1,0.006924452682136711,0.0,0.005911330049261076,-0.012807881773399,0.0
% HH Married-Child 10,1,0.006067324860262927,0.0,-0.0009852216748768461,-0.009852216748768461,0.0
% Free or Reduced Lunch 2021-2022,1,0.009845119501681376,0.0,-0.005911330049261076,-0.0009852216748768461,0.0
