feature,Feature Importance,counts,RF Feature Importance,RFE RF Score,RF Permutation Importance,Ridge Permutation Importance,RFE Ridge Score,RF Feature Importance Normalized,RF Permutation Importance Normalized,Ridge Permutation Importance Normalized,RFE RF Score Normalized,RFE Ridge Score Normalized
% On Campus 10/30/20,0.45394664185578243,7,0.03841962691075089,1.0,-0.012807881773399,0.03645320197044331,1.0,0.0667135313668556,0.17567567567567807,0.07822410147991544,0.022222222222222223,0.1111111111111111
% Students Tested Math - Grade 5 2020-2021,0.31450418478266684,5,0.011672668113695193,1.0,-0.016748768472906385,0.019704433497536922,0.0,0.02026893473346016,0.22972972972973288,0.042283298097251586,0.022222222222222223,0.0
% Students Tested Math - Grade 4 2020-2021,0.3002294317230375,4,0.013932577996499116,1.0,-0.017733990147783228,0.0049261083743842304,0.0,0.024193141733255822,0.24324324324324656,0.010570824524312896,0.022222222222222223,0.0
Total Students 2018-2019,0.26953118229372486,6,0.010566099574790115,1.0,-0.006896551724137922,0.010837438423645308,1.0,0.0183474404123073,0.09459459459459588,0.023255813953488375,0.022222222222222223,0.1111111111111111
% On Campus 09/28/20,0.22123154151685614,7,0.02774992524729862,1.0,-0.00197044334975367,0.005911330049261076,1.0,0.048186191727320235,0.027027027027027094,0.012684989429175475,0.022222222222222223,0.1111111111111111
% On Campus 01/29/21,0.2159374948688082,5,0.02764806262562223,1.0,-0.009852216748768461,0.0049261083743842304,0.0,0.0480093129871361,0.13513513513513697,0.010570824524312896,0.022222222222222223,0.0
% Grades 1-8 2021-2022,0.2099435724038485,5,0.009108780591325341,1.0,-0.010837438423645308,0.010837438423645308,0.0,0.015816887579487217,0.14864864864865068,0.023255813953488375,0.022222222222222223,0.0
Median Household Income,0.20775171210304136,6,0.006842875204141658,1.0,-0.007881773399014769,0.03054187192118223,0.0,0.011882269721969577,0.10810810810810959,0.06553911205073996,0.022222222222222223,0.0
% Housing Owner Occup 10,0.20584823990954337,5,0.005532795802460978,1.0,-0.010837438423645308,0.011822660098522153,0.0,0.009607390180319513,0.14864864864865068,0.02536997885835095,0.022222222222222223,0.0
% Black or African American Students 2020-2021,0.20343770495323216,5,0.008025684967295768,1.0,-0.003940886699507362,0.0009852216748768461,1.0,0.013936152660981764,0.05405405405405449,0.0021141649048625794,0.022222222222222223,0.1111111111111111
% Hispanic Students 2018-2019,0.19726625258069905,6,0.012731039781644391,1.0,-0.0019704433497536923,0.006896551724137901,1.0,0.022106737886300305,0.027027027027027396,0.01479915433403801,0.022222222222222223,0.1111111111111111
CRRSA ESSER II 21 NORM,0.19486327264204262,4,0.006656973276317606,0.0,-0.011822660098522153,0.009852216748768461,0.0,0.01155946143125246,0.16216216216216436,0.021141649048625793,0.0,0.0
CARES ESSER I 20 NORM,0.19051114310727443,6,0.008135189761619152,1.0,-0.009852216748768461,0.008866995073891614,0.0,0.014126301606152024,0.13513513513513697,0.019027484143763214,0.022222222222222223,0.0
% White Students 2021-2022,0.18832933631938412,5,0.022194669139043624,1.0,-0.00197044334975367,-0.0049261083743842304,1.0,0.03853980048333659,0.027027027027027094,-0.010570824524312896,0.022222222222222223,0.1111111111111111
% Students Tested Math - Grade 8 2018-2019,0.18280572500718487,5,0.008304573156610408,1.0,-0.007881773399014769,0.017733990147783228,0.0,0.014420426389326623,0.10810810810810959,0.03805496828752643,0.022222222222222223,0.0
% White Students 2018-2019,0.16965014643462434,5,0.02068595934157785,1.0,-0.006896551724137922,0.007881773399014769,0.0,0.03592001037890561,0.09459459459459588,0.016913319238900635,0.022222222222222223,0.0
% Students Tested Math - Grade 5 2018-2019,0.1570169935993115,5,0.00806341793081211,1.0,-0.007881773399014769,0.005911330049261076,0.0,0.014001673839804234,0.10810810810810959,0.012684989429175475,0.022222222222222223,0.0
Total Teachers 2020-2021,0.12849238794288922,5,0.013979633607308304,1.0,-0.0019704433497536923,0.025615763546798,0.0,0.02427485116721253,0.027027027027027396,0.054968287526427066,0.022222222222222223,0.0
% Black or African American Students 2018-2019,0.11776187113900739,8,0.007074278687721548,1.0,0.002955665024630605,0.005911330049261076,1.0,0.012284088917040593,-0.04054054054054201,0.012684989429175475,0.022222222222222223,0.1111111111111111
% Hispanic Students 2021-2022,0.11017164565100468,5,0.017084938666582887,1.0,-0.0039408866995073845,0.0019704433497536923,0.0,0.0296670395650025,0.05405405405405479,0.004228329809725159,0.022222222222222223,0.0
% Asian or Asian/Pacific Islander Students 2018-2019,0.10622591695906902,6,0.0066636230267806025,0.0,0.0019704433497537144,0.0049261083743842304,1.0,0.01157100835067272,-0.0270270270270277,0.010570824524312896,0.0,0.1111111111111111
% Students Tested Math - Grade 3 2021-2022,0.09626659955974212,4,0.01029469316691915,1.0,-0.003940886699507362,0.0009852216748768461,0.0,0.01787615837860284,0.05405405405405449,0.0021141649048625794,0.022222222222222223,0.0
% Students Tested Math - Grade 6 2018-2019,0.0937608270322127,4,0.0073708706234858505,1.0,-0.0019704433497536923,0.014778325123152691,0.0,0.01279910421002438,0.027027027027027396,0.03171247357293869,0.022222222222222223,0.0
% Students Tested Math - Grade 5 2021-2022,0.09348217316658496,4,0.006996507150426193,1.0,-0.0049261083743842304,-0.0039408866995073845,0.0,0.012149042996244563,0.06756756756756849,-0.008456659619450317,0.022222222222222223,0.0
County Population,0.08420372565832525,4,0.007145538896877277,0.0,-0.004926108374384208,0.0019704433497536923,0.0,0.012407828281031895,0.06756756756756818,0.004228329809725159,0.0,0.0
% of Population Under 18 in Poverty,0.08330416405713803,4,0.0045244256529959545,1.0,-0.002955665024630538,0.005911330049261076,0.0,0.00785641186519925,0.04054054054054109,0.012684989429175475,0.022222222222222223,0.0
Avg Family Size 10,0.07444625831194833,4,0.006610306912126145,0.0,-0.0019704433497536923,0.016748768472906385,0.0,0.011478427902257077,0.027027027027027396,0.03594080338266385,0.0,0.0
% Free or Reduced Lunch 2018-2019,0.07181085755353253,5,0.011035082252959533,1.0,-0.0009852216748768461,0.007881773399014769,0.0,0.019161802578895968,0.013513513513513698,0.016913319238900635,0.022222222222222223,0.0
% K 2020-2021,0.06122844405032092,4,0.007375831725191509,1.0,-0.0009852216748768461,0.005911330049261076,0.0,0.012807718885409528,0.013513513513513698,0.012684989429175475,0.022222222222222223,0.0
Median Age 10,0.06075656756521118,4,0.003596658864968631,0.0,-0.0019704433497536923,0.012807881773399,0.0,0.006245396774970254,0.027027027027027396,0.027484143763213533,0.0,0.0
Total Students 2021-2022,0.06071687295848725,7,0.00900440171568859,1.0,0.006896551724137989,0.002955665024630538,1.0,0.015635639505162974,-0.09459459459459679,0.006342494714587738,0.022222222222222223,0.1111111111111111
% Students Tested Math - Grade 4 2018-2019,0.05059010819813263,4,0.008077339795259082,1.0,-0.0019704433497536923,-0.005911330049261076,0.0,0.01402584837805849,0.027027027027027396,-0.012684989429175475,0.022222222222222223,0.0
# of Households 10,0.048204740304711204,6,0.009760973161881724,0.0,-0.00197044334975367,0.0019704433497536923,0.0,0.01694938346795895,0.027027027027027094,0.004228329809725159,0.0,0.0
# of Housing Units 10,0.04476797494623789,5,0.007781775836435561,0.0,-0.0019704433497536923,0.0019704433497536923,0.0,0.013512618109485338,0.027027027027027396,0.004228329809725159,0.0,0.0
Average Annual Pay,0.042362137208415085,4,0.004915504696102659,0.0,0.0,0.015763546798029538,0.0,0.008535498730613818,-0.0,0.03382663847780127,0.0,0.0
% Students Tested Math - Grade 3 2020-2021,0.0420424193551512,7,0.013586047086113068,1.0,0.0019704433497536923,0.010837438423645308,0.0,0.023591410206468,-0.027027027027027396,0.023255813953488375,0.022222222222222223,0.0
Total Staff 2020-2021,0.027465324325231095,5,0.01027524178577493,1.0,0.004926108374384275,0.025615763546798,0.0,0.0178423821441509,-0.0675675675675691,0.054968287526427066,0.022222222222222223,0.0
Median Age Male 10,0.02665692364173003,4,0.005134101773631727,0.0,-0.0009852216748768461,0.0019704433497536923,0.0,0.008915080318491173,0.013513513513513698,0.004228329809725159,0.0,0.0
Total Teachers 2018-2019,0.0259137264719444,5,0.010862467044130986,1.0,0.0029556650246305603,0.011822660098522153,0.0,0.01886206593191262,-0.040540540540541396,0.02536997885835095,0.022222222222222223,0.0
% Asian Pop 10,0.02147850531086779,5,0.006350356777349772,1.0,0.003940886699507429,0.019704433497536922,0.0,0.011027039045449384,-0.0540540540540554,0.042283298097251586,0.022222222222222223,0.0
% Hispanic Students 2020-2021,0.013114345788710851,6,0.013231641351114347,1.0,0.0029556650246305603,0.0039408866995073845,0.0,0.022976004487579707,-0.040540540540541396,0.008456659619450317,0.022222222222222223,0.0
% Prek 2020-2021,0.008478110274534364,5,0.008603769014906061,1.0,0.003940886699507406,0.011822660098522153,0.0,0.014939963248016285,-0.05405405405405509,0.02536997885835095,0.022222222222222223,0.0
31-Town: Fringe,0.004930132284817625,4,0.0004041607258027678,0.0,0.0,0.0019704433497536923,0.0,0.0007018024750924655,-0.0,0.004228329809725159,0.0,0.0
% Black or African American Students 2021-2022,0.0038361943135221017,7,0.009105976203634002,1.0,0.002955665024630538,0.002955665024630538,0.0,0.015812017917253233,-0.04054054054054109,0.006342494714587738,0.022222222222222223,0.0
% School-wide Title I 2018-2019,0.0025083876659920956,4,0.003353107810651405,0.0,0.003940886699507406,0.023645320197044305,0.0,0.0058224840033452826,-0.05405405405405509,0.0507399577167019,0.0,0.0
% County Infected 07/29/2022,-0.0065002000358868745,5,0.00398953494222913,0.0,0.005911330049261121,0.031527093596059076,0.0,0.006927604089593373,-0.08108108108108279,0.06765327695560254,0.0,0.0
% Prek 2018-2019,-0.009036647134040069,5,0.007780268666925615,1.0,0.002955665024630538,-0.0019704433497536923,0.0,0.013510000994003958,-0.04054054054054109,-0.004228329809725159,0.022222222222222223,0.0
ARP ESSER III 21 NORM,-0.013876511429972403,4,0.0059473180551186675,1.0,0.004926108374384253,0.009852216748768461,0.0,0.010327184866748391,-0.0675675675675688,0.021141649048625793,0.022222222222222223,0.0
% K 2021-2022,-0.01933011011250387,4,0.009157523806940508,1.0,0.0029556650246305603,-0.007881773399014769,0.0,0.015901527444715943,-0.040540540540541396,-0.016913319238900635,0.022222222222222223,0.0
Per Capita Income,-0.020477855268839672,4,0.005321111165273281,1.0,0.003940886699507406,0.0009852216748768461,0.0,0.00923981165813061,-0.05405405405405509,0.0021141649048625794,0.022222222222222223,0.0
% Students Tested Math - Grade 3 2018-2019,-0.02173969070613004,5,0.008724148232114102,1.0,0.004926108374384253,0.0039408866995073845,0.0,0.01514899501976623,-0.0675675675675688,0.008456659619450317,0.022222222222222223,0.0
% Students Tested Math - Grade 6 2021-2022,-0.0294532729721696,5,0.008888829969085063,1.0,0.006896551724137989,0.012807881773399,0.0,0.015434955636991437,-0.09459459459459679,0.027484143763213533,0.022222222222222223,0.0
% Students Tested Math - Grade 7 2021-2022,-0.029561424926769286,6,0.009089795147195729,1.0,0.004926108374384275,0.0,0.0,0.01578392041857759,-0.0675675675675691,0.0,0.022222222222222223,0.0
% Grades 1-8 2020-2021,-0.03335182383468159,5,0.008864856607156534,1.0,0.003940886699507406,-0.007881773399014769,0.0,0.015393327236051907,-0.05405405405405509,-0.016913319238900635,0.022222222222222223,0.0
% Prek 2021-2022,-0.03515853538066685,4,0.007084003131651887,1.0,0.004926108374384297,-0.0009852216748768461,0.0,0.012300974869542914,-0.0675675675675694,-0.0021141649048625794,0.022222222222222223,0.0
% Title I Eligible School 2021-2022,-0.0563968142473478,4,0.002780543773601274,0.0,0.004926108374384275,0.002955665024630538,0.0,0.004828258605633558,-0.0675675675675691,0.006342494714587738,0.0,0.0
Total Students 2020-2021,-0.10232731226564237,5,0.015095954016759061,1.0,0.010837438423645396,-0.0009852216748768461,0.0,0.026213279065649887,-0.1486486486486519,-0.0021141649048625794,0.022222222222222223,0.0
% HH Female-Child 10,-0.1105717194818839,5,0.006695509332090311,1.0,0.010837438423645374,0.0019704433497536923,0.0,0.011626377134820311,-0.1486486486486516,0.004228329809725159,0.022222222222222223,0.0
