feature,Feature Importance,counts,RF Feature Importance,RFE RF Score,RF Permutation Importance,Ridge Permutation Importance,RFE Ridge Score,RF Feature Importance Normalized,RF Permutation Importance Normalized,Ridge Permutation Importance Normalized,RFE RF Score Normalized,RFE Ridge Score Normalized
% Black or African American Students 2021-2022,0.21236707610645736,7,0.0089272914662369,1.0,0.013793103448275845,-0.006896551724137922,1.0,0.015406564279185384,0.06763285024154587,0.03225806451612904,0.02564102564102564,0.07142857142857142
ARP ESSER III 21 NORM,0.21194712353695472,6,0.009199944119317282,1.0,0.009852216748768461,-0.010837438423645308,1.0,0.01587710348376498,0.04830917874396134,0.050691244239631346,0.02564102564102564,0.07142857142857142
% Prek 2021-2022,0.18869582219075387,4,0.009639503025758592,1.0,0.015763546798029538,-0.014778325123152691,0.0,0.016635686596256444,0.07729468599033815,0.06912442396313365,0.02564102564102564,0.0
% Black or African American Students 2018-2019,0.18492725270049676,7,0.007539664623988583,1.0,0.0049261083743842304,-0.010837438423645308,1.0,0.01301182201928767,0.02415458937198067,0.050691244239631346,0.02564102564102564,0.07142857142857142
% Grades 9-12 2018-2019,0.18059275986968049,5,0.007827316755565012,1.0,0.0039408866995073845,-0.010837438423645308,1.0,0.01350824706286755,0.019323671497584537,0.050691244239631346,0.02564102564102564,0.07142857142857142
% Students Tested Math - Grade 7 2020-2021,0.1795465267566137,4,0.01592201212792609,1.0,0.008866995073891614,-0.017733990147783228,0.0,0.027477931490262494,0.0434782608695652,0.08294930875576037,0.02564102564102564,0.0
Total Students 2021-2022,0.17360573021532888,6,0.011660494928793032,1.0,0.0049261083743842304,-0.006896551724137922,1.0,0.0201234792576221,0.02415458937198067,0.03225806451612904,0.02564102564102564,0.07142857142857142
% Students Tested Math - Grade 4 2021-2022,0.16312036530700275,4,0.008300192219398119,1.0,0.014778325123152691,-0.010837438423645308,0.0,0.014324327310403744,0.07246376811594202,0.050691244239631346,0.02564102564102564,0.0
Total Students 2018-2019,0.15677435203150003,7,0.012072661423875431,1.0,0.008866995073891614,0.0009852216748768461,1.0,0.020834789023213326,0.0434782608695652,-0.004608294930875577,0.02564102564102564,0.07142857142857142
% On Campus 09/28/20,0.15221200361431264,7,0.026353592156466005,1.0,0.0019704433497536923,0.0,1.0,0.045480570795923304,0.009661835748792268,-0.0,0.02564102564102564,0.07142857142857142
% White Students 2020-2021,0.1354068663888352,5,0.01855087524922141,1.0,-0.012807881773399,-0.014778325123152691,1.0,0.03201477772325424,-0.06280193236714975,0.06912442396313365,0.02564102564102564,0.07142857142857142
% Students Tested Math - Grade 4 2018-2019,0.13333184804362166,4,0.008350883283886036,1.0,0.0049261083743842304,-0.014778325123152691,0.0,0.014411809067481698,0.02415458937198067,0.06912442396313365,0.02564102564102564,0.0
% White Students 2021-2022,0.13330018794825071,5,0.02025842658101796,1.0,-0.014778325123152691,-0.015763546798029538,1.0,0.03496164010058642,-0.07246376811594202,0.07373271889400923,0.02564102564102564,0.07142857142857142
% Hispanic Students 2018-2019,0.13222506536684886,6,0.00994768081389833,1.0,-0.0019704433497536923,-0.005911330049261076,1.0,0.017167534460790595,-0.009661835748792268,0.02764976958525346,0.02564102564102564,0.07142857142857142
% Black or African American Students 2020-2021,0.12639474536695103,5,0.008897736360199134,1.0,0.010837438423645308,-0.006896551724137922,0.0,0.015355558591438872,0.05314009661835748,0.03225806451612904,0.02564102564102564,0.0
% On Campus 01/29/21,0.12617434166726307,6,0.03607250466038429,1.0,-0.0039408866995073845,0.002955665024630538,1.0,0.062253300887877276,-0.019323671497584537,-0.01382488479262673,0.02564102564102564,0.07142857142857142
# of Households 10,0.11985186344353374,6,0.010189012591085735,1.0,0.012807881773399,-0.002955665024630538,0.0,0.017584020642731634,0.06280193236714975,0.01382488479262673,0.02564102564102564,0.0
Total Students 2020-2021,0.10821218331344645,5,0.011842218210843488,1.0,0.009852216748768461,-0.002955665024630538,0.0,0.020437094135832754,0.04830917874396134,0.01382488479262673,0.02564102564102564,0.0
% Prek 2018-2019,0.10582581174134792,4,0.009079160414765626,1.0,0.0,-0.013793103448275845,0.0,0.015668657068064203,0.0,0.06451612903225808,0.02564102564102564,0.0
CARES ESSER I 20 NORM,0.10364774569345643,5,0.008504249790162847,0.0,-0.0039408866995073845,-0.007881773399014769,1.0,0.01467648631546493,-0.019323671497584537,0.036866359447004615,0.0,0.07142857142857142
Total Teachers 2018-2019,0.10103323993256488,4,0.00806939389934965,1.0,0.006896551724137922,-0.005911330049261076,0.0,0.013926019585512846,0.03381642512077294,0.02764976958525346,0.02564102564102564,0.0
# of Housing Units 10,0.10091558500343961,5,0.008475535732790366,0.0,0.014778325123152691,-0.002955665024630538,0.0,0.014626932094870872,0.07246376811594202,0.01382488479262673,0.0,0.0
% Students Tested Math - Grade 8 2020-2021,0.09858082338322421,5,0.010092601250200164,1.0,0.0009852216748768461,-0.010837438423645308,0.0,0.017417635628171092,0.004830917874396134,0.050691244239631346,0.02564102564102564,0.0
% Asian or Asian/Pacific Islander Students 2021-2022,0.09773101254441621,5,0.006714092810944729,0.0,0.0039408866995073845,0.0009852216748768461,1.0,0.011587064549135835,0.019323671497584537,-0.004608294930875577,0.0,0.07142857142857142
County Population,0.09535947948114798,4,0.008055327736824363,0.0,0.013793103448275845,-0.002955665024630538,0.0,0.013901744446975374,0.06763285024154587,0.01382488479262673,0.0,0.0
% ADA 2021-2022,0.0868897814228182,4,0.0072368290750699435,0.0,0.002955665024630538,-0.012807881773399,0.0,0.0124891936982473,0.014492753623188403,0.0599078341013825,0.0,0.0
% Students Tested Math - Grade 6 2021-2022,0.08470090452975179,5,0.009415720640600063,1.0,0.005911330049261076,-0.002955665024630538,0.0,0.01624948684972262,0.028985507246376805,0.01382488479262673,0.02564102564102564,0.0
% K 2020-2021,0.08271017898276362,4,0.008133201921107102,1.0,0.006896551724137922,-0.0019704433497536923,0.0,0.014036138359213895,0.03381642512077294,0.009216589861751154,0.02564102564102564,0.0
% Grades 9-12 2021-2022,0.08176018075633265,4,0.007969722815546794,1.0,0.0039408866995073845,-0.0049261083743842304,0.0,0.01375400896334459,0.019323671497584537,0.023041474654377885,0.02564102564102564,0.0
Average Annual Pay,0.07625756190559252,4,0.0055135585659080695,0.0,0.009852216748768461,-0.0039408866995073845,0.0,0.009515203438128868,0.04830917874396134,0.018433179723502308,0.0,0.0
# of Families 10,0.07448259965336278,4,0.006294014000711261,1.0,0.0049261083743842304,-0.002955665024630538,0.0,0.010862099847729735,0.02415458937198067,0.01382488479262673,0.02564102564102564,0.0
% Students Tested Math - Grade 3 2020-2021,0.06787985947049062,7,0.012762135019483223,1.0,0.007881773399014769,0.0039408866995073845,0.0,0.022024670557798214,0.03864734299516907,-0.018433179723502308,0.02564102564102564,0.0
% Hispanic Students 2020-2021,0.06662144684084556,4,0.010523671687874655,1.0,-0.0009852216748768461,-0.005911330049261076,0.0,0.01816156948896259,-0.004830917874396134,0.02764976958525346,0.02564102564102564,0.0
% Age 10-14 Pop 10,0.06611731648772509,5,0.006529304824149573,1.0,0.006896551724137922,0.0009852216748768461,0.0,0.011268160656802082,0.03381642512077294,-0.004608294930875577,0.02564102564102564,0.0
