feature,counts,RF Feature Importance,RFE RF Score,RF Permutation Importance,Ridge Permutation Importance,RFE Ridge Score
% On Campus 10/30/20,7,0.025704745715833626,1.0,-0.005911330049261076,0.019704433497536922,1.0
Total Students 2018-2019,7,0.012072661423875431,1.0,0.008866995073891614,0.0009852216748768461,1.0
% Students Tested Math - Grade 3 2020-2021,7,0.012762135019483223,1.0,0.007881773399014769,0.0039408866995073845,0.0
% Black or African American Students 2021-2022,7,0.0089272914662369,1.0,0.013793103448275845,-0.006896551724137922,1.0
% Black or African American Students 2018-2019,7,0.007539664623988583,1.0,0.0049261083743842304,-0.010837438423645308,1.0
% On Campus 09/28/20,7,0.026353592156466005,1.0,0.0019704433497536923,0.0,1.0
% Free or Reduced Lunch 2018-2019,7,0.010491595337990371,1.0,0.0019704433497536923,0.002955665024630538,0.0
Total Teachers 2020-2021,6,0.014045817581257806,1.0,0.014778325123152714,0.016748768472906395,0.0
# of Households 10,6,0.010189012591085735,1.0,0.012807881773399,-0.002955665024630538,0.0
% On Campus 01/29/21,6,0.03607250466038429,1.0,-0.0039408866995073845,0.002955665024630538,1.0
ARP ESSER III 21 NORM,6,0.009199944119317282,1.0,0.009852216748768461,-0.010837438423645308,1.0
Total Students 2021-2022,6,0.011660494928793032,1.0,0.0049261083743842304,-0.006896551724137922,1.0
% Students Tested Math - Grade 3 2018-2019,6,0.007906069329119188,1.0,0.0009852216748768461,0.002955665024630538,0.0
% Hispanic Students 2018-2019,6,0.00994768081389833,1.0,-0.0019704433497536923,-0.005911330049261076,1.0
% Students Tested Math - Grade 5 2018-2019,5,0.009578671396857629,0.0,0.002955665024630538,-0.0049261083743842304,0.0
% Students Tested Math - Grade 6 2021-2022,5,0.009415720640600063,1.0,0.005911330049261076,-0.002955665024630538,0.0
% County Infected 07/29/2022,5,0.004952874162619592,0.0,0.0049261083743842304,0.0039408866995073845,0.0
% Grades 9-12 2018-2019,5,0.007827316755565012,1.0,0.0039408866995073845,-0.010837438423645308,1.0
% Students Tested Math - Grade 8 2020-2021,5,0.010092601250200164,1.0,0.0009852216748768461,-0.010837438423645308,0.0
# of Housing Units 10,5,0.008475535732790366,0.0,0.014778325123152691,-0.002955665024630538,0.0
% White Students 2021-2022,5,0.02025842658101796,1.0,-0.014778325123152691,-0.015763546798029538,1.0
% of Population Under 18 in Poverty,5,0.004165575838236829,0.0,0.0009852216748768461,-0.010837438423645308,0.0
Total Students 2020-2021,5,0.011842218210843488,1.0,0.009852216748768461,-0.002955665024630538,0.0
% Age 10-14 Pop 10,5,0.006529304824149573,1.0,0.006896551724137922,0.0009852216748768461,0.0
% Black or African American Students 2020-2021,5,0.008897736360199134,1.0,0.010837438423645308,-0.006896551724137922,0.0
% Asian or Asian/Pacific Islander Students 2021-2022,5,0.006714092810944729,0.0,0.0039408866995073845,0.0009852216748768461,1.0
% HH Married-Child 10,5,0.006007586324982618,0.0,0.002955665024630538,0.012807881773399,0.0
Avg Family Size 10,5,0.006741775011985689,0.0,0.0009852216748768461,0.0019704433497536923,0.0
CARES ESSER I 20 NORM,5,0.008504249790162847,0.0,-0.0039408866995073845,-0.007881773399014769,1.0
Total Staff 2020-2021,5,0.009314736680878942,1.0,0.015763546798029538,0.017733990147783228,0.0
% White Students 2020-2021,5,0.01855087524922141,1.0,-0.012807881773399,-0.014778325123152691,1.0
% Prek 2018-2019,4,0.009079160414765626,1.0,0.0,-0.013793103448275845,0.0
% Students Tested Math - Grade 5 2020-2021,4,0.013202820994245752,1.0,0.0,0.0019704433497536923,0.0
% Students Tested Math - Grade 4 2018-2019,4,0.008350883283886036,1.0,0.0049261083743842304,-0.014778325123152691,0.0
% Students Tested Math - Grade 4 2021-2022,4,0.008300192219398119,1.0,0.014778325123152691,-0.010837438423645308,0.0
% K 2020-2021,4,0.008133201921107102,1.0,0.006896551724137922,-0.0019704433497536923,0.0
# of Families 10,4,0.006294014000711261,1.0,0.0049261083743842304,-0.002955665024630538,0.0
% Students Tested Math - Grade 5 2021-2022,4,0.006869076059131931,1.0,-0.0039408866995073845,-0.008866995073891614,0.0
% Students Tested Math - Grade 6 2020-2021,4,0.009294056926878342,1.0,-0.0049261083743842304,-0.007881773399014769,0.0
% Students Tested Math - Grade 7 2020-2021,4,0.01592201212792609,1.0,0.008866995073891614,-0.017733990147783228,0.0
% Students Tested Math - Grade 7 2021-2022,4,0.00737300450724198,0.0,0.002955665024630538,-0.002955665024630538,0.0
% Students Tested Math - Grade 8 2018-2019,4,0.00520915018908125,0.0,0.009852216748768461,0.006896551724137922,0.0
% White Students 2018-2019,4,0.027663028576941175,1.0,-0.005911330049261076,-0.002955665024630538,0.0
% Hispanic Students 2021-2022,4,0.010359679440087336,1.0,-0.0039408866995073845,-0.0009852216748768461,0.0
33-Town: Remote,4,0.0003638989999349035,0.0,0.0009852216748768461,-0.0039408866995073845,0.0
41-Rural: Fringe,4,0.00043677312035633135,0.0,-0.0009852216748768461,0.005911330049261076,0.0
42-Rural: Distant,4,0.0010733311093386111,0.0,-0.007881773399014769,-0.013793103448275845,0.0
43-Rural: Remote,4,0.0004582098421839869,0.0,0.0009852216748768461,-0.009852216748768461,0.0
Average Annual Pay,4,0.0055135585659080695,0.0,0.009852216748768461,-0.0039408866995073845,0.0
CRRSA ESSER II 21 NORM,4,0.008050418882254209,0.0,-0.002955665024630538,-0.010837438423645308,0.0
County Population,4,0.008055327736824363,0.0,0.013793103448275845,-0.002955665024630538,0.0
Total Teachers 2018-2019,4,0.00806939389934965,1.0,0.006896551724137922,-0.005911330049261076,0.0
% Housing Owner Occup 10,4,0.005487176721248889,0.0,0.006896551724137922,0.002955665024630538,0.0
% Prek 2021-2022,4,0.009639503025758592,1.0,0.015763546798029538,-0.014778325123152691,0.0
% Hispanic Students 2020-2021,4,0.010523671687874655,1.0,-0.0009852216748768461,-0.005911330049261076,0.0
% Grades 9-12 2021-2022,4,0.007969722815546794,1.0,0.0039408866995073845,-0.0049261083743842304,0.0
% ADA 2020-2021,4,0.009776657029350874,1.0,-0.0049261083743842304,-0.008866995073891614,0.0
% ADA 2021-2022,4,0.0072368290750699435,0.0,0.002955665024630538,-0.012807881773399,0.0
% Age 35-44 Pop 10,4,0.005231758999592887,1.0,0.002955665024630538,-0.006896551724137922,0.0
% Asian or Asian/Pacific Islander Students 2018-2019,4,0.0052243187133726565,0.0,0.002955665024630538,-0.008866995073891614,1.0
% Free or Reduced Lunch 2020-2021,4,0.014068271690298905,1.0,-0.006896551724137922,-0.009852216748768461,0.0
% Grades 1-8 2021-2022,4,0.009505674612449068,1.0,0.007881773399014769,0.002955665024630538,0.0
% Grades 9-12 2020-2021,4,0.008474094655226729,0.0,0.0049261083743842304,-0.007881773399014769,1.0
Total Teachers 2021-2022,4,0.0112303739318157,1.0,0.014778325123152691,-0.012807881773399,0.0
% HH Female-Child 10,4,0.005765451334483415,1.0,0.0039408866995073845,-0.012807881773399,0.0
