feature,Feature Importance,counts,RF Feature Importance,RFE RF Score,RF Permutation Importance,Ridge Permutation Importance,RFE Ridge Score,RF Feature Importance Normalized,RF Permutation Importance Normalized,Ridge Permutation Importance Normalized,RFE RF Score Normalized,RFE Ridge Score Normalized
% Asian or Asian/Pacific Islander Students 2018-2019,0.2974214381814105,6,0.010562666604192042,1.0,0.006896551724137922,-0.009852216748768461,1.0,0.018779879318332596,0.014767932489451479,0.044642857142857144,0.019230769230769232,0.2
% Asian or Asian/Pacific Islander Students 2021-2022,0.27985324039449594,6,0.007165398242958805,1.0,0.009852216748768461,-0.005911330049261076,1.0,0.012739710464510294,0.021097046413502112,0.026785714285714288,0.019230769230769232,0.2
% White Students 2018-2019,0.2764082769407627,5,0.014084875046585987,1.0,0.010837438423645308,-0.0019704433497536923,1.0,0.025042185226569695,0.023206751054852325,0.00892857142857143,0.019230769230769232,0.2
# of Housing Units 10,0.24816367127742914,7,0.008877349720665022,0.0,0.008866995073891614,-0.002955665024630538,1.0,0.015783472362420083,0.0189873417721519,0.013392857142857144,0.0,0.2
% On Campus 10/30/20,0.23127191625933363,8,0.018415955359131528,1.0,0.0049261083743842304,0.006896551724137922,1.0,0.03274262382181333,0.010548523206751056,-0.03125,0.019230769230769232,0.2
Average Annual Pay,0.17986105258656826,7,0.009085295179848806,1.0,0.0049261083743842304,-0.029556650246305383,0.0,0.016153188720476566,0.010548523206751056,0.13392857142857142,0.019230769230769232,0.0
% Free or Reduced Lunch 2018-2019,0.15881007316769724,4,0.009799854129274213,1.0,0.0049261083743842304,-0.024630541871921152,0.0,0.017423637873034113,0.010548523206751056,0.11160714285714286,0.019230769230769232,0.0
% of Population Under 18 in Poverty,0.15536811288606728,5,0.005076743811440735,0.0,0.007881773399014769,-0.028571428571428536,0.0,0.009026190040979869,0.01687763713080169,0.12946428571428573,0.0,0.0
% Students Tested Reading - Grade 6 2018-2019,0.15140339281235837,6,0.0100201597877218,1.0,0.013793103448275845,-0.018719211822660075,0.0,0.017815330031257633,0.029535864978902957,0.08482142857142858,0.019230769230769232,0.0
Total Staff 2020-2021,0.13606230834127195,4,0.008511198011392499,1.0,0.007881773399014769,-0.018719211822660075,0.0,0.015132473408272448,0.01687763713080169,0.08482142857142858,0.019230769230769232,0.0
