feature,counts,RF Feature Importance,RFE RF Score,RF Permutation Importance,Ridge Permutation Importance,RFE Ridge Score
% On Campus 10/30/20,8,0.018415955359131528,1.0,0.0049261083743842304,0.006896551724137922,1.0
# of Housing Units 10,7,0.008877349720665022,0.0,0.008866995073891614,-0.002955665024630538,1.0
Per Capita Income,7,0.0070174354733088685,1.0,0.007881773399014769,0.0009852216748768461,0.0
% Prek 2018-2019,7,0.00814148926610329,1.0,0.0049261083743842304,0.008866995073891614,0.0
Average Annual Pay,7,0.009085295179848806,1.0,0.0049261083743842304,-0.029556650246305383,0.0
% Students Tested Reading - Grade 7 2021-2022,6,0.008912107962119114,1.0,0.0009852216748768461,-0.007881773399014769,0.0
% Grades 9-12 2018-2019,6,0.00948007641737461,1.0,0.011822660098522153,-0.002955665024630538,0.0
% K 2018-2019,6,0.010050848282366808,1.0,0.02068965517241377,0.0,0.0
% On Campus 01/29/21,6,0.023909056530822658,1.0,0.013793103448275845,0.008866995073891614,0.0
# of Households 10,6,0.006013636911051861,1.0,0.006896551724137922,-0.002955665024630538,0.0
% Students Tested Reading - Grade 6 2018-2019,6,0.0100201597877218,1.0,0.013793103448275845,-0.018719211822660075,0.0
% Students Tested Reading - Grade 6 2021-2022,6,0.009207570837201952,1.0,0.0019704433497536923,-0.0009852216748768461,0.0
% Asian or Asian/Pacific Islander Students 2021-2022,6,0.007165398242958805,1.0,0.009852216748768461,-0.005911330049261076,1.0
% Students Tested Reading - Grade 7 2020-2021,6,0.010548157885982677,1.0,0.014778325123152691,0.002955665024630538,0.0
% Asian or Asian/Pacific Islander Students 2018-2019,6,0.010562666604192042,1.0,0.006896551724137922,-0.009852216748768461,1.0
% Grades 1-8 2020-2021,6,0.009764434221853998,1.0,0.013793103448275845,0.0039408866995073845,0.0
CRRSA ESSER II 21 NORM,6,0.008688610717094807,1.0,0.0039408866995073845,0.002955665024630538,0.0
Total Students 2021-2022,6,0.013794561108518288,1.0,0.012807881773399,-0.002955665024630538,0.0
County Population,6,0.009239527469957492,1.0,0.009852216748768461,-0.006896551724137922,0.0
% Grades 9-12 2020-2021,5,0.009449778537693245,1.0,0.011822660098522153,-0.0039408866995073845,0.0
% Grades 9-12 2021-2022,5,0.007679096082607256,1.0,0.014778325123152691,-0.0019704433497536923,0.0
% Hispanic Students 2021-2022,5,0.011514203169811409,1.0,0.011822660098522153,0.002955665024630538,0.0
Total Students 2020-2021,5,0.014925397341472151,1.0,-0.0009852216748768461,-0.002955665024630538,0.0
% K 2020-2021,5,0.01051733345065194,1.0,0.009852216748768461,-0.002955665024630538,0.0
Total Students 2018-2019,5,0.00931312764463085,1.0,-0.0039408866995073845,-0.0039408866995073845,0.0
% On Campus 09/28/20,5,0.01412195772810204,1.0,0.015763546798029538,0.0039408866995073845,0.0
% Students Tested Reading - Grade 8 2021-2022,5,0.008399359434782004,1.0,0.005911330049261076,0.0,0.0
% Students Tested Reading - Grade 8 2020-2021,5,0.01136496142545643,1.0,-0.0019704433497536923,0.0009852216748768461,0.0
% Students Tested Reading - Grade 4 2021-2022,5,0.00814934063817865,1.0,0.0,-0.005911330049261076,0.0
CARES ESSER I 20 NORM,5,0.007978398119439841,1.0,0.011822660098522153,-0.006896551724137922,0.0
Avg Household Size 10,5,0.007702192656401173,1.0,0.010837438423645308,0.0019704433497536923,0.0
% Students Tested Reading - Grade 7 2018-2019,5,0.011285318394549843,1.0,0.008866995073891614,-0.0019704433497536923,0.0
ARP ESSER III 21 NORM,5,0.009251068578865408,0.0,0.0049261083743842304,0.002955665024630538,0.0
% of Population Under 18 in Poverty,5,0.005076743811440735,0.0,0.007881773399014769,-0.028571428571428536,0.0
% Free or Reduced Lunch 2020-2021,5,0.008795474111227781,1.0,0.008866995073891614,0.0049261083743842304,0.0
% White Students 2018-2019,5,0.014084875046585987,1.0,0.010837438423645308,-0.0019704433497536923,1.0
% Students Tested Reading - Grade 8 2018-2019,5,0.00843924209575222,1.0,0.021674876847290615,-0.0039408866995073845,0.0
% Prek 2021-2022,5,0.007988164515548329,0.0,0.005911330049261076,0.0049261083743842304,0.0
# of Families 10,5,0.0069948684251034425,0.0,0.005911330049261076,-0.002955665024630538,0.0
% ADA 2021-2022,5,0.008933257973104987,1.0,0.008866995073891614,-0.006896551724137922,0.0
