feature,counts,RF Feature Importance,RFE RF Score,RF Permutation Importance,Ridge Permutation Importance,RFE Ridge Score
% Prek 2018-2019,7,0.011808623128457232,1.0,0.006896551724137922,0.009852216748768461,0.0
# of Housing Units 10,7,0.009040972145654256,1.0,0.0049261083743842304,0.0019704433497536923,1.0
Total Students 2020-2021,7,0.013949234142622155,1.0,0.0009852216748768461,0.0019704433497536923,0.0
Median Household Income,7,0.008550693511191568,1.0,0.0019704433497536923,0.0049261083743842304,0.0
% Free or Reduced Lunch 2018-2019,7,0.014212441131832588,1.0,0.008866995073891614,0.002955665024630538,0.0
% On Campus 10/30/20,7,0.03653033811041671,1.0,-0.005911330049261121,0.023645320197044305,1.0
# of Families 10,6,0.008410954925149048,1.0,-0.002955665024630538,0.0019704433497536923,0.0
% County Infected 07/28/2021,6,0.00869056190035539,1.0,0.0009852216748768461,0.008866995073891614,0.0
% Grades 9-12 2018-2019,6,0.010668875636221731,1.0,0.0009852216748768238,0.0039408866995073845,0.0
% Hispanic Students 2018-2019,6,0.014279021515682562,1.0,0.0009852216748768461,-2.2204460492503132e-17,1.0
% Students Tested Math - Grade 7 2020-2021,6,0.015065784042717224,1.0,0.0009852216748768238,0.0049261083743842304,0.0
% Students Tested Math - Grade 4 2020-2021,6,0.017607914192331514,1.0,0.0019704433497536923,0.0019704433497536923,0.0
% Asian or Asian/Pacific Islander Students 2018-2019,6,0.007191156712693992,1.0,0.006896551724137922,0.002955665024630538,1.0
CARES ESSER I 20 NORM,6,0.011394370301505561,1.0,-0.006896551724137989,0.0009852216748768461,1.0
County Population,6,0.008591582766130515,1.0,0.008866995073891614,0.002955665024630538,0.0
Total Students 2018-2019,6,0.015006674804807255,1.0,-0.0019704433497537144,0.0049261083743842304,0.0
% Black or African American Students 2018-2019,6,0.012443780194355063,1.0,-0.008866995073891682,0.0019704433497536923,1.0
% On Campus 09/28/20,6,0.029294794069078804,1.0,-0.007881773399014835,0.021674876847290615,1.0
% Asian Pop 10,6,0.008411381644347975,1.0,0.006896551724137922,0.0039408866995073845,0.0
% White Students 2020-2021,5,0.029548981847503025,1.0,-0.00985221674876855,0.013793103448275845,1.0
% K 2020-2021,5,0.011676634688346522,1.0,-0.004926108374384275,0.0009852216748768461,0.0
% On Campus 01/29/21,5,0.028069821924602605,1.0,-0.006896551724137967,0.007881773399014769,0.0
# of Households 10,5,0.007547088906532759,1.0,-0.0039408866995073845,0.0019704433497536923,0.0
% Students Tested Math - Grade 4 2018-2019,5,0.012688565650941869,1.0,0.0049261083743842304,-0.0019704433497536923,0.0
% Students Tested Math - Grade 5 2018-2019,5,0.01378191740751622,1.0,-0.005911330049261099,0.0019704433497536923,0.0
% Students Tested Math - Grade 6 2020-2021,5,0.017136662778436878,1.0,-0.005911330049261121,-0.0009852216748768461,0.0
% Students Tested Math - Grade 8 2020-2021,5,0.011642598488044522,1.0,-0.010837438423645419,0.006896551724137922,0.0
% White Students 2018-2019,5,0.03130623160375701,1.0,0.005911330049261076,0.0039408866995073845,0.0
32-Town: Distant,5,0.0011136969439730752,0.0,0.0009852216748768461,0.0009852216748768461,0.0
% Hispanic Students 2020-2021,5,0.01689920039751552,1.0,0.0009852216748768238,0.0009852216748768461,0.0
ARP ESSER III 21 NORM,5,0.009149904730346638,1.0,-0.006896551724137967,-0.0019704433497536923,1.0
Average Annual Pay,5,0.005940577936836683,1.0,-0.0029556650246305603,-0.0039408866995073845,0.0
Avg Family Size 10,5,0.0054696155170608374,1.0,0.0009852216748768461,0.002955665024630538,0.0
CRRSA ESSER II 21 NORM,5,0.01176389236151343,1.0,0.00197044334975367,-0.0019704433497536923,0.0
Per Capita Income,5,0.006497190471060562,1.0,-0.004926108374384253,0.0019704433497536923,0.0
Total Staff 2020-2021,5,0.011965213183092935,1.0,-0.006896551724137967,0.0049261083743842304,0.0
% ADA 2018-2019,5,0.012415247442244925,1.0,0.008866995073891614,0.005911330049261076,0.0
Total Teachers 2018-2019,5,0.013625858243676611,1.0,0.0,0.007881773399014769,0.0
% Housing Renter Occup 10,5,0.005925967082474303,1.0,0.002955665024630538,0.0019704433497536923,0.0
Total Teachers 2020-2021,5,0.01699607760189895,1.0,-0.002955665024630538,0.018719211822660075,0.0
% County Infected 01/29/21,5,0.006360601619568511,1.0,0.007881773399014769,0.002955665024630538,0.0
% Black or African American Students 2020-2021,5,0.01185286435335493,1.0,-0.003940886699507429,0.0049261083743842304,1.0
% Free or Reduced Lunch 2020-2021,5,0.015871115612074042,1.0,-0.006896551724137967,-0.0039408866995073845,0.0
% Grades 1-8 2018-2019,5,0.012699831494525983,1.0,0.0039408866995073845,0.005911330049261076,0.0
% HH Female-Child 10,4,0.010492076373987965,1.0,-0.007881773399014835,0.005911330049261076,0.0
% County Infected 09/28/20,4,0.007817996245790106,1.0,-0.006896551724137989,0.0019704433497536923,0.0
% Female Pop 10,4,0.006342511469150479,1.0,-0.003940886699507429,0.0019704433497536923,0.0
% Students Tested Math - Grade 8 2018-2019,4,0.009846580168347857,1.0,-0.002955665024630538,0.008866995073891614,0.0
% Age 65-74 Pop 10,4,0.007580425003655594,1.0,-0.004926108374384253,0.0009852216748768461,0.0
% Students Tested Math - Grade 6 2018-2019,4,0.011121421311258158,1.0,-0.0029556650246305603,0.018719211822660085,0.0
% Students Tested Math - Grade 5 2020-2021,4,0.01691926606296028,1.0,-0.003940886699507429,0.0009852216748768461,0.0
% Students Tested Math - Grade 3 2020-2021,4,0.019642282491092337,1.0,-0.0029556650246305603,-0.0009852216748768461,0.0
% Students Tested Math - Grade 3 2018-2019,4,0.009343460059373839,1.0,-0.0019704433497537144,-0.008866995073891614,0.0
% School-wide Title I 2020-2021,4,0.003268097943748749,0.0,0.0019704433497536923,0.015763546798029538,0.0
12-City: Mid-size,4,0.00016207726781706933,0.0,0.0,0.0009852216748768461,0.0
% School-wide Title I 2018-2019,4,0.0036405955563815116,0.0,0.0009852216748768461,0.03448275862068963,0.0
% County Deaths 01/29/21,4,0.006978189256193744,1.0,-0.00985221674876855,0.0039408866995073845,0.0
% Age 0-4 Pop 10,4,0.0061355900776492245,1.0,0.0009852216748768461,0.0009852216748768461,0.0
% Age 85-Up Pop 10,4,0.006956023377275153,1.0,-0.005911330049261099,0.007881773399014769,0.0
% HH Married-noChild 10,4,0.011455324740590928,1.0,0.0009852216748768461,-0.002955665024630538,0.0
% Hispanic Pop 10,4,0.008686897027368141,1.0,-0.004926108374384253,0.0039408866995073845,0.0
% ADA 2020-2021,4,0.012639569480524629,1.0,0.0019704433497536923,-0.0039408866995073845,0.0
% of Population Under 18 in Poverty,4,0.006337655722085135,1.0,-0.007881773399014835,0.0019704433497536923,0.0
% K 2018-2019,4,0.01084361799589765,1.0,0.0019704433497536923,0.0009852216748768461,0.0
% Age 10-14 Pop 10,4,0.0034841408930560624,1.0,-0.0009852216748768461,0.007881773399014769,0.0
% Grades 1-8 2020-2021,4,0.011733022669708382,1.0,0.008866995073891614,-0.008866995073891614,0.0
33-Town: Remote,3,0.0005577908344451156,0.0,0.0019704433497536923,0.0,0.0
Median Age Female 10,3,0.004591744239200691,0.0,0.0009852216748768461,0.010837438423645308,0.0
42-Rural: Distant,3,0.0023227741009984766,0.0,-0.004926108374384275,-0.0039408866995073845,0.0
% Age 75-84 Pop 10,3,0.006018832750036463,1.0,-0.005911330049261099,0.0019704433497536923,0.0
31-Town: Fringe,3,0.0003684130900268025,0.0,0.0,-0.0049261083743842304,0.0
% County Deaths 07/28/2021,3,0.005862328580377671,1.0,-0.011822660098522241,0.005911330049261076,0.0
Avg Household Size 10,3,0.006599434153818568,0.0,-0.003940886699507429,0.013793103448275845,0.0
23-Suburb: Small,3,2.090765013499631e-05,0.0,0.0,0.0,0.0
21-Suburb: Large,3,0.0004024698783803398,0.0,0.0,0.0019704433497536923,0.0
13-City: Small,3,0.00016931459519881122,0.0,0.0,0.0019704433497536923,0.0
% County Deaths 09/28/20,3,0.004637584652608854,1.0,-0.0039408866995073845,0.0,0.0
% County Infected 10/30/20,3,0.006962287237300879,1.0,-0.01576354679802965,-0.017733990147783252,0.0
% Male Pop 10,3,0.005317703354548403,0.0,-0.0039408866995073845,0.0019704433497536923,0.0
% Housing Vacant 10,3,0.005494780697070926,1.0,-0.0009852216748768682,0.0019704433497536923,0.0
% Title I Eligible School 2020-2021,3,0.003405063085427126,0.0,0.0009852216748768461,-0.006896551724137922,0.0
% of Population in Poverty,3,0.006999492956415819,0.0,-0.005911330049261099,0.007881773399014769,0.0
% Title I Eligible School 2018-2019,3,0.004245303584895566,0.0,-0.0009852216748768461,0.0019704433497536923,0.0
% HH 1 Male 10,3,0.004781195949595224,1.0,-0.007881773399014835,0.026600985221674846,0.0
% Students Tested Math - Grade 7 2018-2019,3,0.008970629641985688,1.0,0.002955665024630538,-0.006896551724137922,0.0
% Asian or Asian/Pacific Islander Students 2020-2021,3,0.008200734823072795,1.0,-0.006896551724137945,-0.002955665024630538,0.0
% Age 45-54 Pop 10,3,0.005113626133487962,1.0,-0.011822660098522241,0.005911330049261076,0.0
% Housing Owner Occup 10,3,0.006035687909728325,1.0,-0.004926108374384275,-0.0039408866995073845,0.0
% HH 1 Female 10,3,0.005558505804335776,1.0,-0.004926108374384275,0.014778325123152691,0.0
% Age 35-44 Pop 10,3,0.0067974659679804405,1.0,-0.006896551724137989,0.006896551724137922,0.0
Median Age Male 10,2,0.0061205340089856295,0.0,-0.0019704433497536923,0.0009852216748768461,0.0
% Age 55-64 Pop 10,2,0.006621937317036084,1.0,-0.0009852216748768461,-0.0049261083743842304,0.0
Median Age 10,2,0.005227362390591307,0.0,-0.005911330049261121,0.0049261083743842304,0.0
% Age 5-9 Pop 10,2,0.006461819660181728,0.0,0.0009852216748768461,-0.011822660098522153,0.0
% Black Pop 10,2,0.006791778035460974,1.0,-0.003940886699507429,0.007881773399014769,0.0
Total Staff 2018-2019,2,0.012874735351090693,1.0,-2.2204460492503132e-17,-0.016748768472906385,0.0
% Age 25-34 Pop 10,2,0.005359312659041969,0.0,-0.007881773399014835,-0.0019704433497536923,0.0
% Grades 9-12 2020-2021,2,0.010469702821035121,1.0,-0.0049261083743842304,-0.006896551724137922,0.0
43-Rural: Remote,2,0.0005225959014922204,0.0,-0.0019704433497536923,-0.002955665024630538,0.0
% Prek 2020-2021,2,0.0097305525997107,1.0,-0.0019704433497537144,0.0,0.0
41-Rural: Fringe,2,0.0007236385610552224,0.0,0.0,0.005911330049261076,0.0
% Age 20-24 Pop 10,2,0.0061103534186565086,1.0,-0.002955665024630538,0.005911330049261076,0.0
22-Suburb: Mid-size,2,0.0002462247790729896,0.0,0.0,-0.0009852216748768461,0.0
% HH Male-Child 10,2,0.006449061603723034,0.0,-0.006896551724137967,-0.0009852216748768461,0.0
% Age 15-19 Pop 10,1,0.006597793103878164,0.0,-0.011822660098522264,0.0009852216748768461,0.0
% County Deaths 10/30/20,1,0.006245039165142568,0.0,-0.0009852216748768682,0.0049261083743842304,0.0
% HH Married-Child 10,1,0.00696159161127586,0.0,-0.0019704433497537144,0.0,0.0
11-City: Large,1,3.641188196128396e-05,0.0,0.0,-0.0009852216748768461,0.0
