feature,Feature Importance,counts,RF Feature Importance,RFE RF Score,RF Permutation Importance,Ridge Permutation Importance,RFE Ridge Score,RF Feature Importance Normalized,RF Permutation Importance Normalized,Ridge Permutation Importance Normalized,RFE RF Score Normalized,RFE Ridge Score Normalized
% On Campus 10/30/20,0.5041107488085879,8,0.025859439775525944,1.0,0.011822660098522165,0.017733990147783228,1.0,0.039514475516662276,0.14285714285714296,0.05,0.021739130434782608,0.25
% White Students 2020-2021,0.4360521796023494,6,0.019754652460157278,1.0,0.007881773399014769,0.013793103448275845,1.0,0.03018606504058268,0.0952380952380952,0.038888888888888896,0.021739130434782608,0.25
% Asian or Asian/Pacific Islander Students 2018-2019,0.3822166057237961,6,0.011790960191306281,1.0,0.007881773399014769,-0.0009852216748768461,1.0,0.018017157828696062,0.0952380952380952,-0.0027777777777777783,0.021739130434782608,0.25
Total Students 2020-2021,0.29754446290944986,7,0.019225020024653962,1.0,-0.0009852216748768461,0.002955665024630538,1.0,0.029376761046095802,-0.0119047619047619,0.008333333333333335,0.021739130434782608,0.25
% Grades 9-12 2018-2019,0.2935021280428297,5,0.01190510003672945,1.0,0.014778325123152691,0.026600985221674846,0.0,0.01819156903661859,0.1785714285714285,0.07500000000000001,0.021739130434782608,0.0
% ADA 2018-2019,0.23475487000741124,5,0.011114826968490966,1.0,0.01576354679802955,0.0019704433497536923,0.0,0.016983993540882546,0.19047619047619055,0.005555555555555557,0.021739130434782608,0.0
% On Campus 01/29/21,0.2032588608266876,7,0.019588665416588043,1.0,0.008866995073891626,0.015763546798029538,0.0,0.029932428804603308,0.10714285714285725,0.04444444444444445,0.021739130434782608,0.0
% Free or Reduced Lunch 2020-2021,0.19710713171504907,6,0.013225543870733554,1.0,0.009852216748768461,0.012807881773399,0.0,0.02020927112153631,0.119047619047619,0.036111111111111115,0.021739130434782608,0.0
% of Population Under 18 in Poverty,0.1926968014988911,4,0.00820528417707132,0.0,0.009852216748768461,0.021674876847290615,0.0,0.012538071340160991,0.119047619047619,0.06111111111111112,0.0,0.0
% ADA 2020-2021,0.1829455796469086,7,0.01070985669992975,1.0,0.010837438423645308,0.0049261083743842304,0.0,0.016365179370856204,0.1309523809523809,0.013888888888888892,0.021739130434782608,0.0
Average Annual Pay,0.1613046165939488,5,0.008233613014653257,1.0,0.005911330049261076,0.019704433497536922,0.0,0.012581359175039239,0.0714285714285714,0.055555555555555566,0.021739130434782608,0.0
% Hispanic Students 2018-2019,0.14949858395556637,5,0.012453332511053992,1.0,0.0039408866995073845,0.021674876847290615,0.0,0.01902929479062502,0.0476190476190476,0.06111111111111112,0.021739130434782608,0.0
% On Campus 09/28/20,0.14078324613205243,7,0.0179166111952032,1.0,0.006896551724137922,0.002955665024630538,0.0,0.02737744903060318,0.0833333333333333,0.008333333333333335,0.021739130434782608,0.0
% Students Tested Reading - Grade 6 2018-2019,0.1368595135601842,5,0.011453390829570672,1.0,0.0039408866995073845,0.017733990147783228,0.0,0.017501335506353976,0.0476190476190476,0.05,0.021739130434782608,0.0
% Prek 2018-2019,0.12664083372232193,7,0.010998647174160896,1.0,0.005911330049261076,0.005911330049261076,0.0,0.016806465192301258,0.0714285714285714,0.01666666666666667,0.021739130434782608,0.0
Total Teachers 2020-2021,0.1128042346201903,7,0.015187975303580434,1.0,0.0049261083743842304,0.002955665024630538,0.0,0.023207961328264866,0.0595238095238095,0.008333333333333335,0.021739130434782608,0.0
% Age 35-44 Pop 10,0.10707865567684484,6,0.007285879198483886,1.0,0.005911330049261076,0.0009852216748768461,0.0,0.011133176035713057,0.0714285714285714,0.0027777777777777783,0.021739130434782608,0.0
% Grades 1-8 2018-2019,0.0972338997041037,6,0.011490644771619653,1.0,0.002955665024630538,0.007881773399014769,0.0,0.017558261332813175,0.0357142857142857,0.022222222222222227,0.021739130434782608,0.0
% Students Tested Reading - Grade 3 2020-2021,0.09688794119384582,4,0.022171398195428155,1.0,0.002955665024630538,0.0019704433497536923,0.0,0.03387896948922195,0.0357142857142857,0.005555555555555557,0.021739130434782608,0.0
% Students Tested Reading - Grade 5 2018-2019,0.09006332198431584,4,0.011472503607392864,1.0,0.0009852216748768461,0.013793103448275845,0.0,0.017530540755882437,0.0119047619047619,0.038888888888888896,0.021739130434782608,0.0
% Age 10-14 Pop 10,0.08559702513637368,4,0.006675311956297097,0.0,0.0039408866995073845,0.009852216748768461,0.0,0.010200199739548296,0.0476190476190476,0.027777777777777783,0.0,0.0
Per Capita Income,0.08503405202070301,4,0.008181200811685432,1.0,0.007881773399014769,-0.015763546798029583,0.0,0.012501270792269767,0.0952380952380952,-0.04444444444444458,0.021739130434782608,0.0
# of Housing Units 10,0.08415503227050375,5,0.007865638585991312,1.0,0.0039408866995073845,0.0009852216748768461,0.0,0.012019076438895762,0.0476190476190476,0.0027777777777777783,0.021739130434782608,0.0
Median Age Female 10,0.08377758538857547,4,0.006004005369651669,0.0,0.002955665024630538,0.013793103448275845,0.0,0.009174410785400879,0.0357142857142857,0.038888888888888896,0.0,0.0
% Hispanic Students 2020-2021,0.08372890905591607,4,0.013040350414620044,1.0,0.0039408866995073845,-0.0019704433497536923,0.0,0.01992628655764142,0.0476190476190476,-0.005555555555555557,0.021739130434782608,0.0
CRRSA ESSER II 21 NORM,0.08018652747757017,8,0.009943028513248055,1.0,0.0019704433497536923,0.006896551724137922,0.0,0.015193428788819316,0.0238095238095238,0.019444444444444448,0.021739130434782608,0.0
% Students Tested Reading - Grade 4 2020-2021,0.07907811998355664,4,0.016489093174278373,1.0,0.0019704433497536923,0.002955665024630538,0.0,0.025196132405916904,0.0238095238095238,0.008333333333333335,0.021739130434782608,0.0
% HH Married-noChild 10,0.07336018433628345,4,0.007293527771404903,1.0,0.0019704433497536923,0.005911330049261076,0.0,0.011144863425310373,0.0238095238095238,0.01666666666666667,0.021739130434782608,0.0
% K 2018-2019,0.07292798309205237,4,0.016099981588015903,1.0,0.0019704433497536923,0.0009852216748768461,0.0,0.024601551069968173,0.0238095238095238,0.0027777777777777783,0.021739130434782608,0.0
% Students Tested Reading - Grade 6 2020-2021,0.06122202866445705,6,0.014412227257494595,1.0,0.0009852216748768461,0.0019704433497536923,0.0,0.022022580769356988,0.0119047619047619,0.005555555555555557,0.021739130434782608,0.0
% Prek 2020-2021,0.05944165081117572,5,0.011429235594625529,1.0,0.0009852216748768461,0.002955665024630538,0.0,0.017464425138297882,0.0119047619047619,0.008333333333333335,0.021739130434782608,0.0
% Students Tested Reading - Grade 8 2020-2021,0.05729821466405455,5,0.013921921566336912,1.0,-0.002955665024630538,0.017733990147783228,0.0,0.021273369943557635,-0.0357142857142857,0.05,0.021739130434782608,0.0
Total Teachers 2018-2019,0.05103672001086443,5,0.012940545653468496,1.0,-0.0019704433497536923,0.011822660098522153,0.0,0.01977378005227228,-0.0238095238095238,0.03333333333333334,0.021739130434782608,0.0
# of Households 10,0.04913732983892266,4,0.00696657668845836,0.0,0.002955665024630538,0.0009852216748768461,0.0,0.010645266346859179,0.0357142857142857,0.0027777777777777783,0.0,0.0
% Black or African American Students 2018-2019,0.047029586531610885,4,0.010577853419598991,1.0,0.0009852216748768461,-0.0009852216748768461,0.0,0.016163471969844155,0.0119047619047619,-0.0027777777777777783,0.021739130434782608,0.0
Total Staff 2018-2019,0.04378962191740461,5,0.011573856000343614,1.0,0.0019704433497536923,-0.006896551724137945,0.0,0.017685412117542713,0.0238095238095238,-0.01944444444444451,0.021739130434782608,0.0
% HH Female-Child 10,0.042601138506269974,4,0.008662068008028819,0.0,0.0019704433497536923,0.0019704433497536923,0.0,0.013236059141190614,0.0238095238095238,0.005555555555555557,0.0,0.0
% Age 85-Up Pop 10,0.041555634946124395,5,0.009276330897437844,0.0,0.002955665024630538,-0.0029556650246305603,0.0,0.014174682565172098,0.0357142857142857,-0.008333333333333397,0.0,0.0
42-Rural: Distant,0.0405900017347266,5,0.0013729527452804831,0.0,0.002955665024630538,0.0009852216748768461,0.0,0.0020979382426631285,0.0357142857142857,0.0027777777777777783,0.0,0.0
% Students Tested Reading - Grade 7 2018-2019,0.039109031250135165,4,0.017340344049776545,1.0,-0.0009852216748768461,0.0009852216748768461,0.0,0.026496884942336683,-0.0119047619047619,0.0027777777777777783,0.021739130434782608,0.0
