feature,Feature Importance,counts,RF Feature Importance,RF Feature Importance Normalized,RFE RF Score,RFE RF Score Normalized,RF Permutation Importance,RF Permutation Importance Normalized,Ridge Permutation Importance,Ridge Permutation Importance Normalized,RFE Ridge Score,RFE Ridge Score Normalized
% On Campus 10/30/20,0.453946642,7,0.038419627,0.066713531,1,0.022222222,-0.012807882,0.175675676,0.036453202,0.078224101,1,0.111111111
% Students Tested Math - Grade 5 2020-2021,0.314504185,5,0.011672668,0.020268935,1,0.022222222,-0.016748768,0.22972973,0.019704433,0.042283298,0,0
% Students Tested Math - Grade 4 2020-2021,0.300229432,4,0.013932578,0.024193142,1,0.022222222,-0.01773399,0.243243243,0.004926108,0.010570825,0,0
Total Students 2018-2019,0.269531182,6,0.0105661,0.01834744,1,0.022222222,-0.006896552,0.094594595,0.010837438,0.023255814,1,0.111111111
% On Campus 09/28/20,0.221231542,7,0.027749925,0.048186192,1,0.022222222,-0.001970443,0.027027027,0.00591133,0.012684989,1,0.111111111
% On Campus 01/29/21,0.215937495,5,0.027648063,0.048009313,1,0.022222222,-0.009852217,0.135135135,0.004926108,0.010570825,0,0
% Grades 1-8 2021-2022,0.209943572,5,0.009108781,0.015816888,1,0.022222222,-0.010837438,0.148648649,0.010837438,0.023255814,0,0
Median Household Income,0.207751712,6,0.006842875,0.01188227,1,0.022222222,-0.007881773,0.108108108,0.030541872,0.065539112,0,0
% Housing Owner Occup 10,0.20584824,5,0.005532796,0.00960739,1,0.022222222,-0.010837438,0.148648649,0.01182266,0.025369979,0,0
% Black or African American Students 2020-2021,0.203437705,5,0.008025685,0.013936153,1,0.022222222,-0.003940887,0.054054054,0.000985222,0.002114165,1,0.111111111
% Hispanic Students 2018-2019,0.197266253,6,0.01273104,0.022106738,1,0.022222222,-0.001970443,0.027027027,0.006896552,0.014799154,1,0.111111111
CRRSA ESSER II 21 NORM,0.194863273,4,0.006656973,0.011559461,0,0,-0.01182266,0.162162162,0.009852217,0.021141649,0,0
CARES ESSER I 20 NORM,0.190511143,6,0.00813519,0.014126302,1,0.022222222,-0.009852217,0.135135135,0.008866995,0.019027484,0,0
% White Students 2021-2022,0.188329336,5,0.022194669,0.0385398,1,0.022222222,-0.001970443,0.027027027,-0.004926108,-0.010570825,1,0.111111111
% Students Tested Math - Grade 8 2018-2019,0.182805725,5,0.008304573,0.014420426,1,0.022222222,-0.007881773,0.108108108,0.01773399,0.038054968,0,0
% White Students 2018-2019,0.169650146,5,0.020685959,0.03592001,1,0.022222222,-0.006896552,0.094594595,0.007881773,0.016913319,0,0
