feature,counts,RF Feature Importance,RFE RF Score,RF Permutation Importance,Ridge Permutation Importance,RFE Ridge Score
% Black or African American Students 2018-2019,8,0.007074278687721548,1.0,0.002955665024630605,0.005911330049261076,1.0
% Black or African American Students 2018-2019,8,0.007074278687721548,1.0,0.002955665024630605,0.005911330049261076,1.0
% Black or African American Students 2018-2019,8,0.007074278687721548,1.0,0.002955665024630605,0.005911330049261076,1.0
% Black or African American Students 2018-2019,8,0.007074278687721548,1.0,0.002955665024630605,0.005911330049261076,importances
% On Campus 09/28/20,7,0.02774992524729862,1.0,-0.00197044334975367,0.005911330049261076,1.0
% On Campus 09/28/20,7,0.02774992524729862,1.0,-0.00197044334975367,0.005911330049261076,1.0
% On Campus 09/28/20,7,0.02774992524729862,1.0,-0.00197044334975367,0.005911330049261076,1.0
% On Campus 09/28/20,7,0.02774992524729862,1.0,-0.00197044334975367,0.005911330049261076,importances
% On Campus 10/30/20,7,0.03841962691075089,1.0,-0.012807881773399,0.03645320197044331,1.0
% On Campus 10/30/20,7,0.03841962691075089,1.0,-0.012807881773399,0.03645320197044331,1.0
% On Campus 10/30/20,7,0.03841962691075089,1.0,-0.012807881773399,0.03645320197044331,1.0
% On Campus 10/30/20,7,0.03841962691075089,1.0,-0.012807881773399,0.03645320197044331,importances
% Black or African American Students 2021-2022,7,0.009105976203634002,1.0,0.002955665024630538,0.002955665024630538,0.0
% Black or African American Students 2021-2022,7,0.009105976203634002,1.0,0.002955665024630538,0.002955665024630538,0.0
% Black or African American Students 2021-2022,7,0.009105976203634002,1.0,0.002955665024630538,0.002955665024630538,0.0
% Black or African American Students 2021-2022,7,0.009105976203634002,1.0,0.002955665024630538,0.002955665024630538,importances
Total Students 2021-2022,7,0.00900440171568859,1.0,0.006896551724137989,0.002955665024630538,1.0
Total Students 2021-2022,7,0.00900440171568859,1.0,0.006896551724137989,0.002955665024630538,1.0
Total Students 2021-2022,7,0.00900440171568859,1.0,0.006896551724137989,0.002955665024630538,1.0
Total Students 2021-2022,7,0.00900440171568859,1.0,0.006896551724137989,0.002955665024630538,importances
% Students Tested Math - Grade 3 2020-2021,7,0.013586047086113068,1.0,0.0019704433497536923,0.010837438423645308,0.0
% Students Tested Math - Grade 3 2020-2021,7,0.013586047086113068,1.0,0.0019704433497536923,0.010837438423645308,0.0
% Students Tested Math - Grade 3 2020-2021,7,0.013586047086113068,1.0,0.0019704433497536923,0.010837438423645308,0.0
% Students Tested Math - Grade 3 2020-2021,7,0.013586047086113068,1.0,0.0019704433497536923,0.010837438423645308,importances
% Asian or Asian/Pacific Islander Students 2018-2019,6,0.0066636230267806025,0.0,0.0019704433497537144,0.0049261083743842304,1.0
% Asian or Asian/Pacific Islander Students 2018-2019,6,0.0066636230267806025,0.0,0.0019704433497537144,0.0049261083743842304,1.0
% Asian or Asian/Pacific Islander Students 2018-2019,6,0.0066636230267806025,0.0,0.0019704433497537144,0.0049261083743842304,1.0
% Asian or Asian/Pacific Islander Students 2018-2019,6,0.0066636230267806025,0.0,0.0019704433497537144,0.0049261083743842304,importances
CARES ESSER I 20 NORM,6,0.008135189761619152,1.0,-0.009852216748768461,0.008866995073891614,0.0
CARES ESSER I 20 NORM,6,0.008135189761619152,1.0,-0.009852216748768461,0.008866995073891614,0.0
CARES ESSER I 20 NORM,6,0.008135189761619152,1.0,-0.009852216748768461,0.008866995073891614,0.0
CARES ESSER I 20 NORM,6,0.008135189761619152,1.0,-0.009852216748768461,0.008866995073891614,importances
Median Household Income,6,0.006842875204141658,1.0,-0.007881773399014769,0.03054187192118223,0.0
Median Household Income,6,0.006842875204141658,1.0,-0.007881773399014769,0.03054187192118223,0.0
Median Household Income,6,0.006842875204141658,1.0,-0.007881773399014769,0.03054187192118223,0.0
Median Household Income,6,0.006842875204141658,1.0,-0.007881773399014769,0.03054187192118223,importances
% Students Tested Math - Grade 7 2021-2022,6,0.009089795147195729,1.0,0.004926108374384275,0.0,0.0
% Students Tested Math - Grade 7 2021-2022,6,0.009089795147195729,1.0,0.004926108374384275,0.0,0.0
% Students Tested Math - Grade 7 2021-2022,6,0.009089795147195729,1.0,0.004926108374384275,0.0,0.0
% Students Tested Math - Grade 7 2021-2022,6,0.009089795147195729,1.0,0.004926108374384275,0.0,importances
# of Households 10,6,0.009760973161881724,0.0,-0.00197044334975367,0.0019704433497536923,0.0
# of Households 10,6,0.009760973161881724,0.0,-0.00197044334975367,0.0019704433497536923,0.0
# of Households 10,6,0.009760973161881724,0.0,-0.00197044334975367,0.0019704433497536923,0.0
# of Households 10,6,0.009760973161881724,0.0,-0.00197044334975367,0.0019704433497536923,importances
Total Students 2018-2019,6,0.010566099574790115,1.0,-0.006896551724137922,0.010837438423645308,1.0
Total Students 2018-2019,6,0.010566099574790115,1.0,-0.006896551724137922,0.010837438423645308,1.0
Total Students 2018-2019,6,0.010566099574790115,1.0,-0.006896551724137922,0.010837438423645308,1.0
Total Students 2018-2019,6,0.010566099574790115,1.0,-0.006896551724137922,0.010837438423645308,importances
% Hispanic Students 2020-2021,6,0.013231641351114347,1.0,0.0029556650246305603,0.0039408866995073845,0.0
% Hispanic Students 2020-2021,6,0.013231641351114347,1.0,0.0029556650246305603,0.0039408866995073845,0.0
% Hispanic Students 2020-2021,6,0.013231641351114347,1.0,0.0029556650246305603,0.0039408866995073845,0.0
% Hispanic Students 2020-2021,6,0.013231641351114347,1.0,0.0029556650246305603,0.0039408866995073845,importances
% Hispanic Students 2018-2019,6,0.012731039781644391,1.0,-0.0019704433497536923,0.006896551724137901,1.0
% Hispanic Students 2018-2019,6,0.012731039781644391,1.0,-0.0019704433497536923,0.006896551724137901,1.0
% Hispanic Students 2018-2019,6,0.012731039781644391,1.0,-0.0019704433497536923,0.006896551724137901,1.0
% Hispanic Students 2018-2019,6,0.012731039781644391,1.0,-0.0019704433497536923,0.006896551724137901,importances
% Students Tested Math - Grade 8 2018-2019,5,0.008304573156610408,1.0,-0.007881773399014769,0.017733990147783228,0.0
% Students Tested Math - Grade 8 2018-2019,5,0.008304573156610408,1.0,-0.007881773399014769,0.017733990147783228,0.0
% Students Tested Math - Grade 8 2018-2019,5,0.008304573156610408,1.0,-0.007881773399014769,0.017733990147783228,0.0
% Students Tested Math - Grade 8 2018-2019,5,0.008304573156610408,1.0,-0.007881773399014769,0.017733990147783228,importances
% Prek 2020-2021,5,0.008603769014906061,1.0,0.003940886699507406,0.011822660098522153,0.0
% Prek 2020-2021,5,0.008603769014906061,1.0,0.003940886699507406,0.011822660098522153,0.0
% Prek 2020-2021,5,0.008603769014906061,1.0,0.003940886699507406,0.011822660098522153,0.0
% Prek 2020-2021,5,0.008603769014906061,1.0,0.003940886699507406,0.011822660098522153,importances
% Grades 1-8 2021-2022,5,0.009108780591325341,1.0,-0.010837438423645308,0.010837438423645308,0.0
% Grades 1-8 2021-2022,5,0.009108780591325341,1.0,-0.010837438423645308,0.010837438423645308,0.0
% Grades 1-8 2021-2022,5,0.009108780591325341,1.0,-0.010837438423645308,0.010837438423645308,0.0
% Grades 1-8 2021-2022,5,0.009108780591325341,1.0,-0.010837438423645308,0.010837438423645308,importances
% Grades 1-8 2020-2021,5,0.008864856607156534,1.0,0.003940886699507406,-0.007881773399014769,0.0
% Grades 1-8 2020-2021,5,0.008864856607156534,1.0,0.003940886699507406,-0.007881773399014769,0.0
% Grades 1-8 2020-2021,5,0.008864856607156534,1.0,0.003940886699507406,-0.007881773399014769,0.0
% Grades 1-8 2020-2021,5,0.008864856607156534,1.0,0.003940886699507406,-0.007881773399014769,importances
% On Campus 01/29/21,5,0.02764806262562223,1.0,-0.009852216748768461,0.0049261083743842304,0.0
% On Campus 01/29/21,5,0.02764806262562223,1.0,-0.009852216748768461,0.0049261083743842304,0.0
% On Campus 01/29/21,5,0.02764806262562223,1.0,-0.009852216748768461,0.0049261083743842304,0.0
% On Campus 01/29/21,5,0.02764806262562223,1.0,-0.009852216748768461,0.0049261083743842304,importances
% HH Female-Child 10,5,0.006695509332090311,1.0,0.010837438423645374,0.0019704433497536923,0.0
% HH Female-Child 10,5,0.006695509332090311,1.0,0.010837438423645374,0.0019704433497536923,0.0
% HH Female-Child 10,5,0.006695509332090311,1.0,0.010837438423645374,0.0019704433497536923,0.0
% HH Female-Child 10,5,0.006695509332090311,1.0,0.010837438423645374,0.0019704433497536923,importances
% Free or Reduced Lunch 2018-2019,5,0.011035082252959533,1.0,-0.0009852216748768461,0.007881773399014769,0.0
% Free or Reduced Lunch 2018-2019,5,0.011035082252959533,1.0,-0.0009852216748768461,0.007881773399014769,0.0
% Free or Reduced Lunch 2018-2019,5,0.011035082252959533,1.0,-0.0009852216748768461,0.007881773399014769,0.0
% Free or Reduced Lunch 2018-2019,5,0.011035082252959533,1.0,-0.0009852216748768461,0.007881773399014769,importances
% Students Tested Math - Grade 5 2018-2019,5,0.00806341793081211,1.0,-0.007881773399014769,0.005911330049261076,0.0
% Students Tested Math - Grade 5 2018-2019,5,0.00806341793081211,1.0,-0.007881773399014769,0.005911330049261076,0.0
% Students Tested Math - Grade 5 2018-2019,5,0.00806341793081211,1.0,-0.007881773399014769,0.005911330049261076,0.0
