feature,Lasso,Lasso,Lasso,Ridge,Ridge,Ridge,ElasticNet,ElasticNet,ElasticNet
,Loss,Expected,Gain,Loss,Expected,Gain,Loss,Expected,Gain
# of Families 10,0.0,0.0,0.0,0.0072164760622573775,-0.0036882664697738534,-0.01941918008356908,0.0,0.0,0.0
# of Households 10,0.0,0.0,0.0,0.012662280576312872,0.005405919199372394,-0.035785226419206055,0.0,0.0,-0.014722564747312481
# of Housing Units 10,0.0,0.0,0.0,0.011870657598291964,0.008415034318622028,-0.03618316270914706,0.0,0.0,-0.01789040705048409
% ADA 2018-2019,0.0,0.0,0.0,0.020700574304382074,0.058069257670488574,-0.12946856576418664,0.0,0.0,0.0
% ADA 2020-2021,0.044309656831703056,0.0,-0.04182517895860428,0.2648424363276113,-0.004334648665964566,-0.20290657617413901,0.1671632347032695,0.0,-0.06853160535601882
% ADA 2021-2022,0.0,0.0,0.0,0.03789596851819274,-0.07095569670669365,-0.010559663708676942,0.0,0.0,0.0
% Age 0-4 Pop 10,0.0,0.0,0.0,0.08369177950940399,0.0129177030617257,-0.07341258256649472,0.0,0.0,0.0
% Age 10-14 Pop 10,0.0,-0.022480164470121602,0.0,-0.08325816433693041,-0.06791529803342444,0.10552512646713437,0.0,-0.029620591387383165,0.0
% Age 15-19 Pop 10,0.0,0.0,0.0,-0.0874137990397487,0.11159952879236522,-0.04396857402228436,0.0,0.03867776240013499,0.0
% Age 20-24 Pop 10,0.0,0.0,0.0,0.03567075407575475,-0.0214038848136499,0.034241692624865434,0.0,0.0,0.0
% Age 25-34 Pop 10,0.08926521919256263,0.0,0.0,0.12159620453976218,-0.10589888573471141,-0.01571625597214673,0.10525914160138328,0.0,0.0
% Age 35-44 Pop 10,0.0,0.0,-0.004776798142633959,0.0699695269567597,0.03426256844079368,-0.09517454672572445,0.0,0.0,-0.003961091112310433
% Age 45-54 Pop 10,0.0,0.047314983400772434,0.0,-0.17736112289303502,0.22944862936821658,-0.07746808584766136,0.0,0.12405702744938628,0.0
% Age 5-9 Pop 10,0.0,0.0,0.0,-0.032739114175978176,0.016550762052605486,0.0221199995769931,0.0,0.0,0.0
% Age 55-64 Pop 10,0.0,0.0,0.0,0.017885428333073463,-0.08015023933530727,0.015944302966393757,0.0,0.0,0.0
% Age 65-74 Pop 10,0.0,0.0,0.0,0.045258780767321066,-0.11148241393310503,0.12193605636127863,0.0,0.0,0.0
% Age 75-84 Pop 10,0.0,0.0,0.0,-0.09152354629410012,0.1678729487760599,-0.09340593343969596,0.0,0.0,0.0
% Age 85-Up Pop 10,0.0,0.0,0.0,-0.16908937953458997,-0.0023669059191968834,0.06712437391220881,-0.00193418517352021,0.0,0.0
% Asian Pop 10,0.0,0.0,0.0,-0.11836417551281087,0.15932552074667874,-0.02849019107677729,0.0,0.05808991140670371,0.0
% Asian or Asian/Pacific Islander Students 2018-2019,0.0,0.08868720134616698,-0.12518990268663518,-0.005148599875482223,0.18233205450860324,-0.18707845906557716,0.0,0.11625769672688124,-0.19016320320844005
% Asian or Asian/Pacific Islander Students 2020-2021,0.0,0.0,0.0,-0.033925732344851765,0.01638685875710361,-0.020264893317980526,0.0,0.0,0.0
% Asian or Asian/Pacific Islander Students 2021-2022,0.0,0.0,0.0,-0.010042241618262539,-0.05065391227780578,0.016584509871174217,0.0,0.0,0.0
% Black Pop 10,0.0,0.0,0.0,-0.02153855934299219,0.026329862085030045,0.028410702564125347,0.0,0.0,0.0
% Black or African American Students 2018-2019,0.0,0.06992527657435985,0.0,-0.06474103866455948,0.08264440744379627,-0.050641102305642574,0.0,0.06993735568101037,-0.015556842847236367
% Black or African American Students 2020-2021,0.0,0.0,0.0,0.048291851723123655,-0.009506491542893354,-0.07216269283711513,0.0,0.0,-0.04913455721761733
% Black or African American Students 2021-2022,0.0,0.0,-0.09090058595336507,0.06396523881032498,-0.026241043987193978,-0.07294032705009332,0.0,0.0,-0.08405963025942705
% County Deaths 01/29/2022,0.0,0.0,0.0,-0.07254913041108829,0.02328591303149262,-0.0030699772312035513,-0.08618735110935045,0.0,0.0
% County Deaths 01/29/21,0.0,0.0,0.0,-0.004270028223159122,-0.014414705745728215,-0.03605705921259069,0.0,0.0,0.0
