feature,Lasso,Lasso,Lasso,Ridge,Ridge,Ridge,ElasticNet,ElasticNet,ElasticNet
,Loss,Expected,Gain,Loss,Expected,Gain,Loss,Expected,Gain
# of Families 10,0.0,0.0,0.0,0.00433986851837744,0.001403179333438238,-0.01792225459786665,0.0,0.0,-0.0008454771036469853
# of Households 10,0.0,0.0,0.0,0.013972238146884563,-0.0036377474775688367,-0.03145751834641322,0.0,0.0,-0.017939549579197918
# of Housing Units 10,0.0,0.0,0.0,0.012190550188000547,0.0013887949161372195,-0.032456196194886065,0.0,0.0,-0.0214564166462228
% ADA 2018-2019,0.0,0.0,0.0,0.015299649468056759,0.09412352945998739,-0.14197161443464706,0.0,0.0,0.0
% ADA 2020-2021,0.04121479789412026,0.0,-0.04505075947815955,0.27429938664921,-0.05740838629919906,-0.21240653799252604,0.15987507742279736,0.0,-0.07052715189117101
% ADA 2021-2022,0.0,0.0,0.0,0.04621564010872774,-0.05840824549532757,-0.041628309856994665,0.0,0.0,0.0
% Age 0-4 Pop 10,0.0,0.0,0.0,0.08660532667098664,-0.019659066890392103,-0.04410995035945739,0.0,0.0,0.0
% Age 10-14 Pop 10,0.0,-0.012154952886090508,0.0,-0.08140158674943349,-0.08390077787184608,0.11802194132799465,0.0,-0.004368507948975576,0.0
% Age 15-19 Pop 10,0.0,0.0,0.0,-0.08826546623797206,0.13720025549637946,-0.10709722090112267,0.0,0.03577120009831853,0.0
% Age 20-24 Pop 10,0.0,0.0,0.0,0.026003877031821946,-0.050050265340192086,0.07189153339346227,0.0,0.0,0.0
% Age 25-34 Pop 10,0.09110656805222309,0.0,0.0,0.12609264344877463,-0.16786904335789332,0.013321516741956974,0.10875330042868372,0.0,0.0
% Age 35-44 Pop 10,0.0,0.0,0.0,0.035260942161036424,0.10845221504221764,-0.12135923528498119,0.0,0.0,-0.0017396279291854052
% Age 45-54 Pop 10,0.0,0.04175495991020657,0.0,-0.1776445144861672,0.17764805095810793,-0.04234017302509407,0.0,0.10154013995084996,0.0
