feature,Lasso,Lasso,Lasso,Ridge,Ridge,Ridge,ElasticNet,ElasticNet,ElasticNet
,Loss,Expected,Gain,Loss,Expected,Gain,Loss,Expected,Gain
# of Families 10,0.0,0.0,0.0,-0.017310457617618555,0.014961425923412788,-0.017030143684323647,0.0,0.0,-0.027756638118612616
# of Households 10,0.0,0.0,-0.04265482121394336,-0.019519994546898,-0.004021148490247912,-0.015587845758808448,0.0,0.0,-0.031019613798033276
# of Housing Units 10,0.0,0.0,-0.01538369878456256,-0.015413536381985697,7.033440032084204e-06,-0.019389586463098702,0.0,0.0,-0.03300764779274591
% ADA 2018-2019,0.0,0.0,0.0,0.02198288858277587,-0.05514533072391336,0.013532904191782614,0.0,0.0,0.0
% ADA 2020-2021,0.0,0.0,0.0,0.18297037297690588,-0.0926731005048157,-0.0525476486478916,0.06142794627198796,-0.03846903900014642,0.0
% ADA 2021-2022,0.004888810954669484,0.0,0.0,0.29519896912566446,-0.2613338848831487,-0.11013013936023866,0.14327512280243154,-0.06037781991756676,0.0
% Age 0-4 Pop 10,0.0,0.0,0.0,0.09601871314923985,-0.1663954857611878,0.037008940446588055,0.0,0.0,0.0
% Age 10-14 Pop 10,0.0,0.0,0.0,-0.051740548338256795,0.1442233319910079,-0.0894404829458132,0.0,0.0,-0.028545678256950584
% Age 15-19 Pop 10,0.0,0.0,0.0,0.04441333526800883,-0.09961967560147585,0.06692312097699113,0.0,0.0,0.0
% Age 20-24 Pop 10,0.0,0.046151794512428033,0.0,-0.22766399881825944,0.15378012524955406,0.07296656006524098,-0.04539317713163088,0.04335156824692507,0.0
% Age 25-34 Pop 10,0.0,0.0,0.0,0.08254245703259841,-0.14754045066945332,0.0740750087645135,0.0,0.0,0.0
% Age 35-44 Pop 10,0.015581578272156286,0.0,0.0,-0.05704529095059429,0.11633849976544851,-0.10953529186214422,0.0,0.0,0.0
% Age 45-54 Pop 10,0.0,0.0,0.0,-0.15227259448383637,-0.0031012917799976957,0.13510634798710264,0.0,0.0,0.0
% Age 5-9 Pop 10,0.0,0.0,0.0,0.12850460947879114,-0.01653866369529269,-0.12180095068935053,0.0,0.0,0.0
% Age 55-64 Pop 10,0.0,0.0,0.0,0.11896393648115944,0.17211958890596032,-0.19941158900803677,0.0,0.0,0.0
% Age 65-74 Pop 10,0.0,0.0,0.0,0.06745214666693486,-0.09919203159020774,0.003433582963177206,0.0,0.0,0.0
% Age 75-84 Pop 10,0.0,0.0,0.0,0.03425889542840981,-0.02318210099706324,0.0436342269156713,0.0,0.0,0.0
% Age 85-Up Pop 10,-0.013788931642632665,0.0,0.0,-0.13455933709070883,-0.11603353980457995,0.14977387320948835,-0.09773592495201995,-0.07808385271559619,0.05033699847179285
% Asian Pop 10,0.0,0.0,-0.002817986847144501,-0.012787923080873051,0.05968140954244957,-0.07222985821956943,0.0,0.0,-0.0033098445769583176
% Asian or Asian/Pacific Islander Students 2018-2019,0.0,0.10615969131840475,-0.21621641743663444,-0.06992032952874341,0.21995413807299558,-0.2391760824284827,0.0,0.13939268667916027,-0.3106176687468125
% Asian or Asian/Pacific Islander Students 2020-2021,0.0,0.0,0.0,-0.029247989067770694,0.024581607674047642,-0.08961713626626111,0.0,0.0,-0.009247347759041218
% Asian or Asian/Pacific Islander Students 2021-2022,0.0,0.0,0.0,0.02738897975259076,-0.08820210606219109,-0.05463920404381131,0.0,0.0,0.0
% Black Pop 10,0.0,0.0,0.0,-0.027114069692918782,-0.08296423821344609,0.15296872307786238,0.0,0.0,0.003019764823779234
% Black or African American Students 2018-2019,0.0,0.0,0.0,-0.002890049215053748,0.07927836059801967,-0.05235355945125517,0.0,0.0,0.0
% Black or African American Students 2020-2021,0.0,0.0,0.0,0.015995924849886555,-0.029356722084822675,-0.011238147300375869,0.0,0.0,0.0
% Black or African American Students 2021-2022,0.0016985305425949394,0.0,0.0,0.1472575831043654,-0.1557375435345948,-0.0499876018765753,0.0369211722532543,-0.014389264820865132,0.0
% County Deaths 01/29/2022,0.0,0.0,0.0,0.07064648737939143,-0.15979882957279815,0.0329736785787301,0.0,0.0,0.0
% County Deaths 01/29/21,0.0,0.0,0.0,-0.10637144820717963,0.1754466188106731,-0.083917512033374,-0.037320244860331316,0.0,0.0
% County Deaths 07/28/2021,0.0,0.0,0.0,-0.0683410864968665,-0.09037099043209654,0.1309669790959403,0.0,0.0,0.0
% County Deaths 07/29/2022,0.0,0.01219163473780204,0.0,0.001149867631722252,0.12111692623951212,-0.1416712887339099,0.0,0.04218273798155398,-0.05350309240252324
% County Deaths 09/28/20,0.0,-0.06470326804089378,0.0,-0.004896160001044951,-0.08513045080091881,0.10950697769327161,0.0,-0.09656970290313814,0.07759233341129655
% County Deaths 10/30/20,0.0,0.0,0.03757795067570029,-0.026837731591164076,-0.03356924869410451,0.04874927125826607,0.0,0.0,0.006007835924457514
% County Deaths 10/30/2022,-0.1458820091668682,0.07358707792231385,0.0,-0.1832680047800336,0.3127012425563993,-0.1779638913730833,-0.12293322895389634,0.13332696945001823,0.0
% County Infected 01/29/2022,0.0,0.0,0.0,-0.08412307048864594,0.05592228629841106,-0.028422702652758536,-0.02190781593849722,0.0,0.0
