feature,Feature Importance - Random Forest,Permutation Importance - Random Forest,Permutation Importance - Ridge,RFE - Random Forest,RFE - Ridge,Regularization - Lasso,SFS - KNN,SFS - Ridge,Variance Threshold
# of Families 10,0.002279926817108302,-0.0009852216748768461,0.0,9.0,327.0,0.0,0.0,1.0,1.0
# of Households 10,0.0035646666956196016,0.0049261083743842304,0.0019704433497537365,40.0,324.0,0.0,0.0,1.0,1.0
# of Housing Units 10,0.0026257095373179197,-0.002955665024630538,0.0019704433497537365,18.0,319.0,0.0,0.0,1.0,1.0
% ADA 2018-2019,0.0022720766610749956,0.005911330049261076,0.013793103448275956,103.0,126.0,0.0,0.0,0.0,0.0
% ADA 2020-2021,0.0027335997080560536,0.005911330049261076,0.002955665024630605,55.0,18.0,0.0,0.0,1.0,0.0
% ADA 2021-2022,0.001981473338165637,0.0009852216748768461,0.0,242.0,237.0,0.0,0.0,0.0,0.0
% Age 0-4 Pop 10,0.002552523570129562,0.0049261083743842304,2.2204460492503132e-17,239.0,148.0,0.0,0.0,0.0,0.0
% Age 10-14 Pop 10,0.002323100036021289,0.0009852216748768461,2.2204460492503132e-17,199.0,211.0,-0.012154952886090508,0.0,0.0,0.0
% Age 15-19 Pop 10,0.001418072595896079,0.002955665024630538,0.0019704433497537365,212.0,114.0,0.0,0.0,1.0,0.0
% Age 20-24 Pop 10,0.0030893412482906816,0.0,0.0009852216748768682,174.0,207.0,0.0,0.0,0.0,0.0
% Age 25-34 Pop 10,0.00183446737878449,-0.0039408866995073845,-0.0019704433497536476,116.0,212.0,0.0,0.0,1.0,0.0
% Age 35-44 Pop 10,0.002490052838565828,0.0009852216748768461,0.013793103448275956,63.0,113.0,0.0,0.0,0.0,0.0
% Age 45-54 Pop 10,0.0013837809793798203,0.0,2.2204460492503132e-17,184.0,91.0,0.04175495991020657,0.0,0.0,0.0
% Age 5-9 Pop 10,0.0022308861846179083,0.0,0.0,159.0,269.0,0.0,0.0,0.0,0.0
% Age 55-64 Pop 10,0.0033052569493414808,0.002955665024630538,0.0009852216748768682,78.0,325.0,0.0,0.0,1.0,0.0
% Age 65-74 Pop 10,0.0025460989032886805,-0.0009852216748768461,0.011822660098522264,190.0,201.0,0.0,0.0,1.0,0.0
% Age 75-84 Pop 10,0.0031654854898538766,0.0009852216748768461,0.0009852216748769127,49.0,112.0,0.0,0.0,1.0,0.0
% Age 85-Up Pop 10,0.0033230100568992166,-0.0009852216748768461,0.004926108374384297,62.0,88.0,0.0,0.0,0.0,0.0
% Asian Pop 10,0.0036720360964371947,0.010837438423645308,0.014778325123152802,139.0,208.0,0.0,0.0,1.0,0.0
% Asian or Asian/Pacific Islander Students 2018-2019,0.0022251798324129293,0.0009852216748768461,0.010837438423645396,167.0,29.0,0.07789251908666378,0.0,0.0,0.0
% Asian or Asian/Pacific Islander Students 2020-2021,0.0019915668459465083,0.0,0.0,255.0,308.0,0.0,0.0,0.0,0.0
% Asian or Asian/Pacific Islander Students 2021-2022,0.0014613263076735197,-0.002955665024630538,0.002955665024630605,183.0,60.0,0.0,0.0,0.0,0.0
% Black Pop 10,0.001967570681184068,0.0,0.0,182.0,292.0,0.0,0.0,0.0,0.0
% Black or African American Students 2018-2019,0.003135060102770249,0.0019704433497536923,0.008866995073891725,92.0,198.0,0.06735999220963464,0.0,0.0,0.0
% Black or African American Students 2020-2021,0.0038461054529600543,0.002955665024630538,0.002955665024630605,142.0,99.0,0.0,0.0,0.0,0.0
% Black or African American Students 2021-2022,0.0025059436576293265,-0.0019704433497536923,0.002955665024630605,77.0,230.0,0.0,0.0,0.0,0.0
% County Deaths 01/29/2022,0.0017121965522405613,0.0019704433497536923,0.0,79.0,245.0,0.0,0.0,0.0,0.0
% County Deaths 01/29/21,0.0014289924553655567,0.0009852216748768461,0.0,173.0,244.0,0.0,0.0,0.0,0.0
% County Deaths 07/28/2021,0.0020208971009059973,0.0,0.003940886699507451,256.0,39.0,0.0,0.0,0.0,0.0
% County Deaths 07/29/2022,0.0015616365139910484,0.0019704433497536923,0.0,90.0,40.0,0.01636570024063789,0.0,1.0,0.0
% County Deaths 09/28/20,0.0020172958326209723,0.0009852216748768461,-0.002955665024630538,222.0,231.0,0.0,0.0,1.0,0.0
% County Deaths 10/30/20,0.001909192687748264,-0.0009852216748768461,0.0,278.0,309.0,0.0,0.0,1.0,0.0
% County Deaths 10/30/2022,0.002652011978058838,0.010837438423645308,0.006896551724138012,115.0,205.0,0.0,0.0,0.0,0.0
% County Infected 01/29/2022,0.0023549790314970386,0.006896551724137922,-0.0019704433497536923,143.0,239.0,0.0,0.0,0.0,0.0
% County Infected 01/29/21,0.0011107616188953478,0.0,0.007881773399014835,185.0,317.0,0.0,0.0,0.0,0.0
% County Infected 07/28/2021,0.0021443074604618278,0.0039408866995073845,0.018719211822660165,226.0,38.0,-0.19456961392248753,0.0,0.0,0.0
% County Infected 07/29/2022,0.0012905943142442673,0.0009852216748768461,0.009852216748768572,249.0,37.0,0.11237650434444456,0.0,0.0,0.0
% County Infected 09/28/20,0.0016033359992174263,0.0009852216748768461,0.003940886699507473,223.0,139.0,0.0,0.0,0.0,0.0
% County Infected 10/30/20,0.0011370768720910184,0.0049261083743842304,0.010837438423645396,224.0,138.0,-0.004891063984133799,0.0,0.0,0.0
% County Infected 10/30/2022,0.0023132114971121265,0.0049261083743842304,0.004926108374384297,165.0,238.0,0.0,0.0,1.0,0.0
% Female Pop 10,0.0012651800586877529,0.0009852216748768461,2.2204460492503132e-17,229.0,259.0,0.0,0.0,0.0,0.0
% Free or Reduced Lunch 2018-2019,0.004157187529832112,0.002955665024630538,0.009852216748768572,46.0,130.0,0.0,0.0,0.0,0.0
% Free or Reduced Lunch 2020-2021,0.0023847449029733526,0.0019704433497536923,0.0019704433497537586,179.0,254.0,0.0,0.0,0.0,0.0
% Free or Reduced Lunch 2021-2022,0.002963003201707615,0.0,0.008866995073891704,71.0,129.0,0.0,0.0,0.0,0.0
% Grades 1-8 2018-2019,0.0033720651133825764,0.005911330049261076,0.0009852216748768906,11.0,191.0,0.0,0.0,0.0,0.0
% Grades 1-8 2020-2021,0.002787189292621508,0.0009852216748768461,0.002955665024630605,203.0,296.0,0.0,0.0,1.0,0.0
% Grades 1-8 2021-2022,0.0029117573798188175,0.002955665024630538,0.003940886699507429,72.0,168.0,0.0,0.0,1.0,0.0
% Grades 9-12 2018-2019,0.00248549460932776,0.0049261083743842304,0.002955665024630583,53.0,267.0,0.05527970856363317,0.0,0.0,0.0
% Grades 9-12 2020-2021,0.0018604147797171375,0.0019704433497536923,0.0,132.0,297.0,0.0,0.0,0.0,0.0
% Grades 9-12 2021-2022,0.002660898731376232,0.0,0.008866995073891704,170.0,209.0,0.0,1.0,1.0,0.0
% HH 1 Female 10,0.0014506582976711888,0.0009852216748768461,0.004926108374384297,176.0,89.0,0.0,0.0,0.0,0.0
% HH 1 Male 10,0.0021155754933623954,0.0,0.002955665024630583,206.0,154.0,0.0,0.0,0.0,0.0
% HH Female-Child 10,0.0037315026965051945,0.0039408866995073845,0.009852216748768527,101.0,98.0,0.0,0.0,0.0,0.0
% HH Male-Child 10,0.0012124570769702296,0.0,0.01576354679802965,196.0,235.0,0.04333545385657167,0.0,0.0,0.0
% HH Married-Child 10,0.0019044896598795725,0.0039408866995073845,-0.00197044334975367,50.0,147.0,0.0,0.0,0.0,0.0
% HH Married-noChild 10,0.005790226585771766,-0.0039408866995073845,0.0019704433497537365,21.0,125.0,0.0,0.0,1.0,0.0
% Hispanic Pop 10,0.002293290080646856,0.0039408866995073845,0.006896551724137989,140.0,45.0,0.0,0.0,0.0,0.0
% Hispanic Students 2018-2019,0.0047778994853627755,0.0,0.01773399014778332,1.0,44.0,-0.06287930453241164,0.0,0.0,0.0
% Hispanic Students 2020-2021,0.006426598796971803,0.0019704433497536923,-0.004926108374384186,26.0,145.0,0.0,0.0,0.0,0.0
% Hispanic Students 2021-2022,0.006992873317515843,0.0009852216748768461,-0.0009852216748768238,34.0,252.0,0.0,0.0,0.0,0.0
% Housing Owner Occup 10,0.002851560120561831,-0.0019704433497536923,0.003940886699507451,130.0,274.0,0.0,0.0,0.0,0.0
% Housing Renter Occup 10,0.0021034684666306315,0.0009852216748768461,0.01773399014778334,191.0,90.0,0.0,0.0,0.0,0.0
% Housing Vacant 10,0.0020568984693219283,0.0,0.003940886699507451,265.0,214.0,0.0,0.0,0.0,0.0
% K 2018-2019,0.002176048442273492,0.0,0.0019704433497537365,91.0,210.0,0.0,0.0,1.0,0.0
% K 2020-2021,0.0019560736240577456,-0.0009852216748768461,0.0019704433497537365,86.0,280.0,0.0,0.0,1.0,0.0
% K 2021-2022,0.00230025416271408,0.0009852216748768461,0.010837438423645419,204.0,166.0,0.0,0.0,0.0,0.0
