feature,Feature Importance - Random Forest,Permutation Importance - Random Forest,Permutation Importance - Ridge,RFE - Random Forest,RFE - Ridge,Regularization - Lasso,SFS - KNN,SFS - Ridge,Variance Threshold
# of Families 10,0.0039055700790611614,-0.0049261083743842304,0.0,89.0,257.0,0.0,1.0,1.0,1.0
# of Households 10,0.002856168589860647,0.002955665024630538,0.0,1.0,307.0,0.0,1.0,1.0,1.0
# of Housing Units 10,0.0032715568835780177,-0.006896551724137922,0.0,1.0,328.0,0.0,1.0,1.0,1.0
% ADA 2018-2019,0.003822208512330872,-0.006896551724137922,0.006896551724137922,8.0,237.0,0.0,0.0,0.0,0.0
% ADA 2020-2021,0.0020297295737844567,0.0,0.0,124.0,183.0,0.0,0.0,0.0,0.0
% ADA 2021-2022,0.0022718068601008555,0.0,0.02068965517241377,53.0,61.0,0.0,0.0,0.0,0.0
% Age 0-4 Pop 10,0.0015137445035646783,0.0,0.008866995073891614,192.0,160.0,0.0,0.0,0.0,0.0
% Age 10-14 Pop 10,0.002273641348201553,-0.0049261083743842304,-0.0009852216748768461,201.0,93.0,0.0,0.0,0.0,0.0
% Age 15-19 Pop 10,0.0025689939479741565,-0.0009852216748768461,0.0,59.0,162.0,0.0,0.0,0.0,0.0
% Age 20-24 Pop 10,0.002397773380456952,-0.005911330049261076,0.007881773399014769,41.0,90.0,0.046151794512428033,0.0,0.0,0.0
% Age 25-34 Pop 10,0.0030251338579524003,-0.017733990147783228,0.0009852216748768461,63.0,159.0,0.0,0.0,0.0,0.0
% Age 35-44 Pop 10,0.002846212065180285,-0.0009852216748768461,0.0049261083743842304,112.0,86.0,0.0,0.0,0.0,0.0
% Age 45-54 Pop 10,0.001843028419714031,-0.0009852216748768461,0.0039408866995073845,130.0,134.0,0.0,0.0,0.0,0.0
% Age 5-9 Pop 10,0.0025022308208973625,-0.007881773399014769,0.0019704433497536923,1.0,94.0,0.0,0.0,0.0,0.0
% Age 55-64 Pop 10,0.0014925676226641299,0.0,0.007881773399014769,31.0,81.0,0.0,0.0,0.0,0.0
% Age 65-74 Pop 10,0.005486037783081541,-0.002955665024630538,0.0019704433497536923,29.0,161.0,0.0,0.0,0.0,0.0
% Age 75-84 Pop 10,0.002978921806324404,-0.0039408866995073845,0.002955665024630538,48.0,102.0,0.0,0.0,0.0,0.0
% Age 85-Up Pop 10,0.002608675810088733,-0.007881773399014769,0.002955665024630538,25.0,128.0,0.0,0.0,0.0,0.0
% Asian Pop 10,0.0024033397555318684,-0.009852216748768461,0.0019704433497536923,1.0,296.0,0.0,0.0,0.0,0.0
% Asian or Asian/Pacific Islander Students 2018-2019,0.0033199139822999656,-0.012807881773399,0.005911330049261076,1.0,2.0,0.10615969131840475,0.0,1.0,0.0
% Asian or Asian/Pacific Islander Students 2020-2021,0.0035697397090523626,0.0,0.0049261083743842304,177.0,221.0,0.0,0.0,1.0,0.0
% Asian or Asian/Pacific Islander Students 2021-2022,0.0032290395457716388,-0.0039408866995073845,0.0019704433497536923,10.0,99.0,0.0,0.0,1.0,0.0
% Black Pop 10,0.0016018166498965058,0.0,0.011822660098522153,148.0,43.0,0.0,0.0,0.0,0.0
% Black or African American Students 2018-2019,0.0016658604957917658,-0.0009852216748768461,0.005911330049261076,198.0,104.0,0.0,0.0,1.0,0.0
% Black or African American Students 2020-2021,0.0017583606662944212,-0.0039408866995073845,0.0,114.0,303.0,0.0,0.0,1.0,0.0
% Black or African American Students 2021-2022,0.001474401049345091,-0.0009852216748768461,0.0,171.0,101.0,0.0,0.0,1.0,0.0
% County Deaths 01/29/2022,0.0026438460004839454,-0.008866995073891614,-0.002955665024630538,193.0,5.0,0.0,0.0,0.0,0.0
% County Deaths 01/29/21,0.0021407111713606934,-0.008866995073891614,0.0049261083743842304,1.0,76.0,0.0,0.0,1.0,0.0
% County Deaths 07/28/2021,0.0029945501737737457,-0.008866995073891614,0.0,1.0,75.0,0.0,0.0,1.0,0.0
% County Deaths 07/29/2022,0.0018826922752017783,-0.005911330049261076,0.0039408866995073845,93.0,228.0,0.01219163473780204,0.0,0.0,0.0
% County Deaths 09/28/20,0.0033137000551402337,-0.0049261083743842304,-0.0009852216748768461,138.0,301.0,-0.06470326804089378,0.0,0.0,0.0
% County Deaths 10/30/20,0.002690213582510223,-0.016748768472906385,0.002955665024630538,1.0,266.0,0.0,0.0,0.0,0.0
% County Deaths 10/30/2022,0.0014149418079272237,-0.0009852216748768461,0.0049261083743842304,122.0,4.0,0.07358707792231385,0.0,0.0,0.0
% County Infected 01/29/2022,0.0015853041040951516,0.0,0.0039408866995073845,132.0,187.0,0.0,0.0,0.0,0.0
% County Infected 01/29/21,0.0016323320390294704,-0.0009852216748768461,0.0049261083743842304,134.0,180.0,0.0,0.0,0.0,0.0
% County Infected 07/28/2021,0.002541913252893465,-0.006896551724137922,0.0039408866995073845,96.0,273.0,-0.018558471261449085,0.0,0.0,0.0
% County Infected 07/29/2022,0.002352056348698749,-0.005911330049261076,0.002955665024630538,172.0,229.0,0.0,0.0,1.0,0.0
