feature,Feature Importance,counts,RF Feature Importance,RFE RF Score,RF Permutation Importance,Ridge Permutation Importance,RFE Ridge Score,RF Feature Importance Normalized,RF Permutation Importance Normalized,Ridge Permutation Importance Normalized,RFE RF Score Normalized,RFE Ridge Score Normalized
% Asian or Asian/Pacific Islander Students 2021-2022,0.6427098658613049,4,0.007682558431584695,1.0,-0.008866995073891614,-0.0049261083743842304,1.0,0.013940532040820084,0.39130434782608703,0.0196078431372549,0.017857142857142856,0.2
% Asian or Asian/Pacific Islander Students 2018-2019,0.5351601917762443,5,0.009488643217513339,1.0,-0.005911330049261076,-0.009852216748768461,1.0,0.017217797427200292,0.26086956521739135,0.0392156862745098,0.017857142857142856,0.2
% County Deaths 10/30/2022,0.5254148869179185,5,0.007475565748450468,0.0,-0.005911330049261076,-0.012807881773399,1.0,0.013564929543664356,0.26086956521739135,0.050980392156862744,0.0,0.2
% Students Tested Reading - Grade 7 2018-2019,0.48430506858596595,4,0.011155055331223664,1.0,-0.008866995073891614,-0.013793103448275845,0.0,0.020241617118422307,0.39130434782608703,0.054901960784313725,0.017857142857142856,0.0
# of Housing Units 10,0.4536584011651889,6,0.007984477677923978,1.0,-0.0049261083743842304,-0.0009852216748768461,1.0,0.014488385332768928,0.21739130434782614,0.00392156862745098,0.017857142857142856,0.2
% K 2018-2019,0.4329719339883432,4,0.010960660712388269,1.0,-0.008866995073891614,-0.0009852216748768461,0.0,0.019888874677662392,0.39130434782608703,0.00392156862745098,0.017857142857142856,0.0
% Grades 9-12 2018-2019,0.4187902697913784,5,0.009628686909355547,1.0,-0.008866995073891614,0.0019704433497536923,0.0,0.01747191636305046,0.39130434782608703,-0.00784313725490196,0.017857142857142856,0.0
% Students Tested Reading - Grade 7 2020-2021,0.3992428618901334,4,0.012011076299532686,1.0,-0.007881773399014769,-0.002955665024630538,0.0,0.021794926194115757,0.34782608695652184,0.011764705882352941,0.017857142857142856,0.0
Total Staff 2021-2022,0.34070525892590614,4,0.010383345243515965,1.0,-0.005911330049261076,-0.010837438423645308,0.0,0.01884129594941114,0.26086956521739135,0.043137254901960784,0.017857142857142856,0.0
% Students Tested Reading - Grade 7 2021-2022,0.3282204406669117,3,0.009986494865448906,1.0,-0.005911330049261076,-0.007881773399014769,0.0,0.018121183572769674,0.26086956521739135,0.03137254901960784,0.017857142857142856,0.0
% Grades 9-12 2020-2021,0.3175302651272454,4,0.00841750611268001,1.0,-0.005911330049261076,-0.005911330049261076,0.0,0.015274145288005279,0.26086956521739135,0.023529411764705882,0.017857142857142856,0.0
Average Annual Pay,0.31696093733431213,6,0.00847960578755687,1.0,-0.0039408866995073845,-0.02758620689655169,0.0,0.015386829430280888,0.17391304347826092,0.10980392156862745,0.017857142857142856,0.0
% Students Tested Reading - Grade 8 2021-2022,0.2926077864164159,5,0.009810950914806448,1.0,-0.005911330049261076,0.0009852216748768461,0.0,0.017802646969332668,0.26086956521739135,-0.00392156862745098,0.017857142857142856,0.0
% of Population Under 18 in Poverty,0.28195348148268395,4,0.00666435327175452,1.0,-0.002955665024630538,-0.03054187192118223,0.0,0.012092928565865062,0.13043478260869568,0.12156862745098039,0.017857142857142856,0.0
% Grades 1-8 2020-2021,0.2796615707920035,4,0.006998669601588123,1.0,-0.005911330049261076,0.002955665024630538,0.0,0.012699568599822263,0.26086956521739135,-0.011764705882352941,0.017857142857142856,0.0
% Grades 9-12 2021-2022,0.25864729621312454,4,0.00857267600256018,1.0,-0.0049261083743842304,-0.0019704433497536923,0.0,0.015555711753253607,0.21739130434782614,0.00784313725490196,0.017857142857142856,0.0
Total Staff 2020-2021,0.22050781483187645,4,0.009541620622505,1.0,-0.002955665024630538,-0.013793103448275845,0.0,0.017313928581724217,0.13043478260869568,0.054901960784313725,0.017857142857142856,0.0
% On Campus 01/29/21,0.20622853074507003,5,0.01877370789035888,1.0,-0.0039408866995073845,0.0049261083743842304,0.0,0.03406618754692117,0.17391304347826092,-0.0196078431372549,0.017857142857142856,0.0
County Population,0.18561833153598412,5,0.007603455493765098,1.0,-0.002955665024630538,-0.005911330049261076,0.0,0.013796994305439706,0.13043478260869568,0.023529411764705882,0.017857142857142856,0.0
% Students Tested Reading - Grade 6 2021-2022,0.1667791768549425,5,0.00821500261601409,1.0,-0.0019704433497536923,-0.011822660098522153,0.0,0.014906688729257432,0.08695652173913046,0.047058823529411764,0.017857142857142856,0.0
% Students Tested Reading - Grade 8 2020-2021,0.1277854180885582,4,0.010498462894244548,1.0,-0.0019704433497536923,-0.0009852216748768461,0.0,0.019050184864833907,0.08695652173913046,0.00392156862745098,0.017857142857142856,0.0
CRRSA ESSER II 21 NORM,0.12751887854022895,6,0.008190417140752889,1.0,-0.0019704433497536923,-0.0019704433497536923,0.0,0.014862076689053677,0.08695652173913046,0.00784313725490196,0.017857142857142856,0.0
% Students Tested Reading - Grade 4 2020-2021,0.12330612215194836,4,0.012352259249124399,1.0,-0.0019704433497536923,0.0009852216748768461,0.0,0.02241402618312602,0.08695652173913046,-0.00392156862745098,0.017857142857142856,0.0
# of Households 10,0.1194214801785719,4,0.005889137975836619,1.0,-0.0019704433497536923,-0.0009852216748768461,0.0,0.010686246954847604,0.08695652173913046,0.00392156862745098,0.017857142857142856,0.0
CARES ESSER I 20 NORM,0.11209276933783408,6,0.008521719664512938,1.0,-0.0009852216748768461,-0.008866995073891614,0.0,0.015463247964067181,0.04347826086956523,0.03529411764705882,0.017857142857142856,0.0
% On Campus 09/28/20,0.0829749830773246,4,0.01624777966726896,1.0,-0.0009852216748768461,0.0019704433497536923,0.0,0.02948271660551847,0.04347826086956523,-0.00784313725490196,0.017857142857142856,0.0
% County Infected 09/28/20,0.07113854441455182,4,0.007751546298698492,1.0,0.0,-0.009852216748768461,0.0,0.014065715282899162,-0.0,0.0392156862745098,0.017857142857142856,0.0
% Prek 2021-2022,0.06898289999903928,4,0.008536811713266059,1.0,-0.0009852216748768461,0.0019704433497536923,0.0,0.015490633527233162,0.04347826086956523,-0.00784313725490196,0.017857142857142856,0.0
% Age 15-19 Pop 10,0.06442304895023257,4,0.0060239002964561994,1.0,-0.0009852216748768461,0.0019704433497536923,0.0,0.010930782478426434,0.04347826086956523,-0.00784313725490196,0.017857142857142856,0.0
# of Families 10,0.035904553423792174,6,0.007784681802347969,1.0,0.0,-0.0009852216748768461,0.0,0.01412584193919834,-0.0,0.00392156862745098,0.017857142857142856,0.0
