feature,counts,RF Feature Importance,RFE RF Score,RF Permutation Importance,Ridge Permutation Importance,RFE Ridge Score
% On Campus 10/30/20,8,0.02126709466721727,1.0,0.009852216748768461,0.005911330049261076,1.0
ARP ESSER III 21 NORM,7,0.00894448753107407,1.0,0.0009852216748768461,-0.0019704433497536923,0.0
# of Families 10,6,0.007784681802347969,1.0,0.0,-0.0009852216748768461,0.0
CRRSA ESSER II 21 NORM,6,0.008190417140752889,1.0,-0.0019704433497536923,-0.0019704433497536923,0.0
% Students Tested Reading - Grade 6 2018-2019,6,0.008724196959718274,1.0,0.0049261083743842304,-0.017733990147783228,0.0
% Prek 2018-2019,6,0.00865731201803089,1.0,0.002955665024630538,0.0049261083743842304,0.0
Average Annual Pay,6,0.00847960578755687,1.0,-0.0039408866995073845,-0.02758620689655169,0.0
CARES ESSER I 20 NORM,6,0.008521719664512938,1.0,-0.0009852216748768461,-0.008866995073891614,0.0
Total Students 2018-2019,6,0.012862172420276962,1.0,0.002955665024630538,-0.0019704433497536923,0.0
Total Students 2020-2021,6,0.011878767048762198,1.0,0.0039408866995073845,-0.0009852216748768461,0.0
Total Students 2021-2022,6,0.01211585638974217,1.0,0.0039408866995073845,0.0,0.0
# of Housing Units 10,6,0.007984477677923978,1.0,-0.0049261083743842304,-0.0009852216748768461,1.0
% Students Tested Reading - Grade 4 2018-2019,6,0.008667082794193,1.0,0.002955665024630538,0.002955665024630538,0.0
% Students Tested Reading - Grade 3 2020-2021,5,0.012758342608974817,1.0,0.0019704433497536923,0.0019704433497536923,0.0
% Grades 1-8 2021-2022,5,0.007567515189424827,1.0,0.0019704433497536923,-0.0049261083743842304,0.0
% Grades 9-12 2018-2019,5,0.009628686909355547,1.0,-0.008866995073891614,0.0019704433497536923,0.0
% Prek 2020-2021,5,0.009228937802308162,1.0,0.0049261083743842304,0.0019704433497536923,0.0
% Students Tested Reading - Grade 8 2018-2019,5,0.008104261854721809,1.0,0.005911330049261076,-0.0009852216748768461,0.0
% Students Tested Reading - Grade 3 2021-2022,5,0.008383362144073318,1.0,0.0009852216748768461,0.0009852216748768461,0.0
% Students Tested Reading - Grade 4 2021-2022,5,0.008584779846164167,1.0,0.0039408866995073845,-0.0049261083743842304,0.0
% Students Tested Reading - Grade 6 2021-2022,5,0.00821500261601409,1.0,-0.0019704433497536923,-0.011822660098522153,0.0
% County Deaths 10/30/20,5,0.007641388777198365,1.0,0.005911330049261076,0.005911330049261076,0.0
% Students Tested Reading - Grade 8 2021-2022,5,0.009810950914806448,1.0,-0.005911330049261076,0.0009852216748768461,0.0
County Population,5,0.007603455493765098,1.0,-0.002955665024630538,-0.005911330049261076,0.0
% County Deaths 10/30/2022,5,0.007475565748450468,0.0,-0.005911330049261076,-0.012807881773399,1.0
% On Campus 01/29/21,5,0.01877370789035888,1.0,-0.0039408866995073845,0.0049261083743842304,0.0
% Asian or Asian/Pacific Islander Students 2018-2019,5,0.009488643217513339,1.0,-0.005911330049261076,-0.009852216748768461,1.0
% ADA 2021-2022,5,0.008272983371106716,1.0,0.0049261083743842304,-0.005911330049261076,0.0
% Students Tested Reading - Grade 5 2020-2021,4,0.011786272845707857,1.0,0.002955665024630538,-0.0009852216748768461,0.0
% Grades 9-12 2020-2021,4,0.00841750611268001,1.0,-0.005911330049261076,-0.005911330049261076,0.0
% Grades 9-12 2021-2022,4,0.00857267600256018,1.0,-0.0049261083743842304,-0.0019704433497536923,0.0
% Students Tested Reading - Grade 7 2020-2021,4,0.012011076299532686,1.0,-0.007881773399014769,-0.002955665024630538,0.0
% Students Tested Reading - Grade 7 2018-2019,4,0.011155055331223664,1.0,-0.008866995073891614,-0.013793103448275845,0.0
% HH Married-noChild 10,4,0.00554749723526224,1.0,0.0009852216748768461,-0.0009852216748768461,0.0
% Students Tested Reading - Grade 5 2021-2022,4,0.008611110129530931,1.0,0.0039408866995073845,0.002955665024630538,0.0
Per Capita Income,4,0.00611939235276007,1.0,0.0039408866995073845,-0.002955665024630538,0.0
