model,n Selected,type,Counts,Method,Train Accuracy,Test Accuracy,MCC,F1,features
Lasso,137,by counts,1,,0.6185185185185185,0.5862068965517241,0.269309963625849,0.5157841776306737,"['ARP ESSER III 21 NORM', '% On Campus 10/30/20', 'Per Capita Income', 'County Population', 'CRRSA ESSER II 21 NORM', 'CARES ESSER I 20 NORM', 'Average Annual Pay', '% Students Tested Reading - Grade 6 2021-2022', '% Students Tested Reading - Grade 3 2021-2022', '% Prek 2021-2022', '% On Campus 09/28/20', '% Grades 1-8 2021-2022', '% Black or African American Students 2021-2022', '% Black or African American Students 2020-2021', '# of Housing Units 10', '# of Families 10', 'Total Students 2021-2022', 'Total Students 2020-2021', 'Total Students 2018-2019', 'Total Staff 2021-2022', 'Total Staff 2020-2021', 'Median Household Income', 'ESSER-SUPP 23 NORM', 'ESSER-SUPP 22 NORM', '% of Population Under 18 in Poverty', '% Students Tested Reading - Grade 8 2020-2021', '% Students Tested Reading - Grade 7 2018-2019', '% Students Tested Reading - Grade 5 2018-2019', '% Students Tested Reading - Grade 4 2018-2019', '% Prek 2018-2019', '% On Campus 01/29/21', '% K 2018-2019', '% Grades 9-12 2021-2022', '% Grades 9-12 2020-2021', '% Grades 9-12 2018-2019', '% Free or Reduced Lunch 2020-2021', '% Asian or Asian/Pacific Islander Students 2018-2019', '% Asian Pop 10', '% ADA 2020-2021', 'Total Teachers 2021-2022', 'Total Teachers 2020-2021', 'Total Teachers 2018-2019', 'Median Age 10', 'Avg Family Size 10', '22-Suburb: Mid-size', '% White Students 2021-2022', '% Students Tested Reading - Grade 8 2021-2022', '% Students Tested Reading - Grade 8 2018-2019', '% Students Tested Reading - Grade 7 2020-2021', '% Students Tested Reading - Grade 6 2020-2021', '% Students Tested Reading - Grade 6 2018-2019', '% Students Tested Reading - Grade 5 2021-2022', '% Students Tested Reading - Grade 5 2020-2021', '% Students Tested Reading - Grade 4 2021-2022', '% Students Tested Reading - Grade 4 2020-2021', '% Students Tested Reading - Grade 3 2018-2019', '% Prek 2020-2021', '% Male Pop 10', '% K 2021-2022', '% K 2020-2021', '% Housing Owner Occup 10', '% Hispanic Students 2020-2021', '% HH Married-noChild 10', '% HH Female-Child 10', '% HH 1 Male 10', '% Grades 1-8 2020-2021', '% Grades 1-8 2018-2019', '% Free or Reduced Lunch 2021-2022', '% Free or Reduced Lunch 2018-2019', '% County Infected 07/28/2021', '% County Deaths 10/30/20', '% County Deaths 07/29/2022', '% County Deaths 07/28/2021', '% County Deaths 01/29/21', '% Black or African American Students 2018-2019', '% Age 85-Up Pop 10', '% Age 75-84 Pop 10', '% Age 65-74 Pop 10', '% Age 45-54 Pop 10', '% Age 15-19 Pop 10', '% ADA 2018-2019', '# of Households 10', 'Total Staff 2018-2019', 'Median Age Male 10', '42-Rural: Distant', '41-Rural: Fringe', '32-Town: Distant', '31-Town: Fringe', '23-Suburb: Small', '21-Suburb: Large', '12-City: Mid-size', '11-City: Large', '% of Population in Poverty', '% White Students 2020-2021', '% White Students 2018-2019', '% Students Tested Reading - Grade 7 2021-2022', '% Housing Renter Occup 10', '% Hispanic Students 2021-2022', '% Hispanic Students 2018-2019', '% HH Married-Child 10', '% HH Male-Child 10', '% HH 1 Female 10', '% Female Pop 10', '% County Infected 10/30/20', '% County Infected 09/28/20', '% County Deaths 10/30/2022', '% County Deaths 09/28/20', '% County Deaths 01/29/2022', '% Asian or Asian/Pacific Islander Students 2021-2022', '% Asian or Asian/Pacific Islander Students 2020-2021', '% Age 5-9 Pop 10', '% Age 35-44 Pop 10', '% Age 20-24 Pop 10', '% Age 0-4 Pop 10', '% ADA 2021-2022', 'Median Age Female 10', 'Avg Household Size 10', '43-Rural: Remote', '33-Town: Remote', '13-City: Small', '% Title I Eligible School 2018-2019', '% Students Tested Reading - Grade 3 2020-2021', '% School-wide Title I 2018-2019', '% Housing Vacant 10', '% Hispanic Pop 10', '% County Infected 10/30/2022', '% County Infected 07/29/2022', '% County Infected 01/29/21', '% Age 25-34 Pop 10', '% Age 10-14 Pop 10', '% Title I Eligible School 2021-2022', '% Title I Eligible School 2020-2021', '% School-wide Title I 2021-2022', '% School-wide Title I 2020-2021', '% County Infected 01/29/2022', '% Black Pop 10', '% Age 55-64 Pop 10']"
Lasso,130,by counts,2,,0.6197530864197531,0.5763546798029556,0.2482181103855651,0.5087130614812403,"['ARP ESSER III 21 NORM', '% On Campus 10/30/20', 'Per Capita Income', 'County Population', 'CRRSA ESSER II 21 NORM', 'CARES ESSER I 20 NORM', 'Average Annual Pay', '% Students Tested Reading - Grade 6 2021-2022', '% Students Tested Reading - Grade 3 2021-2022', '% Prek 2021-2022', '% On Campus 09/28/20', '% Grades 1-8 2021-2022', '% Black or African American Students 2021-2022', '% Black or African American Students 2020-2021', '# of Housing Units 10', '# of Families 10', 'Total Students 2021-2022', 'Total Students 2020-2021', 'Total Students 2018-2019', 'Total Staff 2021-2022', 'Total Staff 2020-2021', 'Median Household Income', 'ESSER-SUPP 23 NORM', 'ESSER-SUPP 22 NORM', '% of Population Under 18 in Poverty', '% Students Tested Reading - Grade 8 2020-2021', '% Students Tested Reading - Grade 7 2018-2019', '% Students Tested Reading - Grade 5 2018-2019', '% Students Tested Reading - Grade 4 2018-2019', '% Prek 2018-2019', '% On Campus 01/29/21', '% K 2018-2019', '% Grades 9-12 2021-2022', '% Grades 9-12 2020-2021', '% Grades 9-12 2018-2019', '% Free or Reduced Lunch 2020-2021', '% Asian or Asian/Pacific Islander Students 2018-2019', '% Asian Pop 10', '% ADA 2020-2021', 'Total Teachers 2021-2022', 'Total Teachers 2020-2021', 'Total Teachers 2018-2019', 'Median Age 10', 'Avg Family Size 10', '22-Suburb: Mid-size', '% White Students 2021-2022', '% Students Tested Reading - Grade 8 2021-2022', '% Students Tested Reading - Grade 8 2018-2019', '% Students Tested Reading - Grade 7 2020-2021', '% Students Tested Reading - Grade 6 2020-2021', '% Students Tested Reading - Grade 6 2018-2019', '% Students Tested Reading - Grade 5 2021-2022', '% Students Tested Reading - Grade 5 2020-2021', '% Students Tested Reading - Grade 4 2021-2022', '% Students Tested Reading - Grade 4 2020-2021', '% Students Tested Reading - Grade 3 2018-2019', '% Prek 2020-2021', '% Male Pop 10', '% K 2021-2022', '% K 2020-2021', '% Housing Owner Occup 10', '% Hispanic Students 2020-2021', '% HH Married-noChild 10', '% HH Female-Child 10', '% HH 1 Male 10', '% Grades 1-8 2020-2021', '% Grades 1-8 2018-2019', '% Free or Reduced Lunch 2021-2022', '% Free or Reduced Lunch 2018-2019', '% County Infected 07/28/2021', '% County Deaths 10/30/20', '% County Deaths 07/29/2022', '% County Deaths 07/28/2021', '% County Deaths 01/29/21', '% Black or African American Students 2018-2019', '% Age 85-Up Pop 10', '% Age 75-84 Pop 10', '% Age 65-74 Pop 10', '% Age 45-54 Pop 10', '% Age 15-19 Pop 10', '% ADA 2018-2019', '# of Households 10', 'Total Staff 2018-2019', 'Median Age Male 10', '42-Rural: Distant', '41-Rural: Fringe', '32-Town: Distant', '31-Town: Fringe', '23-Suburb: Small', '21-Suburb: Large', '12-City: Mid-size', '11-City: Large', '% of Population in Poverty', '% White Students 2020-2021', '% White Students 2018-2019', '% Students Tested Reading - Grade 7 2021-2022', '% Housing Renter Occup 10', '% Hispanic Students 2021-2022', '% Hispanic Students 2018-2019', '% HH Married-Child 10', '% HH Male-Child 10', '% HH 1 Female 10', '% Female Pop 10', '% County Infected 10/30/20', '% County Infected 09/28/20', '% County Deaths 10/30/2022', '% County Deaths 09/28/20', '% County Deaths 01/29/2022', '% Asian or Asian/Pacific Islander Students 2021-2022', '% Asian or Asian/Pacific Islander Students 2020-2021', '% Age 5-9 Pop 10', '% Age 35-44 Pop 10', '% Age 20-24 Pop 10', '% Age 0-4 Pop 10', '% ADA 2021-2022', 'Median Age Female 10', 'Avg Household Size 10', '43-Rural: Remote', '33-Town: Remote', '13-City: Small', '% Title I Eligible School 2018-2019', '% Students Tested Reading - Grade 3 2020-2021', '% School-wide Title I 2018-2019', '% Housing Vacant 10', '% Hispanic Pop 10', '% County Infected 10/30/2022', '% County Infected 07/29/2022', '% County Infected 01/29/21', '% Age 25-34 Pop 10', '% Age 10-14 Pop 10']"
Lasso,115,by counts,3,,0.6209876543209877,0.5615763546798029,0.2169273195102701,0.49717396940627434,"['ARP ESSER III 21 NORM', '% On Campus 10/30/20', 'Per Capita Income', 'County Population', 'CRRSA ESSER II 21 NORM', 'CARES ESSER I 20 NORM', 'Average Annual Pay', '% Students Tested Reading - Grade 6 2021-2022', '% Students Tested Reading - Grade 3 2021-2022', '% Prek 2021-2022', '% On Campus 09/28/20', '% Grades 1-8 2021-2022', '% Black or African American Students 2021-2022', '% Black or African American Students 2020-2021', '# of Housing Units 10', '# of Families 10', 'Total Students 2021-2022', 'Total Students 2020-2021', 'Total Students 2018-2019', 'Total Staff 2021-2022', 'Total Staff 2020-2021', 'Median Household Income', 'ESSER-SUPP 23 NORM', 'ESSER-SUPP 22 NORM', '% of Population Under 18 in Poverty', '% Students Tested Reading - Grade 8 2020-2021', '% Students Tested Reading - Grade 7 2018-2019', '% Students Tested Reading - Grade 5 2018-2019', '% Students Tested Reading - Grade 4 2018-2019', '% Prek 2018-2019', '% On Campus 01/29/21', '% K 2018-2019', '% Grades 9-12 2021-2022', '% Grades 9-12 2020-2021', '% Grades 9-12 2018-2019', '% Free or Reduced Lunch 2020-2021', '% Asian or Asian/Pacific Islander Students 2018-2019', '% Asian Pop 10', '% ADA 2020-2021', 'Total Teachers 2021-2022', 'Total Teachers 2020-2021', 'Total Teachers 2018-2019', 'Median Age 10', 'Avg Family Size 10', '22-Suburb: Mid-size', '% White Students 2021-2022', '% Students Tested Reading - Grade 8 2021-2022', '% Students Tested Reading - Grade 8 2018-2019', '% Students Tested Reading - Grade 7 2020-2021', '% Students Tested Reading - Grade 6 2020-2021', '% Students Tested Reading - Grade 6 2018-2019', '% Students Tested Reading - Grade 5 2021-2022', '% Students Tested Reading - Grade 5 2020-2021', '% Students Tested Reading - Grade 4 2021-2022', '% Students Tested Reading - Grade 4 2020-2021', '% Students Tested Reading - Grade 3 2018-2019', '% Prek 2020-2021', '% Male Pop 10', '% K 2021-2022', '% K 2020-2021', '% Housing Owner Occup 10', '% Hispanic Students 2020-2021', '% HH Married-noChild 10', '% HH Female-Child 10', '% HH 1 Male 10', '% Grades 1-8 2020-2021', '% Grades 1-8 2018-2019', '% Free or Reduced Lunch 2021-2022', '% Free or Reduced Lunch 2018-2019', '% County Infected 07/28/2021', '% County Deaths 10/30/20', '% County Deaths 07/29/2022', '% County Deaths 07/28/2021', '% County Deaths 01/29/21', '% Black or African American Students 2018-2019', '% Age 85-Up Pop 10', '% Age 75-84 Pop 10', '% Age 65-74 Pop 10', '% Age 45-54 Pop 10', '% Age 15-19 Pop 10', '% ADA 2018-2019', '# of Households 10', 'Total Staff 2018-2019', 'Median Age Male 10', '42-Rural: Distant', '41-Rural: Fringe', '32-Town: Distant', '31-Town: Fringe', '23-Suburb: Small', '21-Suburb: Large', '12-City: Mid-size', '11-City: Large', '% of Population in Poverty', '% White Students 2020-2021', '% White Students 2018-2019', '% Students Tested Reading - Grade 7 2021-2022', '% Housing Renter Occup 10', '% Hispanic Students 2021-2022', '% Hispanic Students 2018-2019', '% HH Married-Child 10', '% HH Male-Child 10', '% HH 1 Female 10', '% Female Pop 10', '% County Infected 10/30/20', '% County Infected 09/28/20', '% County Deaths 10/30/2022', '% County Deaths 09/28/20', '% County Deaths 01/29/2022', '% Asian or Asian/Pacific Islander Students 2021-2022', '% Asian or Asian/Pacific Islander Students 2020-2021', '% Age 5-9 Pop 10', '% Age 35-44 Pop 10', '% Age 20-24 Pop 10', '% Age 0-4 Pop 10', '% ADA 2021-2022']"
Lasso,82,by counts,4,,0.6098765432098765,0.5862068965517241,0.268990161446673,0.5151588245510614,"['ARP ESSER III 21 NORM', '% On Campus 10/30/20', 'Per Capita Income', 'County Population', 'CRRSA ESSER II 21 NORM', 'CARES ESSER I 20 NORM', 'Average Annual Pay', '% Students Tested Reading - Grade 6 2021-2022', '% Students Tested Reading - Grade 3 2021-2022', '% Prek 2021-2022', '% On Campus 09/28/20', '% Grades 1-8 2021-2022', '% Black or African American Students 2021-2022', '% Black or African American Students 2020-2021', '# of Housing Units 10', '# of Families 10', 'Total Students 2021-2022', 'Total Students 2020-2021', 'Total Students 2018-2019', 'Total Staff 2021-2022', 'Total Staff 2020-2021', 'Median Household Income', 'ESSER-SUPP 23 NORM', 'ESSER-SUPP 22 NORM', '% of Population Under 18 in Poverty', '% Students Tested Reading - Grade 8 2020-2021', '% Students Tested Reading - Grade 7 2018-2019', '% Students Tested Reading - Grade 5 2018-2019', '% Students Tested Reading - Grade 4 2018-2019', '% Prek 2018-2019', '% On Campus 01/29/21', '% K 2018-2019', '% Grades 9-12 2021-2022', '% Grades 9-12 2020-2021', '% Grades 9-12 2018-2019', '% Free or Reduced Lunch 2020-2021', '% Asian or Asian/Pacific Islander Students 2018-2019', '% Asian Pop 10', '% ADA 2020-2021', 'Total Teachers 2021-2022', 'Total Teachers 2020-2021', 'Total Teachers 2018-2019', 'Median Age 10', 'Avg Family Size 10', '22-Suburb: Mid-size', '% White Students 2021-2022', '% Students Tested Reading - Grade 8 2021-2022', '% Students Tested Reading - Grade 8 2018-2019', '% Students Tested Reading - Grade 7 2020-2021', '% Students Tested Reading - Grade 6 2020-2021', '% Students Tested Reading - Grade 6 2018-2019', '% Students Tested Reading - Grade 5 2021-2022', '% Students Tested Reading - Grade 5 2020-2021', '% Students Tested Reading - Grade 4 2021-2022', '% Students Tested Reading - Grade 4 2020-2021', '% Students Tested Reading - Grade 3 2018-2019', '% Prek 2020-2021', '% Male Pop 10', '% K 2021-2022', '% K 2020-2021', '% Housing Owner Occup 10', '% Hispanic Students 2020-2021', '% HH Married-noChild 10', '% HH Female-Child 10', '% HH 1 Male 10', '% Grades 1-8 2020-2021', '% Grades 1-8 2018-2019', '% Free or Reduced Lunch 2021-2022', '% Free or Reduced Lunch 2018-2019', '% County Infected 07/28/2021', '% County Deaths 10/30/20', '% County Deaths 07/29/2022', '% County Deaths 07/28/2021', '% County Deaths 01/29/21', '% Black or African American Students 2018-2019', '% Age 85-Up Pop 10', '% Age 75-84 Pop 10', '% Age 65-74 Pop 10', '% Age 45-54 Pop 10', '% Age 15-19 Pop 10', '% ADA 2018-2019', '# of Households 10']"
Lasso,39,by counts,5,,0.5975308641975309,0.5665024630541872,0.22252380549807402,0.4813181341253046,"['ARP ESSER III 21 NORM', '% On Campus 10/30/20', 'Per Capita Income', 'County Population', 'CRRSA ESSER II 21 NORM', 'CARES ESSER I 20 NORM', 'Average Annual Pay', '% Students Tested Reading - Grade 6 2021-2022', '% Students Tested Reading - Grade 3 2021-2022', '% Prek 2021-2022', '% On Campus 09/28/20', '% Grades 1-8 2021-2022', '% Black or African American Students 2021-2022', '% Black or African American Students 2020-2021', '# of Housing Units 10', '# of Families 10', 'Total Students 2021-2022', 'Total Students 2020-2021', 'Total Students 2018-2019', 'Total Staff 2021-2022', 'Total Staff 2020-2021', 'Median Household Income', 'ESSER-SUPP 23 NORM', 'ESSER-SUPP 22 NORM', '% of Population Under 18 in Poverty', '% Students Tested Reading - Grade 8 2020-2021', '% Students Tested Reading - Grade 7 2018-2019', '% Students Tested Reading - Grade 5 2018-2019', '% Students Tested Reading - Grade 4 2018-2019', '% Prek 2018-2019', '% On Campus 01/29/21', '% K 2018-2019', '% Grades 9-12 2021-2022', '% Grades 9-12 2020-2021', '% Grades 9-12 2018-2019', '% Free or Reduced Lunch 2020-2021', '% Asian or Asian/Pacific Islander Students 2018-2019', '% Asian Pop 10', '% ADA 2020-2021']"
Lasso,16,by counts,6,,0.5864197530864198,0.5862068965517241,0.2759705518793262,0.4867174114680599,"['ARP ESSER III 21 NORM', '% On Campus 10/30/20', 'Per Capita Income', 'County Population', 'CRRSA ESSER II 21 NORM', 'CARES ESSER I 20 NORM', 'Average Annual Pay', '% Students Tested Reading - Grade 6 2021-2022', '% Students Tested Reading - Grade 3 2021-2022', '% Prek 2021-2022', '% On Campus 09/28/20', '% Grades 1-8 2021-2022', '% Black or African American Students 2021-2022', '% Black or African American Students 2020-2021', '# of Housing Units 10', '# of Families 10']"
Lasso,2,by counts,7,,0.5654320987654321,0.5862068965517241,0.27544878550764107,0.48591549295774644,"['ARP ESSER III 21 NORM', '% On Campus 10/30/20']"
Lasso,22,by methods,n/a,Variance Threshold,0.5580246913580247,0.5665024630541872,0.22350000015093532,0.4601588272229418,"['ARP ESSER III 21 NORM', 'Per Capita Income', 'County Population', 'CRRSA ESSER II 21 NORM', 'CARES ESSER I 20 NORM', 'Average Annual Pay', '# of Housing Units 10', '# of Families 10', 'Total Students 2021-2022', 'Total Students 2020-2021', 'Total Students 2018-2019', 'Median Household Income', 'ESSER-SUPP 23 NORM', 'ESSER-SUPP 22 NORM', '% of Population Under 18 in Poverty', 'Median Age 10', '# of Households 10', 'Median Age Male 10', '42-Rural: Distant', '% of Population in Poverty', 'Median Age Female 10', '43-Rural: Remote']"
Lasso,55,by methods,n/a,Regularization - Lasso,0.6185185185185185,0.5862068965517241,0.269309963625849,0.5157841776306737,"['ARP ESSER III 21 NORM', '% On Campus 10/30/20', 'Per Capita Income', 'CRRSA ESSER II 21 NORM', 'CARES ESSER I 20 NORM', 'Average Annual Pay', '% Students Tested Reading - Grade 6 2021-2022', '% On Campus 09/28/20', '% Black or African American Students 2021-2022', '# of Families 10', 'Total Staff 2021-2022', 'Total Staff 2020-2021', 'ESSER-SUPP 23 NORM', 'ESSER-SUPP 22 NORM', '% of Population Under 18 in Poverty', '% Students Tested Reading - Grade 8 2020-2021', '% Students Tested Reading - Grade 5 2018-2019', '% Prek 2018-2019', '% On Campus 01/29/21', '% K 2018-2019', '% Grades 9-12 2018-2019', '% Free or Reduced Lunch 2020-2021', '% Asian or Asian/Pacific Islander Students 2018-2019', 'Total Teachers 2021-2022', 'Total Teachers 2020-2021', '22-Suburb: Mid-size', '% Students Tested Reading - Grade 7 2020-2021', '% Students Tested Reading - Grade 6 2018-2019', '% Students Tested Reading - Grade 4 2021-2022', '% Students Tested Reading - Grade 3 2018-2019', '% Housing Owner Occup 10', '% HH 1 Male 10', '% County Infected 07/28/2021', '% County Deaths 07/29/2022', '% County Deaths 07/28/2021', '% County Deaths 01/29/21', '% Age 85-Up Pop 10', '41-Rural: Fringe', '32-Town: Distant', '31-Town: Fringe', '23-Suburb: Small', '21-Suburb: Large', '12-City: Mid-size', '11-City: Large', '% Students Tested Reading - Grade 7 2021-2022', '% Housing Renter Occup 10', '% County Infected 10/30/20', '% County Infected 09/28/20', '% County Deaths 10/30/2022', '% County Deaths 09/28/20', '% Age 20-24 Pop 10', '% ADA 2021-2022', '33-Town: Remote', '% County Infected 10/30/2022', '% School-wide Title I 2021-2022']"
Lasso,69,by methods,n/a,Feature Importance - Random Forest,0.6,0.5862068965517241,0.2703336602235811,0.5111640278964367,"['ARP ESSER III 21 NORM', '% On Campus 10/30/20', 'County Population', 'CRRSA ESSER II 21 NORM', 'CARES ESSER I 20 NORM', 'Average Annual Pay', '% Students Tested Reading - Grade 6 2021-2022', '% Students Tested Reading - Grade 3 2021-2022', '% Prek 2021-2022', '% On Campus 09/28/20', '% Grades 1-8 2021-2022', '% Black or African American Students 2021-2022', '% Black or African American Students 2020-2021', '# of Housing Units 10', 'Total Students 2021-2022', 'Total Students 2020-2021', 'Total Students 2018-2019', 'Total Staff 2021-2022', 'Total Staff 2020-2021', '% Students Tested Reading - Grade 8 2020-2021', '% Students Tested Reading - Grade 7 2018-2019', '% Students Tested Reading - Grade 5 2018-2019', '% Students Tested Reading - Grade 4 2018-2019', '% Prek 2018-2019', '% On Campus 01/29/21', '% K 2018-2019', '% Grades 9-12 2021-2022', '% Grades 9-12 2020-2021', '% Grades 9-12 2018-2019', '% Free or Reduced Lunch 2020-2021', '% Asian or Asian/Pacific Islander Students 2018-2019', '% Asian Pop 10', '% ADA 2020-2021', 'Total Teachers 2021-2022', 'Total Teachers 2020-2021', 'Total Teachers 2018-2019', 'Avg Family Size 10', '% White Students 2021-2022', '% Students Tested Reading - Grade 8 2021-2022', '% Students Tested Reading - Grade 8 2018-2019', '% Students Tested Reading - Grade 7 2020-2021', '% Students Tested Reading - Grade 6 2020-2021', '% Students Tested Reading - Grade 6 2018-2019', '% Students Tested Reading - Grade 5 2021-2022', '% Students Tested Reading - Grade 5 2020-2021', '% Students Tested Reading - Grade 4 2021-2022', '% Students Tested Reading - Grade 4 2020-2021', '% Students Tested Reading - Grade 3 2018-2019', '% Prek 2020-2021', '% Male Pop 10', '% K 2021-2022', '% K 2020-2021', '% Hispanic Students 2020-2021', '% HH Married-noChild 10', '% HH Female-Child 10', '% HH 1 Male 10', '% Grades 1-8 2020-2021', '% Grades 1-8 2018-2019', '% Free or Reduced Lunch 2021-2022', '% Free or Reduced Lunch 2018-2019', '% ADA 2018-2019', 'Total Staff 2018-2019', '% White Students 2020-2021', '% White Students 2018-2019', '% Students Tested Reading - Grade 7 2021-2022', '% Hispanic Students 2021-2022', '% Hispanic Students 2018-2019', '% HH 1 Female 10', '% Students Tested Reading - Grade 3 2020-2021']"
